Image,Question,Answer,Predict,gpt_score
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,golden-brown,1.0
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,baked chicken,0.1
ff557f4ea977d3a,What color is the filling of the enchiladas,white,white,1.0
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,next to salad,0.2
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,tomatoes,1.0
5c89583c7d79eac,What color is the baking dish,white,white,1.0
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted,1.0
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,melting on top,0.2
5c89583c7d79eac,What color are the avocado slices,green,green,1.0
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,around the avocado slices,0.1
ec8d556e427215f,What color is the chicken,golden-brown,light brown,0.7
ec8d556e427215f,What type of meat is used in the fajitas,chicken,chicken,1.0
ec8d556e427215f,What color is the shredded cheese,yellow,orange and white,0.2
ec8d556e427215f,Where is the sour cream located,on a plate,next to the tacos,0.2
4540be4f1b7483a,What color is the cilantro,green,green,1.0
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,cilantro,1.0
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,orange,0.2
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,chicken,1.0
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,on a baking tray,0.9
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,chicken,1.0
5466136e2c0ad7d,What color are the bell peppers,green,yellow and red,0.2
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,on the tacos,0.5
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,orange and white,0.3
04bc6b3e8a8aea0,What type of fish is used in the fajitas,mahi mahi,tuna,0.3
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red and yellow,0.7
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,on parchment paper,0.2
04bc6b3e8a8aea0,What color are the sliced onions,white,white,1.0
706203205f79559,What is the main protein in the fajitas,steak,steak,1.0
706203205f79559,What color is the sliced steak,brownish-red,brown,0.7
706203205f79559,Where are the fajitas placed,on the plate,on a plate,0.9
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,mushrooms and onions,0.7
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,beige,1.0
a1db7c4c3f6057d,What color are the falafels,golden-brown,golden brown,1.0
a1db7c4c3f6057d,What type of food is shown in the image,falafels,breaded and fried patties,0.5
a1db7c4c3f6057d,What color is the lemon,yellow,yellow,1.0
a1b92188972141f,What color are the farro grains,brown,brown,1.0
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushrooms,1.0
a1b92188972141f,What color is the cilantro sprig,green,green,1.0
a1b92188972141f,Where is the cilantro sprig positioned,on top of,on top of the rice,0.9
649f26370757a85,Is the dish suitable for vegetarians,yes,yes,1.0
649f26370757a85,What is the main grain used in the skillet,farro,barley,0.3
649f26370757a85,What color is the bowl used to serve the dish,orange,orange,1.0
649f26370757a85,Where are the black beans located in the dish,throughout,in the bowl,0.1
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,zucchini,1.0
1182fb165965c24,What material are the jars made of,glass,glass,1.0
1182fb165965c24,What color is the fennel,yellow,green,0.1
1182fb165965c24,Where is the fennel contained,contained within,in a jar,0.7
1182fb165965c24,How are the jars sealed,sealed,with red and white cloth,0.1
1182fb165965c24,What color is the cloth on the jars,red,red and white,0.7
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,beef tallow,0.1
dc82292cc9b95bb,What color are the feta fingers,golden,golden brown,0.8
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue and white,0.7
c21c69d14faa792,What type of dish is shown in the image,salad,salad,1.0
c21c69d14faa792,What color is the bowl holding the salad,yellow,yellow and black,0.7
c21c69d14faa792,What color are the chicken pieces in the salad,white,white,1.0
c0975f297eda584,What does the fettuccine do in the frame,fills,in a bowl,0.3
c0975f297eda584,What type of pasta is shown,fettuccine,spaghetti,0.5
c0975f297eda584,What is the texture of the sauce,creamy,creamy and smooth,0.9
c0975f297eda584,What is scattered on top of the pasta,cheese,shredded cheese,0.9
c0975f297eda584,Where are the thin strands of cheese located,on top of,on top of the noodles,1.0
4a760002afb43b8,What is the color of the base of the dish,white,white,1.0
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,on a plate,0.2
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken,1.0
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,light brown,0.1
614c5dee532b78e,What color are the figs,purple,dark purple,0.9
614c5dee532b78e,What type of fruit is shown in the image,figs,dried apricots,0.1
614c5dee532b78e,Where is the goat cheese placed,on top of,on top of dates,1.0
614c5dee532b78e,What is the texture of the goat cheese,creamy,soft and creamy,0.9
614c5dee532b78e,How is the goat cheese distributed,scattered,on top of dates,0.1
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,pinkish-red,1.0
a31ea68b260d0c2,What type of meat is shown in the image,filet,steak,0.6
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,dark brown,0.9
a31ea68b260d0c2,Where are the filets placed,on a plate,on a plate,1.0
a31ea68b260d0c2,How is the exterior of the filets described,seared,well-done,0.7
260ac1e7d31775e,What color is the plate,blue,black,0.0
260ac1e7d31775e,What type of food is being served,fish,fish fillets,0.7
260ac1e7d31775e,What herb is scattered on the fish,dill,dill,1.0
260ac1e7d31775e,What color is the fish generally,white,white,1.0
395a4e305e40a37,What flavor is the fish,lemony,herb-crusted,0.1
395a4e305e40a37,What type of food is shown in the image,fish,seafood,0.6
395a4e305e40a37,What color is the plate,orange,orange,1.0
395a4e305e40a37,Where is the fish placed,on plate,on a plate,1.0
395a4e305e40a37,What color are the herbs on the fish,green,green,1.0
a5b87a311528eb8,What color is the plate,yellow,white,0.1
a5b87a311528eb8,What type of food is in the center of the plate,fish,fish,1.0
a5b87a311528eb8,What color is the fish,golden-brown,golden-brown,1.0
a5b87a311528eb8,Where is the fish located,on a plate,on a plate,1.0
a5b87a311528eb8,What color are the scallions on the fish,green,green,1.0
ce3a724e27e8f9f,What color is the fish,white,white,1.0
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,rice,0.0
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,brown,1.0
ce3a724e27e8f9f,Where is the ginger placed,on top of,on the rice,0.2
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green,1.0
27bc4f71b275ae7,What is in the clear glass,drink,a drink,0.9
27bc4f71b275ae7,What color is the foam on the drink,white,white with orange,0.7
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,orange,0.7
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on the foam,0.5
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,smooth and shiny,0.9
c3720ab16e601cc,What type of dessert is shown in the image,flan,crème caramel,0.2
c3720ab16e601cc,What color is the plate,white,white,1.0
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,golden brown,0.7
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,bacon,0.1
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,drizzled on top,0.9
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,purple,1.0
a04609d90ed6c41,What color is the pineapple in the dish,yellow,yellow,1.0
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,baked with bread crumbs,0.2
a04609d90ed6c41,What fruit is used in the dish,pineapple,pineapple,1.0
a04609d90ed6c41,What is the texture of the overall mixture,moist,gooey and bubbly,0.4
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,mixed together,0.3
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,glass,1.0
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,completely full,0.4
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,dried cranberries,0.9
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,cherries,0.2
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,in a glass,0.3
93caec07215ba61,What color is the interior of the focaccia,yellow,light yellow,0.9
93caec07215ba61,What type of bread is shown in the image,focaccia,garlic bread,0.4
93caec07215ba61,What color is the basil on top of the focaccia,green,green,1.0
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wood,0.9
82927363da2288b,What color is the fondue in the bowl,yellow,yellow,1.0
82927363da2288b,What is the fondue contained in,bowl,a bowl,1.0
82927363da2288b,What is the state of the bread's crust,toasted,soft and melted,0.3
82927363da2288b,What color is the crust of the bread,golden-brown,golden brown,1.0
82927363da2288b,Where is the fondue dripping from,down from,from bread,0.2
2d2938a660f6b1d,What color are the pretzel rings,brown,brown,1.0
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,pretzels,1.0
82c11793c3b8518,What color is the dessert,brown,brown,1.0
82c11793c3b8518,What type of food is shown in the image,dessert,carrot cake,0.6
82c11793c3b8518,What shape are the desserts,rectangular,rectangular,1.0
f189044f1aaf168,What color are the slivered almonds on the candies,brown,light brown,0.9
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,almonds,1.0
f189044f1aaf168,How are the almonds positioned on the candies,scattered,chopped and sprinkled,0.6
ff63f9d9e982d84,What color is the baking dish,white,white,1.0
