reference,hypothesis,gpt_score
golden-brown,cheese,0.0
enchiladas,quiche,0.2
white,orange,0.1
on the left side,on a plate,0.2
tomatoes,lettuce,0.1
white,white,1.0
melted,melted,1.0
covering,covering most of the surface,0.8
green,green,1.0
across the bake,black,0.0
golden-brown,orange,0.3
chicken,pork,0.2
yellow,white,0.2
on a plate,on the pasta,0.5
green,green,1.0
cilantro,carrot,0.1
yellow,reddish,0.3
chicken,steak,0.2
on a sheet pan,steak,0.1
chicken,pork,0.2
green,red,0.0
atop the fajita filling,on top of,0.5
golden-brown,tan,0.7
Mahi Mahi,pork,0.0
red,red,1.0
throughout the center,on the plate,0.1
white,reddish-brown,0.1
steak,tempeh,0.2
brownish-red,brown,0.7
on the plate,on top,0.5
mushrooms,green,0.0
beige,tan,0.8
golden-brown,red,0.2
falafels,fajitas,0.2
yellow,yellow,1.0
brown,scattered,0.0
mushrooms,mushroom,1.0
green,green,1.0
on top of,green,0.0
yes,vegetarian,0.0
farro,rice,0.2
orange,white,0.0
throughout,around the egg,0.2
zucchini,tan,0.0
glass,glass,1.0
yellow,yellow,1.0
contained within,on a baking sheet,0.2
sealed,sealed,1.0
red,blue,0.1
feta fingers,nuggets,0.1
golden,golden-brown,0.8
blue,blue,1.0
salad,enchiladas,0.1
yellow,green,0.2
white,off-white,0.8
fills,fills,1.0
fettuccine,ravioli,0.3
creamy,creamy,1.0
cheese,gnocchi,0.1
on top of,red,0.0
white,white,1.0
located throughout,in the image,0.2
chicken,chicken,1.0
asparagus,on the edges,0.0
purple,brown,0.1
figs,figs,1.0
on top of,white,0.0
creamy,crumbled,0.1
scattered,white,0.0
pinkish-red,yellow,0.0
filet,chicken,0.1
brown,brown,1.0
on a plate,brown,0.0
seared,brown,0.5
blue,green,0.2
fish,mushroom,0.0
dill,parsley,0.2
white,off-white,0.8
Lemony,sweet,0.2
Fish,fajitas,0.1
Orange,green,0.1
on plate,on a plate,1.0
Green,green,1.0
yellow,green,0.2
fish,gnocchi,0.0
golden-brown,pink,0.1
on a plate,on a plate,1.0
green,green,1.0
white,pink,0.3
fish,fries,0.1
brown,brown,1.0
on top of,on a baking sheet,0.5
green,green,1.0
drink,sauce,0.1
white,white,1.0
reddish-orange,blue,0.0
on top of,on top,0.9
shiny,amber,0.3
flan,enchiladas,0.1
white,green,0.1
caramel-colored,amber,0.7
chicken,red,0.0
drizzled,dark brown,0.1
purple,red,0.2
yellow,golden-brown,0.6
diced,cut,0.8
pineapple,strawberries,0.1
moist,golden-brown,0.2
throughout the dish,brown,0.0
glass,color,0.1
filling,filling,1.0
cranberries,cherry,0.3
grapes,browned,0.0
to the brim,above the rim,0.6
yellow,yellow,1.0
focaccia,lefse,0.1
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,pot,0.7
toasted,sliced,0.1
golden-brown,golden-brown,1.0
down from,from the chocolate-covered pear,0.1
brown,brown,1.0
pretzel,over the Fritos,0.0
brown,reddish-pink,0.2
dessert,fajitas,0.1
rectangular,squares,0.8
brown,on top of,0.0
almonds,peanuts,0.4
scattered,at the center,0.0
white,white,1.0
casserole,pie,0.2
scattered,scattered,1.0
reddish-brown,pink,0.2
on top,on a plate,0.3
black,black,1.0
yellow,brown,0.2
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on each piece,0.0
yellow,yellow,1.0
broccoli,potato,0.2
light,dark,0.1
cheddar,potato,0.0
brown,golden-brown,0.8
clustered,piled,0.7
plate,plate,1.0
yellow,yellow,1.0
on the left,on the plate,0.2
golden-brown,white,0.0
fritter,enchiladas,0.1
crispy,bubbly,0.2
white,green,0.1
chocolate,chocolate,1.0
stack,at the bottom,0.1
brown,on top of,0.0
on a plate,on a white plate,0.9
swirled,clear,0.0
pink,off-white,0.2
cupcake,cake,0.7
cherry,raspberry,0.7
on top of,on top of,1.0
bowls,jars,0.3
coats,covers,0.5
cake,cake,1.0
brown,off-white,0.1
on the plate,on a white plate,0.8
blue,green,0.2
fries,enchiladas,0.1
orange,yellow,0.3
on top of,on top of,1.0
yellow,golden-yellow,0.8
casserole,casserole,1.0
white,green,0.1
fries,pizza pockets,0.2
golden-brown,red,0.2
orange,red,0.2
on top of,on top,0.9
yellow,yellow,1.0
potato,yam,0.5
reddish-brown,reddish-pink,0.7
on a plate,bowl,0.3
yellow,orange,0.7
fries,fajitas,0.1
charred,out of the bowl,0.0
in the center,towards the lower-right,0.1
blue,green,0.2
white,light,0.5
fudge,fajitas,0.1
red,red,1.0
walnuts,fudge,0.1
brown,brown,1.0
fudge,flan,0.2
on the left,on top of,0.1
sheen,creamy,0.2
golden-brown,golden-brown,1.0
red,red,1.0
atop the galette,on top of,0.5
green,green,1.0
golden-brown,golden-brown,1.0
pastry,golden-brown,0.2
white,white,1.0
sprinkled,white,0.1
strawberry,reddish-brown,0.2
golden-brown,golden-brown,1.0
blueberries,blueberries,1.0
towards the top,on top of,0.8
tan,chocolatey,0.0
garlic,chickpeas,0.1
yellow,brown,0.2
silver,shiny,0.3
green,green,1.0
dessert,cream soda,0.2
gelatin,gelatin,1.0
creamy,homemade,0.2
golden-brown,orange,0.4
bowl,bowl,1.0
sliced,scattered,0.2
green,green,1.0
