Image,Question,Answer,predicted_answer
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,cheese
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,quiche
ff557f4ea977d3a,What color is the filling of the enchiladas,white,orange
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,on a plate
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,lettuce
5c89583c7d79eac,What color is the baking dish,white,white
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,covering most of the surface
5c89583c7d79eac,What color are the avocado slices,green,green
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,black
ec8d556e427215f,What color is the chicken,golden-brown,orange
ec8d556e427215f,What type of meat is used in the fajitas,chicken,pork
ec8d556e427215f,What color is the shredded cheese,yellow,white
ec8d556e427215f,Where is the sour cream located,on a plate,on the pasta
4540be4f1b7483a,What color is the cilantro,green,green
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,carrot
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,reddish
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,steak
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,steak
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,pork
5466136e2c0ad7d,What color are the bell peppers,green,red
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,on top of
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,tan
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,pork
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,on the plate
04bc6b3e8a8aea0,What color are the sliced onions,white,reddish-brown
706203205f79559,What is the main protein in the fajitas,steak,tempeh
706203205f79559,What color is the sliced steak,brownish-red,brown
706203205f79559,Where are the fajitas placed,on the plate,on top
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,green
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,tan
a1db7c4c3f6057d,What color are the falafels,golden-brown,red
a1db7c4c3f6057d,What type of food is shown in the image,falafels,fajitas
a1db7c4c3f6057d,What color is the lemon,yellow,yellow
a1b92188972141f,What color are the farro grains,brown,scattered
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushroom
a1b92188972141f,What color is the cilantro sprig,green,green
a1b92188972141f,Where is the cilantro sprig positioned,on top of,green
649f26370757a85,Is the dish suitable for vegetarians,yes,vegetarian
649f26370757a85,What is the main grain used in the skillet,farro,rice
649f26370757a85,What color is the bowl used to serve the dish,orange,white
649f26370757a85,Where are the black beans located in the dish,throughout,around the egg
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,tan
1182fb165965c24,What material are the jars made of,glass,glass
1182fb165965c24,What color is the fennel,yellow,yellow
1182fb165965c24,Where is the fennel contained,contained within,on a baking sheet
1182fb165965c24,How are the jars sealed,sealed,sealed
1182fb165965c24,What color is the cloth on the jars,red,blue
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,nuggets
dc82292cc9b95bb,What color are the feta fingers,golden,golden-brown
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue
c21c69d14faa792,What type of dish is shown in the image,salad,enchiladas
c21c69d14faa792,What color is the bowl holding the salad,yellow,green
c21c69d14faa792,What color are the chicken pieces in the salad,white,off-white
c0975f297eda584,What does the fettuccine do in the frame,fills,fills
c0975f297eda584,What type of pasta is shown,fettuccine,ravioli
c0975f297eda584,What is the texture of the sauce,creamy,creamy
c0975f297eda584,What is scattered on top of the pasta,cheese,gnocchi
c0975f297eda584,Where are the thin strands of cheese located,on top of,red
4a760002afb43b8,What is the color of the base of the dish,white,white
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,in the image
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,on the edges
614c5dee532b78e,What color are the figs,purple,brown
614c5dee532b78e,What type of fruit is shown in the image,figs,figs
614c5dee532b78e,Where is the goat cheese placed,on top of,white
614c5dee532b78e,What is the texture of the goat cheese,creamy,crumbled
614c5dee532b78e,How is the goat cheese distributed,scattered,white
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,yellow
a31ea68b260d0c2,What type of meat is shown in the image,filet,chicken
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,brown
a31ea68b260d0c2,Where are the filets placed,on a plate,brown
a31ea68b260d0c2,How is the exterior of the filets described,seared,brown
260ac1e7d31775e,What color is the plate,blue,green
260ac1e7d31775e,What type of food is being served,fish,mushroom
260ac1e7d31775e,What herb is scattered on the fish,dill,parsley
260ac1e7d31775e,What color is the fish generally,white,off-white
395a4e305e40a37,What flavor is the fish,Lemony,sweet
395a4e305e40a37,What type of food is shown in the image,Fish,fajitas
395a4e305e40a37,What color is the plate,Orange,green
395a4e305e40a37,Where is the fish placed,on plate,on a plate
395a4e305e40a37,What color are the herbs on the fish,Green,green
a5b87a311528eb8,What color is the plate,yellow,green
a5b87a311528eb8,What type of food is in the center of the plate,fish,gnocchi
a5b87a311528eb8,What color is the fish,golden-brown,pink
a5b87a311528eb8,Where is the fish located,on a plate,on a plate
a5b87a311528eb8,What color are the scallions on the fish,green,green
ce3a724e27e8f9f,What color is the fish,white,pink
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,fries
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,brown
ce3a724e27e8f9f,Where is the ginger placed,on top of,on a baking sheet
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green
27bc4f71b275ae7,What is in the clear glass,drink,sauce
27bc4f71b275ae7,What color is the foam on the drink,white,white
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,blue
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on top
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,amber
c3720ab16e601cc,What type of dessert is shown in the image,flan,enchiladas
c3720ab16e601cc,What color is the plate,white,green
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,amber
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,red
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,dark brown
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,red
a04609d90ed6c41,What color is the pineapple in the dish,yellow,golden-brown
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,cut
a04609d90ed6c41,What fruit is used in the dish,pineapple,strawberries
a04609d90ed6c41,What is the texture of the overall mixture,moist,golden-brown
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,brown
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,color
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,filling
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,cherry
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,browned
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,above the rim
93caec07215ba61,What color is the interior of the focaccia,yellow,yellow
93caec07215ba61,What type of bread is shown in the image,focaccia,lefse
93caec07215ba61,What color is the basil on top of the focaccia,green,green
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wooden
82927363da2288b,What color is the fondue in the bowl,yellow,yellow
82927363da2288b,What is the fondue contained in,bowl,pot
82927363da2288b,What is the state of the bread's crust,toasted,sliced
82927363da2288b,What color is the crust of the bread,golden-brown,golden-brown
82927363da2288b,Where is the fondue dripping from,down from,from the chocolate-covered pear
2d2938a660f6b1d,What color are the pretzel rings,brown,brown
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,over the Fritos
82c11793c3b8518,What color is the dessert,brown,reddish-pink
82c11793c3b8518,What type of food is shown in the image,dessert,fajitas
82c11793c3b8518,What shape are the desserts,rectangular,squares
f189044f1aaf168,What color are the slivered almonds on the candies,brown,on top of
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,peanuts
f189044f1aaf168,How are the almonds positioned on the candies,scattered,at the center
ff63f9d9e982d84,What color is the baking dish,white,white
ff63f9d9e982d84,What type of dish is the Frito Pie Casserole in,casserole,pie
ff63f9d9e982d84,How are the chopped green onions arranged on top of the chips,scattered,scattered
ff63f9d9e982d84,What color is the mixture underneath the chips,reddish-brown,pink
ff63f9d9e982d84,Where is the layer of Frito chips located,on top,on a plate
c1995791b9f2571,What color is the pan,black,black
c1995791b9f2571,What color is the base of the frittata,yellow,brown
c1995791b9f2571,How are the green herbs distributed in the frittata,scattered,scattered
c1995791b9f2571,What are the bright red slices arranged in the center,tomatoes,tomatoes
c1995791b9f2571,Where are the slices of tomatoes located,in a black pan,on each piece
76f8eb55a8ddb4a,What color is the frittata primarily,yellow,yellow
76f8eb55a8ddb4a,What vegetable is visible in the frittata,broccoli,potato
76f8eb55a8ddb4a,What is the overall tone of the frittata's color,light,dark
76f8eb55a8ddb4a,What type of cheese is visible in the frittata,cheddar,potato
