Answer,Predict,EM,Precision,Recall,F1
golden-brown,golden-brown,1.0,1.0,1.0,1.0
enchiladas,salad,0.0,0.0,0.0,0.0
white,yellow,0.0,0.0,0.0,0.0
on the left side,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
tomatoes,zucchini,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
melted,melted,1.0,1.0,1.0,1.0
covering,covering,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
across the bake,on top,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
chicken,chicken,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
on a plate,on top,0.0,0.5,0.3333333333333333,0.4
green,green,1.0,1.0,1.0,1.0
cilantro,cilantro,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
chicken,bacon,0.0,0.0,0.0,0.0
on a sheet pan,on a plate,0.0,0.6666666666666666,0.5,0.5714285714285715
chicken,chicken,1.0,1.0,1.0,1.0
green,red,0.0,0.0,0.0,0.0
atop the fajita filling,on top,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
mahi mahi,tuna,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
throughout the center,on a plate,0.0,0.0,0.0,0.0
white,red,0.0,0.0,0.0,0.0
steak,chicken,0.0,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0,0.0
on the plate,on a plate,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
mushrooms,tomatoes,0.0,0.0,0.0,0.0
beige,white,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
falafels,chips,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
mushrooms,mushrooms,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
on top of,on top of,1.0,1.0,1.0,1.0
yes,vegetarian,0.0,0.0,0.0,0.0
farro,rice,0.0,0.0,0.0,0.0
orange,white,0.0,0.0,0.0,0.0
throughout,scattered,0.0,0.0,0.0,0.0
zucchini,zucchini,1.0,1.0,1.0,1.0
glass,glass,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
contained within,contained,0.0,1.0,0.5,0.6666666666666666
sealed,arranged,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
feta fingers,bites,0.0,0.0,0.0,0.0
golden,white,0.0,0.0,0.0,0.0
blue,blue,1.0,1.0,1.0,1.0
salad,salad,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
white,brown,0.0,0.0,0.0,0.0
fills,fills,1.0,1.0,1.0,1.0
fettuccine,ravioli,0.0,0.0,0.0,0.0
creamy,creamy,1.0,1.0,1.0,1.0
cheese,mushrooms,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
white,white,1.0,1.0,1.0,1.0
located throughout,in the center,0.0,0.0,0.0,0.0
chicken,bacon,0.0,0.0,0.0,0.0
asparagus,browned,0.0,0.0,0.0,0.0
purple,brown,0.0,0.0,0.0,0.0
figs,bananas,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
creamy,creamy,1.0,1.0,1.0,1.0
scattered,scattered,1.0,1.0,1.0,1.0
pinkish-red,pink,0.0,0.0,0.0,0.0
filet,chicken,0.0,0.0,0.0,0.0
brown,golden-brown,0.0,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0,1.0
seared,crispy,0.0,0.0,0.0,0.0
blue,white,0.0,0.0,0.0,0.0
fish,vegetables,0.0,0.0,0.0,0.0
dill,parsley,0.0,0.0,0.0,0.0
white,orange,0.0,0.0,0.0,0.0
lemony,spicy,0.0,0.0,0.0,0.0
fish,chips,0.0,0.0,0.0,0.0
orange,white,0.0,0.0,0.0,0.0
on plate,on a plate,0.0,0.6666666666666666,1.0,0.8
green,green,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
fish,fish,1.0,1.0,1.0,1.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
white,golden-brown,0.0,0.0,0.0,0.0
fish,tofu,0.0,0.0,0.0,0.0
brown,red,0.0,0.0,0.0,0.0
on top of,on a plate,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
green,green,1.0,1.0,1.0,1.0
