reference,hypothesis,gpt_score
golden-brown,golden-brown,1.0
enchiladas,salad,0.1
white,white,1.0
on the left side,on the left side,1.0
tomatoes,tomatoes,1.0
white,white,1.0
melted,melted,1.0
covering,covering,1.0
green,green,1.0
across the bake,on top,0.1
golden-brown,golden-brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,on the left,0.2
green,green,1.0
cilantro,parsley,0.6
yellow,orange,0.7
chicken,chicken,1.0
on a sheet pan,on a baking sheet,0.9
chicken,beef,0.1
green,orange,0.2
atop the fajita filling,on top of,0.5
golden-brown,golden-brown,1.0
Mahi Mahi,halibut,0.2
red,red,1.0
throughout the center,on a baking sheet,0.1
white,white,1.0
steak,meat,0.8
brownish-red,brown,0.7
on the plate,on a plate,0.9
mushrooms,mushrooms,1.0
beige,beige,1.0
golden-brown,golden-brown,1.0
falafels,fritters,0.6
yellow,yellow,1.0
brown,brown,1.0
mushrooms,mushrooms,1.0
green,green,1.0
on top of,on top of,1.0
yes,vegan,0.0
farro,rice,0.3
orange,red,0.2
throughout,in the center,0.0
zucchini,zucchini,1.0
glass,glass,1.0
yellow,green,0.2
contained within,contained,0.8
sealed,jars,0.2
red,red,1.0
feta fingers,taquitos,0.1
golden,yellow,0.7
blue,blue,1.0
salad,salad,1.0
yellow,yellow,1.0
white,white,1.0
fills,fills,1.0
fettuccine,spaghetti,0.5
creamy,creamy,1.0
cheese,cheese,1.0
on top of,on top of,1.0
white,creamy,0.4
located throughout,in the center,0.2
chicken,chicken,1.0
asparagus,brown,0.0
purple,black,0.1
figs,blueberries,0.2
on top of,on top of,1.0
creamy,creamy,1.0
scattered,scattered,1.0
pinkish-red,pink,0.7
filet,beef,0.5
brown,brown,1.0
on a plate,on a plate,1.0
seared,browned,0.8
blue,blue,1.0
fish,fish,1.0
dill,rosemary,0.1
white,white,1.0
Lemony,spicy,0.1
Fish,meat,0.2
Orange,orange,1.0
on plate,on top of,0.8
Green,green,1.0
yellow,white,0.2
fish,fish,1.0
golden-brown,golden-brown,1.0
on a plate,on top of,0.6
green,green,1.0
white,white,1.0
fish,rice,0.0
brown,orange,0.2
on top of,on top of,1.0
green,green,1.0
drink,coffee,0.7
white,white,1.0
reddish-orange,red,0.6
on top of,on top of,1.0
shiny,smooth,0.4
flan,cake,0.2
white,white,1.0
caramel-colored,brown,0.7
chicken,chicken,1.0
drizzled,drizzled,1.0
purple,purple,1.0
yellow,yellow,1.0
diced,cut,0.8
pineapple,pineapple,1.0
moist,creamy,0.3
throughout the dish,scattered,0.2
glass,bowl,0.5
filling,filling,1.0
cranberries,cranberries,1.0
grapes,cranberries,0.2
to the brim,on top of,0.2
yellow,yellow,1.0
focaccia,bread,0.7
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,bowl,1.0
toasted,toasted,1.0
golden-brown,golden-brown,1.0
down from,pot,0.0
brown,brown,1.0
pretzel,popcorn,0.2
brown,golden-brown,0.8
dessert,bread,0.2
rectangular,squares,0.8
brown,brown,1.0
almonds,almonds,1.0
scattered,arranged,0.1
white,white,1.0
casserole,casserole,1.0
scattered,scattered,1.0
reddish-brown,brown,0.7
on top,on top of,0.9
black,black,1.0
yellow,yellow,1.0
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on top of,0.1
yellow,yellow,1.0
broccoli,spinach,0.5
light,light,1.0
cheddar,cheese,0.8
brown,golden-brown,0.8
clustered,arranged,0.6
plate,plate,1.0
yellow,yellow,1.0
on the left,on the left,1.0
golden-brown,golden-brown,1.0
fritter,fritters,1.0
crispy,crispy,1.0
white,white,1.0
chocolate,chocolate,1.0
stack,scattered,0.1
brown,brown,1.0
on a plate,on a plate,1.0
swirled,round,0.2
pink,pink,1.0
cupcake,cupcakes,1.0
cherry,blueberry,0.4
on top of,on top of,1.0
bowls,bowls,1.0
coats,covers,0.6
cake,cake,1.0
brown,brown,1.0
on the plate,on a plate,0.9
blue,blue,1.0
fries,casserole,0.1
orange,yellow,0.3
on top of,on top,0.9
yellow,yellow,1.0
casserole,casserole,1.0
white,white,1.0
fries,fish,0.1
golden-brown,red,0.2
orange,orange,1.0
on top of,on top,0.9
yellow,golden-brown,0.6
potato,potatoes,1.0
reddish-brown,golden-brown,0.5
on a plate,on a plate,1.0
yellow,orange,0.7
fries,fries,1.0
charred,browned,0.7
in the center,in the center,1.0
blue,blue,1.0
white,creamy,0.5
fudge,cake,0.2
red,red,1.0
walnuts,pecans,0.7
brown,brown,1.0
fudge,fudge,1.0
on the left,in the center,0.2
sheen,glossy,0.8
golden-brown,golden-brown,1.0
red,red,1.0
atop the galette,on top,0.5
green,green,1.0
golden-brown,golden-brown,1.0
pastry,bread,0.7
white,white,1.0
sprinkled,scattered,0.8
strawberry,strawberries,1.0
golden-brown,golden-brown,1.0
blueberries,blueberries,1.0
towards the top,on top of,0.8
tan,golden,0.1
garlic,garlic,1.0
yellow,orange,0.7
silver,silver,1.0
green,green,1.0
dessert,salad,0.1
gelatin,creamy,0.2
creamy,vibrant,0.1
golden-brown,golden-brown,1.0
bowl,bowl,1.0
sliced,mixed,0.2
green,green,1.0
on top of,on top of,1.0
ginger,garlic,0.2
chicken,tofu,0.1
white,white,1.0
on a plate,on a plate,1.0
red,red,1.0
translucent,translucent,1.0
jar,jar,1.0
amber,yellow,0.7
in the center,in the center,1.0
yellow,golden-brown,0.6
gingerbread,crackers,0.2
chocolate,sprinkled,0.1
beige,white,0.2
brown,brown,1.0
yes,visible,0.0
white,white,1.0
flower,rectangular,0.0
green,green,1.0
on top,on the left,0.2
gingerbread cookies,cookies,0.7
brown,brown,1.0
on a plate,on the plate,0.9
beige,creamy,0.7
cookies,cookies,1.0
stacked,stacked,1.0
on top of,on top,1.0
white,white,1.0
yellow,yellow,1.0
bacon,bacon,1.0
on top,on top of,0.9
gnocchi,pasta,0.7
shrimp,shrimp,1.0
green,green,1.0
brownish-red,brown,0.7
gnocchi,dumplings,0.7
green,green,1.0
on a plate,on a plate,1.0
yellow,brown,0.2
pasta,pasta,1.0
red,red,1.0
on top of,on top of,1.0
green,green,1.0
orange-brown,orange,0.7
macaroni,pasta,0.8
scattered,scattered,1.0
red,red,1.0
at the top,on the left,0.0
scattered,scattered,1.0
beef,beef,1.0
yellow,yellow,1.0
orange,orange,1.0
yellow,yellow,1.0
lemon,lemon,1.0
glass,glass,1.0
watermelon,watermelon,1.0
mint,garnish,0.2
brown,brown,1.0
granola,oatmeal,0.4
red,red,1.0
brown,brown,1.0
granola,oatmeal,0.4
red,red,1.0
scattered,scattered,1.0
in the mixture,in the center,0.2
yellow,creamy,0.2
potatoes,potatoes,1.0
yellow,yellow,1.0
in a baking dish,on top of,0.2
yellow,blue,0.1
dish,bowl,0.7
white,white,1.0
yellow,creamy,0.2
in the lower center,in the center,0.7
diced,large,0.0
shrimp,shrimp,1.0
orange,orange,1.0
broth,sauce,0.6
on the left,submerged,0.0
bowl,bowl,1.0
lemon,yellow,0.3
yellow,yellow,1.0
on the left side,on top of,0.1
scattered,scattered,1.0
brown,red,0.2
chicken,chicken,1.0
sausage,beef,0.2
beige,tan,0.8
gyros,quesadillas,0.1
brown,brown,1.0
on the left side,in the center,0.2
green,green,1.0
crispy,crispy,1.0
halibut,salmon,0.3
white,white,1.0
green,green,1.0
on top,on top of,0.9
beige,golden-brown,0.6
Halibut,halibut,1.0
green,green,1.0
on the right,plate,0.0
golden-brown,golden-brown,1.0
halloumi,cheese,0.8
gray,gray,1.0
on the left,on the left,1.0
yellow,yellow,1.0
apricot,apple,0.3
reddish-brown,reddish-brown,1.0
bowl,sauce,0.2
in the upper right,on the plate,0.1
pink,pink,1.0
ham,brisket,0.2
pink,pink,1.0
sandwich,sandwich,1.0
green,green,1.0
on a plate,on a plate,1.0
green,green,1.0
pink,pink,1.0
ham,ham,1.0
caramelized,browned,0.8
layered on,on top of,0.9
lettuce,salad,0.6
potato,potatoes,1.0
orange,orange,1.0
throughout,on top,0.2
yellow,yellow,1.0
