answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,golden brown,1.0,1.0,1.0
enchiladas,enchilada,1.0,0.0,1.0
white,white,1.0,0.0,1.0
on the left side,on the left side,1.0,1.0,1.0
tomatoes,tomatoes,1.0,0.0,1.0
white,white,1.0,0.0,1.0
melted,melted,1.0,0.0,1.0
covering,creamy texture,0.0,0.0,0.0
green,green,1.0,0.0,1.0
across the bake,"top right, bottom right",0.0,0.0,0.0
golden-brown,light brown,0.5,0.0,0.5
chicken,chicken,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
on a plate,on the plate,0.6666666666666666,0.0,0.6666666666666666
green,green,1.0,0.0,1.0
cilantro,cilantro,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
chicken,chicken,1.0,0.0,1.0
on a sheet pan,on a sheet pan,1.0,1.0,1.0
chicken,dark brown color,0.0,0.0,0.0
green,green,1.0,0.0,1.0
atop the fajita filling,on top of,0.0,0.0,0.0
golden-brown,light brown,0.5,0.0,0.5
Mahi Mahi,white fish,0.0,0.0,0.0
red,red,1.0,0.0,1.0
throughout the center,in the middle,0.3333333333333333,0.0,0.3333333333333333
white,white,1.0,0.0,1.0
steak,protein,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,on the plate,1.0,1.0,1.0
mushrooms,mushrooms,1.0,0.0,1.0
beige,white,0.0,0.0,0.0
golden-brown,golden brown color,0.8,0.6666666666666666,0.8
falafels,food,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
mushrooms,mushrooms,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top of,center of the dish,0.28571428571428575,0.0,0.28571428571428575
yes,suitable for vegetarians,0.0,0.0,0.0
farro,farro,1.0,0.0,1.0
orange,orange,1.0,0.0,1.0
throughout,throughout,1.0,0.0,1.0
zucchini,zucchini,1.0,0.0,1.0
glass,glass,1.0,0.0,1.0
yellow,green,0.0,0.0,0.0
contained within,contained in the,0.4,0.0,0.4
sealed,sealed,1.0,0.0,1.0
red,red,1.0,0.0,1.0
feta fingers,rectangular golden-brown items,0.0,0.0,0.0
golden,light brown,0.0,0.0,0.0
blue,blue,1.0,0.0,1.0
salad,tuna salad,0.6666666666666666,0.0,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
white,no chicken,0.0,0.0,0.0
fills,base,0.0,0.0,0.0
fettuccine,"long, thin, cylindrical",0.0,0.0,0.0
creamy,creamy,1.0,0.0,1.0
cheese,cheese,1.0,0.0,1.0
on top of,on top of,1.0,1.0,1.0
white,white,1.0,0.0,1.0
located throughout,located in the,0.4,0.0,0.4
chicken,chicken,1.0,0.0,1.0
asparagus,light brown color,0.0,0.0,0.0
purple,purple,1.0,0.0,1.0
figs,figs,1.0,0.0,1.0
on top of,on top of,1.0,1.0,1.0
creamy,crumbly texture,0.0,0.0,0.0
scattered,distributed,0.0,0.0,0.0
pinkish-red,pink,0.0,0.0,0.0
filet,meat,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
on a plate,on a plate,1.0,1.0,1.0
seared,dark brown,0.0,0.0,0.0
blue,blue,1.0,0.0,1.0
fish,fish,1.0,0.0,1.0
dill,dill,1.0,0.0,1.0
white,white,1.0,0.0,1.0
Lemony,lemon zest,0.0,0.0,0.0
Fish,cooked salmon,0.0,0.0,0.0
Orange,orange,1.0,0.0,1.0
on plate,on plate,1.0,1.0,1.0
Green,Green,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
fish,fish,1.0,0.0,1.0
golden-brown,orange,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0
green,green,1.0,0.0,1.0
white,white,1.0,0.0,1.0
fish,fish,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
on top of,on top of,1.0,1.0,1.0
green,green,1.0,0.0,1.0
drink,drink,1.0,0.0,1.0
white,white,1.0,0.0,1.0
reddish-orange,orange,0.6666666666666666,0.0,0.6666666666666666
on top of,on top of,1.0,1.0,1.0
