answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,golden brown,1.0,1.0,1.0
enchiladas,enchilada,1.0,0.0,1.0
white,light-colored,0.0,0.0,0.0
on the left side,left side of plate,0.5,0.3333333333333333,0.5
tomatoes,tomatoes,1.0,0.0,1.0
white,white,1.0,0.0,1.0
melted,melted and browned,0.5,0.0,0.5
covering,melting and adding texture,0.0,0.0,0.0
green,green,1.0,0.0,1.0
across the bake,top left,0.0,0.0,0.0
golden-brown,light brown,0.5,0.0,0.5
chicken,chicken,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
on a plate,lower-left side,0.0,0.0,0.0
green,green,1.0,0.0,1.0
cilantro,cilantro,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
chicken,chicken,1.0,0.0,1.0
on a sheet pan,on a sheet pan,1.0,1.0,1.0
chicken,beef,0.0,0.0,0.0
green,yellow red and green,0.4,0.0,0.4
atop the fajita filling,right taco,0.0,0.0,0.0
golden-brown,light brown,0.5,0.0,0.5
Mahi Mahi,cod,0.0,0.0,0.0
red,red yellow and orange,0.4,0.0,0.4
throughout the center,middle of the dish,0.28571428571428575,0.0,0.28571428571428575
white,white,1.0,0.0,1.0
steak,beef,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,yellow plate,0.4,0.0,0.4
mushrooms,mushrooms,1.0,0.0,1.0
beige,white,0.0,0.0,0.0
golden-brown,golden brown,1.0,1.0,1.0
falafels,fish cakes,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,light brown,0.6666666666666666,0.0,0.6666666666666666
mushrooms,mushrooms,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top of,center of the dish,0.28571428571428575,0.0,0.28571428571428575
yes,yes,1.0,0.0,1.0
farro,farro,1.0,0.0,1.0
orange,orange,1.0,0.0,1.0
throughout,right side of bowl,0.0,0.0,0.0
zucchini,zucchini,1.0,0.0,1.0
glass,glass,1.0,0.0,1.0
yellow,green,0.0,0.0,0.0
contained within,in the jar,0.0,0.0,0.0
sealed,fabric lid and ribbon,0.0,0.0,0.0
red,red and white,0.5,0.0,0.5
feta fingers,french toast sticks,0.0,0.0,0.0
golden,light brown,0.0,0.0,0.0
blue,blue and yellow,0.5,0.0,0.5
salad,tuna salad,0.6666666666666666,0.0,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
white,not chicken pieces,0.0,0.0,0.0
fills,base for a sauce,0.0,0.0,0.0
fettuccine,spaghetti or linguine,0.0,0.0,0.0
creamy,smooth and creamy,0.5,0.0,0.5
cheese,shredded cheese,0.6666666666666666,0.0,0.6666666666666666
on top of,on top of pasta,0.8571428571428571,0.8,0.8571428571428571
white,white,1.0,0.0,1.0
located throughout,bottom of the dish,0.0,0.0,0.0
chicken,chicken,1.0,0.0,1.0
asparagus,light brown,0.0,0.0,0.0
purple,dark purple,0.6666666666666666,0.0,0.6666666666666666
figs,dried fig,0.6666666666666666,0.0,0.6666666666666666
on top of,top of the figs,0.5714285714285715,0.4,0.5714285714285715
creamy,crumbly texture,0.0,0.0,0.0
scattered,crumbled and placed on,0.0,0.0,0.0
pinkish-red,light pink,0.0,0.0,0.0
filet,steak,0.0,0.0,0.0
brown,dark brown,0.6666666666666666,0.0,0.6666666666666666
on a plate,on a white plate,0.8571428571428571,0.4,0.8571428571428571
seared,charred with dark brown,0.0,0.0,0.0
blue,dark blue,0.6666666666666666,0.0,0.6666666666666666
fish,fish,1.0,0.0,1.0
dill,dill,1.0,0.0,1.0
white,white,1.0,0.0,1.0
Lemony,herbs and spices,0.0,0.0,0.0
Fish,salmon,0.0,0.0,0.0
Orange,orange,1.0,0.0,1.0
on plate,on a plate,0.8,0.0,0.8
Green,green,1.0,0.0,1.0
yellow,white,0.0,0.0,0.0
fish,whole cooked fish,0.5,0.0,0.5
golden-brown,orange,0.0,0.0,0.0
on a plate,on a bed of lettuce,0.5,0.3333333333333333,0.5
green,green,1.0,0.0,1.0
white,white or light-colored,0.4,0.0,0.4
