Image,Question,Answer,Predict,EM,Precision,Recall,F1
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,golden brown,0.0,0.0,0.0,0.0
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,enchilada,0.0,0.0,0.0,0.0
ff557f4ea977d3a,What color is the filling of the enchiladas,white,light-colored,0.0,0.0,0.0,0.0
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,left side of plate,0.0,0.5,0.5,0.5
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,tomatoes,1.0,1.0,1.0,1.0
5c89583c7d79eac,What color is the baking dish,white,white,1.0,1.0,1.0,1.0
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted and browned,0.0,0.3333333333333333,1.0,0.5
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,melting and adding texture,0.0,0.0,0.0,0.0
5c89583c7d79eac,What color are the avocado slices,green,green,1.0,1.0,1.0,1.0
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,top left,0.0,0.0,0.0,0.0
ec8d556e427215f,What color is the chicken,golden-brown,light brown,0.0,0.0,0.0,0.0
ec8d556e427215f,What type of meat is used in the fajitas,chicken,chicken,1.0,1.0,1.0,1.0
ec8d556e427215f,What color is the shredded cheese,yellow,yellow,1.0,1.0,1.0,1.0
ec8d556e427215f,Where is the sour cream located,on a plate,lower-left side,0.0,0.0,0.0,0.0
4540be4f1b7483a,What color is the cilantro,green,green,1.0,1.0,1.0,1.0
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,cilantro,1.0,1.0,1.0,1.0
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,yellow,1.0,1.0,1.0,1.0
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,chicken,1.0,1.0,1.0,1.0
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,on a sheet pan,1.0,1.0,1.0,1.0
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,beef,0.0,0.0,0.0,0.0
5466136e2c0ad7d,What color are the bell peppers,green,yellow red and green,0.0,0.25,1.0,0.4
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,right taco,0.0,0.0,0.0,0.0
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,light brown,0.0,0.0,0.0,0.0
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,cod,0.0,0.0,0.0,0.0
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red yellow and orange,0.0,0.25,1.0,0.4
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,middle of the dish,0.0,0.25,0.3333333333333333,0.28571428571428575
04bc6b3e8a8aea0,What color are the sliced onions,white,white,1.0,1.0,1.0,1.0
706203205f79559,What is the main protein in the fajitas,steak,beef,0.0,0.0,0.0,0.0
706203205f79559,What color is the sliced steak,brownish-red,brown,0.0,0.0,0.0,0.0
706203205f79559,Where are the fajitas placed,on the plate,yellow plate,0.0,0.5,0.3333333333333333,0.4
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,mushrooms,1.0,1.0,1.0,1.0
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,white,0.0,0.0,0.0,0.0
a1db7c4c3f6057d,What color are the falafels,golden-brown,golden brown,0.0,0.0,0.0,0.0
a1db7c4c3f6057d,What type of food is shown in the image,falafels,fish cakes,0.0,0.0,0.0,0.0
a1db7c4c3f6057d,What color is the lemon,yellow,yellow,1.0,1.0,1.0,1.0
a1b92188972141f,What color are the farro grains,brown,light brown,0.0,0.5,1.0,0.6666666666666666
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushrooms,1.0,1.0,1.0,1.0
a1b92188972141f,What color is the cilantro sprig,green,green,1.0,1.0,1.0,1.0
a1b92188972141f,Where is the cilantro sprig positioned,on top of,center of the dish,0.0,0.25,0.3333333333333333,0.28571428571428575
649f26370757a85,Is the dish suitable for vegetarians,yes,yes,1.0,1.0,1.0,1.0
649f26370757a85,What is the main grain used in the skillet,farro,farro,1.0,1.0,1.0,1.0
649f26370757a85,What color is the bowl used to serve the dish,orange,orange,1.0,1.0,1.0,1.0
649f26370757a85,Where are the black beans located in the dish,throughout,right side of bowl,0.0,0.0,0.0,0.0
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,zucchini,1.0,1.0,1.0,1.0
1182fb165965c24,What material are the jars made of,glass,glass,1.0,1.0,1.0,1.0
1182fb165965c24,What color is the fennel,yellow,green,0.0,0.0,0.0,0.0
1182fb165965c24,Where is the fennel contained,contained within,in the jar,0.0,0.0,0.0,0.0
1182fb165965c24,How are the jars sealed,sealed,fabric lid and ribbon,0.0,0.0,0.0,0.0
1182fb165965c24,What color is the cloth on the jars,red,red and white,0.0,0.3333333333333333,1.0,0.5
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,french toast sticks,0.0,0.0,0.0,0.0
dc82292cc9b95bb,What color are the feta fingers,golden,light brown,0.0,0.0,0.0,0.0
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue and yellow,0.0,0.3333333333333333,1.0,0.5
c21c69d14faa792,What type of dish is shown in the image,salad,tuna salad,0.0,0.5,1.0,0.6666666666666666
c21c69d14faa792,What color is the bowl holding the salad,yellow,yellow,1.0,1.0,1.0,1.0
c21c69d14faa792,What color are the chicken pieces in the salad,white,not chicken pieces,0.0,0.0,0.0,0.0
c0975f297eda584,What does the fettuccine do in the frame,fills,base for a sauce,0.0,0.0,0.0,0.0
c0975f297eda584,What type of pasta is shown,fettuccine,spaghetti or linguine,0.0,0.0,0.0,0.0
c0975f297eda584,What is the texture of the sauce,creamy,smooth and creamy,0.0,0.3333333333333333,1.0,0.5
c0975f297eda584,What is scattered on top of the pasta,cheese,shredded cheese,0.0,0.5,1.0,0.6666666666666666
c0975f297eda584,Where are the thin strands of cheese located,on top of,on top of pasta,0.0,0.75,1.0,0.8571428571428571
4a760002afb43b8,What is the color of the base of the dish,white,white,1.0,1.0,1.0,1.0
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,bottom of the dish,0.0,0.0,0.0,0.0
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken,1.0,1.0,1.0,1.0
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,light brown,0.0,0.0,0.0,0.0
614c5dee532b78e,What color are the figs,purple,dark purple,0.0,0.5,1.0,0.6666666666666666
614c5dee532b78e,What type of fruit is shown in the image,figs,dried fig,0.0,0.0,0.0,0.0
614c5dee532b78e,Where is the goat cheese placed,on top of,top of the figs,0.0,0.5,0.6666666666666666,0.5714285714285715
614c5dee532b78e,What is the texture of the goat cheese,creamy,crumbly texture,0.0,0.0,0.0,0.0
614c5dee532b78e,How is the goat cheese distributed,scattered,crumbled and placed on,0.0,0.0,0.0,0.0
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,light pink,0.0,0.0,0.0,0.0
a31ea68b260d0c2,What type of meat is shown in the image,filet,steak,0.0,0.0,0.0,0.0
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,dark brown,0.0,0.5,1.0,0.6666666666666666
a31ea68b260d0c2,Where are the filets placed,on a plate,on a white plate,0.0,0.75,1.0,0.8571428571428571
a31ea68b260d0c2,How is the exterior of the filets described,seared,charred with dark brown,0.0,0.0,0.0,0.0
260ac1e7d31775e,What color is the plate,blue,dark blue,0.0,0.5,1.0,0.6666666666666666
260ac1e7d31775e,What type of food is being served,fish,fish,1.0,1.0,1.0,1.0
260ac1e7d31775e,What herb is scattered on the fish,dill,dill,1.0,1.0,1.0,1.0
260ac1e7d31775e,What color is the fish generally,white,white,1.0,1.0,1.0,1.0
395a4e305e40a37,What flavor is the fish,Lemony,herbs and spices,0.0,0.0,0.0,0.0
395a4e305e40a37,What type of food is shown in the image,Fish,salmon,0.0,0.0,0.0,0.0
395a4e305e40a37,What color is the plate,Orange,orange,1.0,1.0,1.0,1.0
395a4e305e40a37,Where is the fish placed,on plate,on a plate,0.0,0.6666666666666666,1.0,0.8
395a4e305e40a37,What color are the herbs on the fish,Green,green,1.0,1.0,1.0,1.0
a5b87a311528eb8,What color is the plate,yellow,white,0.0,0.0,0.0,0.0
a5b87a311528eb8,What type of food is in the center of the plate,fish,whole cooked fish,0.0,0.3333333333333333,1.0,0.5
a5b87a311528eb8,What color is the fish,golden-brown,orange,0.0,0.0,0.0,0.0
a5b87a311528eb8,Where is the fish located,on a plate,on a bed of lettuce,0.0,0.4,0.6666666666666666,0.5
a5b87a311528eb8,What color are the scallions on the fish,green,green,1.0,1.0,1.0,1.0
ce3a724e27e8f9f,What color is the fish,white,white or light-colored,0.0,0.3333333333333333,1.0,0.5
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,white rice,0.0,0.0,0.0,0.0
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,dark brown,0.0,0.5,1.0,0.6666666666666666
ce3a724e27e8f9f,Where is the ginger placed,on top of,on top of fish,0.0,0.75,1.0,0.8571428571428571
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green,1.0,1.0,1.0,1.0
27bc4f71b275ae7,What is in the clear glass,drink,creamy yellowish liquid,0.0,0.0,0.0,0.0
27bc4f71b275ae7,What color is the foam on the drink,white,white,1.0,1.0,1.0,1.0
