answer,predicted_answer,bleu_score
golden-brown,golden brown,0.0
enchiladas,enchilada,0.0
white,creamy white,0.06754436142034707
on the left side,left side,0.08144431026514741
tomatoes,diced tomatoes,0.06754436142034707
white,white,1.0
melted,melted and slightly browned,0.061033220311973134
covering,melting,0.0
green,green,1.0
across the bake,top of the dish,0.061033220311973134
golden-brown,golden-brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,left side of plate,0.061033220311973134
green,green,1.0
cilantro,cilantro,1.0
yellow,yellow,1.0
chicken,chicken or beef,0.07249749990681824
on a sheet pan,baking sheet,0.02484818193359921
chicken,beef,0.0
green,red and yellow,0.0
atop the fajita filling,on the plate,0.05194672862155564
golden-brown,golden brown,0.0
Mahi Mahi,tilapia or cod,0.0
red,red and yellow,0.07249749990681824
throughout the center,baking sheet,0.0
white,white or light yellow,0.061033220311973134
steak,steak,1.0
brownish-red,brown,0.0
on the plate,green plate,0.04096772609215166
mushrooms,mushrooms,1.0
beige,white,0.0
golden-brown,golden brown,0.0
falafels,fish cakes,0.0
yellow,yellow,1.0
brown,brown and beige,0.07249749990681824
mushrooms,mushrooms,1.0
green,green,1.0
on top of,top of the dish,0.16821895003341453
yes,possibly,0.0
farro,quinoa,0.0
orange,orange,1.0
throughout,mixed throughout the dish,0.061033220311973134
zucchini,zucchini,1.0
glass,glass,1.0
yellow,green,0.0
contained within,glass jars,0.0
sealed,metal clasp,0.0
red,red and white,0.07249749990681824
feta fingers,baked or fried snack,0.0
golden,light golden,0.06754436142034707
blue,white,0.0
salad,tuna salad,0.06754436142034707
yellow,yellow,1.0
white,pinkish-white,0.0
fills,main subject,0.0
fettuccine,fettuccine,1.0
creamy,smooth and creamy,0.07249749990681824
cheese,finely sprouts,0.0
on top of,top of pasta,0.21177974141341938
white,white,1.0
located throughout,bottom of the dish,0.0
chicken,chicken,1.0
asparagus,golden-brown,0.0
purple,dark purple or black,0.061033220311973134
figs,dried plums,0.0
on top of,top of dried fruits,0.16821895003341453
creamy,soft and creamy,0.07249749990681824
scattered,unevenly,0.0
pinkish-red,dark red,0.0
filet,steak,0.0
brown,dark brown,0.06754436142034707
on a plate,on a white plate,0.18616487055295167
seared,medium-rare,0.0
blue,black,0.0
fish,fish,1.0
dill,dill,1.0
white,white,1.0
Lemony,herbs and spices,0.0
Fish,salmon,0.0
Orange,orange,0.0
on plate,on a plate,0.08621454270909737
Green,green,0.0
yellow,white,0.0
fish,whole fish,0.06754436142034707
golden-brown,golden-orange,0.0
on a plate,center of the image,0.0
green,green,1.0
white,white,1.0
fish,rice,0.0
brown,light brown,0.06754436142034707
on top of,top of the rice,0.16821895003341453
green,green,1.0
drink,creamy beverage,0.0
white,light orange,0.0
reddish-orange,orange,0.0
on top of,surface of the drink,0.061033220311973134
shiny,smooth and slightly glossy,0.0
flan,flan,1.0
white,white,1.0
caramel-colored,light brown,0.0
chicken,chicken,1.0
drizzled,drizzled over the pizza,0.061033220311973134
purple,red,0.0
yellow,yellow,1.0
diced,cut into chunks,0.0
pineapple,pineapple,1.0
moist,moist and dense,0.07249749990681824
throughout the dish,evenly distributed,0.0
glass,glass bowl,0.06754436142034707
filling,three-quarters full,0.0
cranberries,cranberries,1.0
grapes,cranberries,0.0
to the brim,glass bowl,0.0
yellow,light golden,0.0
focaccia,artisanal sourdough bread,0.0
green,green,1.0
wooden,wooden cutting board,0.07249749990681824
yellow,light yellow,0.06754436142034707
bowl,white bowl,0.06754436142034707
toasted,softer texture,0.0
golden-brown,golden brown,0.0
down from,piece of bread,0.0
brown,light brown,0.06754436142034707
pretzel,cereal,0.0
brown,golden brown,0.06754436142034707
dessert,baked good,0.0
rectangular,square-shaped,0.0
brown,light brown,0.06754436142034707
almonds,chopped nuts,0.0
scattered,scattered and partially embedded,0.061033220311973134
white,white,1.0
casserole,baked dish,0.0
scattered,sprinkled evenly,0.0
reddish-brown,light yellow,0.0
on top,bottom of the dish,0.0
black,black,1.0
yellow,light green,0.0
scattered,spread evenly,0.0
tomatoes,sliced tomatoes,0.06754436142034707
in a black pan,top of the frittata,0.0
yellow,yellow,1.0
broccoli,broccoli,1.0
light,fresh and appetizing,0.0
cheddar,white cheese,0.0
brown,golden brown,0.06754436142034707
clustered,circular pattern,0.0
plate,fried items,0.0
yellow,yellow,1.0
on the left,on the plate,0.21177974141341938
golden-brown,golden brown,0.0
fritter,potato-based fritter,0.06754436142034707
crispy,golden-brown and crispy,0.07249749990681824
white,white,1.0
chocolate,chocolate,1.0
stack,single column,0.0
brown,dark brown,0.06754436142034707
on a plate,on a white plate,0.18616487055295167
swirled,swirl or spiral,0.0
pink,pink,1.0
cupcake,cupcake,1.0
cherry,strawberry or raspberry,0.0
on top of,on top,0.13427896671164932
bowls,small round bowls,0.07249749990681824
coats,spread across cake,0.0
cake,chocolate cake,0.06754436142034707
brown,dark brown,0.06754436142034707
on the plate,on a white plate,0.07258113984652705
blue,light blue,0.06754436142034707
fries,pasta,0.0
orange,light yellow,0.0
on top of,on top of pasta,0.43146827293898643
yellow,not french fries,0.0
casserole,baked pasta dish,0.0
white,white,1.0
fries,baked or fried food,0.0
golden-brown,not visible,0.0
orange,not visible,0.0
on top of,top of pastry,0.21177974141341938
yellow,golden brown,0.0
potato,sweet potatoes,0.0
reddish-brown,reddish-brown,1.0
on a plate,on a plate,0.5757197301274735
yellow,orange,0.0
fries,sweet potato fries,0.07249749990681824
charred,charred or browned,0.07249749990681824
in the center,somewhat scattered,0.0
blue,blue,1.0
white,white,1.0
fudge,fudge,1.0
red,deep red,0.06754436142034707
walnuts,walnuts or pecans,0.07249749990681824
brown,light brown,0.06754436142034707
fudge,fudge,1.0
on the left,left side,0.04096772609215166
sheen,smooth and even,0.0
golden-brown,golden brown,0.0
red,red,1.0
atop the galette,upper left corner,0.0
green,green,1.0
golden-brown,golden brown,0.0
pastry,french pastry,0.06754436142034707
white,white,1.0
sprinkled,lightly dusted over,0.0
strawberry,strawberries,0.0
golden-brown,golden brown,0.0
blueberries,blueberries,1.0
towards the top,on top,0.04096772609215166
tan,light brown,0.0
garlic,garlic,1.0
yellow,golden-brown,0.0
silver,silver,1.0
green,green,1.0
dessert,gelatin salad,0.0
gelatin,firm semi-solid,0.0
creamy,refreshing and visually appealing,0.0
golden-brown,white,0.0
bowl,white rice,0.0
sliced,sliced and placed,0.07249749990681824
green,green,1.0
on top of,on top,0.13427896671164932
ginger,red peppers,0.0
chicken,chicken,1.0
white,white,1.0
on a plate,on a rectangular plate,0.18616487055295167
red,red,1.0
translucent,light yellow,0.0
jar,glass jar,0.06754436142034707
amber,light yellow,0.0
in the center,centrally,0.0
yellow,golden brown,0.0
gingerbread,chocolate filled pastries,0.0
chocolate,chocolate topping,0.06754436142034707
beige,white,0.0
brown,brown,1.0
yes,yes,1.0
white,white,1.0
flower,flower shape,0.06754436142034707
green,red and green,0.07249749990681824
on top,upper left corner,0.0
gingerbread cookies,gingerbread cookies,0.2213885886251307
brown,light brown,0.06754436142034707
on a plate,on a white plate,0.18616487055295167
beige,creamy white,0.0
cookies,sugar cookies,0.06754436142034707
stacked,stacked vertically,0.06754436142034707
on top of,top surface,0.04096772609215166
white,white,1.0
yellow,yellowish-white,0.0
bacon,bacon,1.0
on top,on top of soup,0.16821895003341453
gnocchi,gnocchi,1.0
shrimp,shrimp,1.0
green,green,1.0
brownish-red,light brown,0.0
gnocchi,potato dumplings,0.0
green,green,1.0
on a plate,on a white plate,0.18616487055295167
yellow,light yellow,0.06754436142034707
pasta,pasta dish,0.06754436142034707
red,red,1.0
on top of,on top of pasta,0.43146827293898643
green,green,1.0
orange-brown,light yellowish-orange,0.0
macaroni,elbow macaroni,0.06754436142034707
scattered,mixed together,0.0
red,red,1.0
at the top,right side of bowl,0.0
scattered,evenly distributed,0.0
beef,beef,1.0
yellow,light yellow,0.06754436142034707
orange,orange,1.0
yellow,yellow,1.0
lemon,lemon,1.0
glass,a glass,0.06754436142034707
watermelon,watermelon,1.0
mint,sprig of mint,0.07249749990681824
brown,golden-brown,0.0
granola,granola,1.0
red,red,1.0
brown,brown,1.0
granola,granola,1.0
red,red,1.0
scattered,evenly distributed,0.0
in the mixture,scattered throughout,0.0
yellow,light yellow,0.06754436142034707
potatoes,sliced potatoes,0.06754436142034707
yellow,golden brown,0.0
in a baking dish,layered on top,0.0
yellow,blue,0.0
dish,ceramic dish,0.06754436142034707
white,white,1.0
yellow,creamy white,0.0
in the lower center,lower part,0.02484818193359921
diced,small bite-sized,0.0
shrimp,shrimp,1.0
orange,orange,1.0
broth,broth or stock,0.07249749990681824
on the left,in the pot,0.07249749990681824
bowl,ceramic bowl,0.06754436142034707
lemon,yellow,0.0
yellow,yellow,1.0
on the left side,top of leafy greens,0.0
scattered,scattered throughout,0.06754436142034707
brown,dark brown,0.06754436142034707
chicken,chicken,1.0
sausage,sausage,1.0
beige,white,0.0
gyros,gyros,1.0
brown,brown,1.0
on the left side,on a plate,0.05194672862155564
green,green,1.0
crispy,crispy and crunchy,0.07249749990681824
halibut,cod or haddock,0.0
white,light golden,0.0
green,green,1.0
on top,on top,0.2213885886251307
beige,golden brown,0.0
Halibut,cod or haddock,0.0
green,green,1.0
on the right,a plate,0.0
golden-brown,golden brown,0.0
halloumi,halloumi or paneer,0.07249749990681824
gray,white,0.0
on the left,left side,0.04096772609215166
yellow,yellow,1.0
apricot,no visible fruit,0.0
reddish-brown,reddish-brown,1.0
bowl,small bowl,0.06754436142034707
in the upper right,upper right corner,0.15174681566793558
pink,light brown,0.0
ham,roast beef,0.0
pink,pinkish,0.0
sandwich,sandwich,1.0
green,green,1.0
on a plate,on a white plate,0.18616487055295167
green,green,1.0
pink,pink,1.0
ham,ham,1.0
caramelized,slightly charred,0.0
layered on,on top of greens,0.061033220311973134
lettuce,mixed greens,0.0
potato,potatoes,0.0
orange,golden brown,0.0
throughout,top of fried egg,0.0
yellow,bright yellow,0.06754436142034707
brownish,brown white yellow,0.0
plate,casserole,0.0
yellow,white and yellow,0.07249749990681824
sprinkled on top,top of dish,0.07249749990681824
white,white,1.0
orange,golden-brown,0.0
potato,sweet potato,0.06754436142034707
fried,over easy,0.0
on top of,on top,0.13427896671164932
bacon,bacon,1.0
hash browns,cornmeal patties,0.0
golden-brown,golden-brown,1.0
yes,yes,1.0
on a plate,white plate,0.04096772609215166
golden-brown,golden brown,0.0
plate,wooden plate,0.06754436142034707
orange,orange,1.0
chives,green herbs,0.0
brown,light brown,0.06754436142034707
chicken,chicken or beef,0.07249749990681824
yellow,light yellow,0.06754436142034707
in the upper right,upper right corner,0.15174681566793558
golden-brown,golden-brown,1.0
hen,roasted chicken,0.0
brown,brown and red,0.07249749990681824
at the top left,left side of plate,0.061033220311973134
salad,salad,1.0
green-white,greenish,0.0
over the salad leaves,over the salad,0.41252121275142684
tomatoes,tomatoes and avocado,0.07249749990681824
edamame,green soybeans,0.0
hummus,green soybeans,0.0
black,black,1.0
on top of,top of the bowl,0.16821895003341453
yellow,light greenish-yellow,0.0
hummus,hummus,1.0
submerged,right side of bowl,0.0
crackers,pita bread,0.0
on the right,on the rim,0.21177974141341938
bowl,white bowl,0.06754436142034707
brownish-green,light greenish-yellow,0.0
towards the top left,left side,0.02484818193359921
beige,light beige,0.06754436142034707
hummus,hummus,1.0
yellow,yellowish-green,0.0
tomatoes,tomatoes,1.0
spices,paprika,0.0
yellow-beige,light brown,0.0
bowl,black bowl,0.06754436142034707
orange,orange,1.0
carrots,baby carrots,0.06754436142034707
on the plate,on a plate,0.08621454270909737
reddish-brown,deep red,0.0
jars,glass jars,0.06754436142034707
in the center,bottom of the frame,0.061033220311973134
orange,light orange,0.06754436142034707
jars,glass,0.0
glass,metal,0.0
in the center,on a countertop,0.0
pinkish-white,light beige,0.0
in the center,glass jar,0.0
bottom half,the jar,0.0
orange,light orange,0.06754436142034707
vibrant,orange,0.0
glass,glass,1.0
papaya,orange,0.0
fresh,ripe and soft,0.0
on a white cloth,on a countertop,0.15174681566793558
dark brown,black,0.0
cubes,triangular,0.0
beige,white,0.0
scattered,throughout the mugs,0.0
black,dark brown,0.0
dark,dark brown,0.06754436142034707
stacked,somewhat overlapping,0.0
dish,white rectangular plate,0.0
in the center,upper left,0.0
brown,dark or reddish-brown,0.0
beef jerky,dried seafood,0.0
scattered,scattered and overlapping,0.07249749990681824
reddish-brown,darker and more charred,0.0
around the edges,upper left,0.0
brown,dark brown,0.06754436142034707
beef jerky,dried meat,0.0
overlapping,scattered and overlapping,0.07249749990681824
dark brown,dark brown,0.2213885886251307
located inside,glass jar,0.0
jar,glass jar,0.06754436142034707
sitting,holding dried meat,0.0
wooden,wood,0.0
yellow-tan,light color,0.0
plate,on a white plate,0.061033220311973134
white,white,1.0
glazed,smooth and slightly glossy,0.0
Sloppy Joe,sloppy joe,0.0
reddish-brown,reddish-brown,1.0
yellow,yellowish-brown,0.0
on the bottom,bottom of sandwich,0.07249749990681824
golden-brown,light brown,0.0
chicken,pulled meat,0.0
orange,light brown or beige,0.0
on top,on top,0.2213885886251307
chips,potato chips,0.06754436142034707
golden-brown,light brown,0.0
bun,green peppers,0.0
gray,white,0.0
on a plate,the plate,0.04096772609215166
tan,light brown,0.0
bun,yes,0.0
red,dark red,0.06754436142034707
on top,top bun,0.06754436142034707
diced,yes,0.0
beige,creamy white,0.0
juice,latte,0.0
on the table,in the glass,0.07249749990681824
glass,a glass,0.06754436142034707
