answer,predicted_answer,bleu_score
golden-brown,golden-brown,1.0
enchiladas,salad,0.0
white,yellow,0.0
on the left side,in the center,0.05194672862155564
tomatoes,zucchini,0.0
white,white,1.0
melted,melted,1.0
covering,covering,1.0
green,green,1.0
across the bake,on top,0.0
golden-brown,golden-brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,on top,0.04096772609215166
green,green,1.0
cilantro,cilantro,1.0
yellow,white,0.0
chicken,bacon,0.0
on a sheet pan,on a plate,0.15174681566793558
chicken,chicken,1.0
green,red,0.0
atop the fajita filling,on top,0.0
golden-brown,golden-brown,1.0
mahi mahi,tuna,0.0
red,red,1.0
throughout the center,on a plate,0.0
white,red,0.0
steak,chicken,0.0
brownish-red,brown,0.0
on the plate,on a plate,0.08621454270909737
mushrooms,tomatoes,0.0
beige,white,0.0
golden-brown,golden-brown,1.0
falafels,chips,0.0
yellow,yellow,1.0
brown,brown,1.0
mushrooms,mushrooms,1.0
green,green,1.0
on top of,on top of,0.5757197301274735
yes,vegetarian,0.0
farro,rice,0.0
orange,white,0.0
throughout,scattered,0.0
zucchini,zucchini,1.0
glass,glass,1.0
yellow,white,0.0
contained within,contained,0.36787944117144233
sealed,arranged,0.0
red,red,1.0
feta fingers,bites,0.0
golden,white,0.0
blue,blue,1.0
salad,salad,1.0
yellow,white,0.0
white,brown,0.0
fills,fills,1.0
fettuccine,ravioli,0.0
creamy,creamy,1.0
cheese,mushrooms,0.0
on top of,on top,0.13427896671164932
white,white,1.0
located throughout,in the center,0.0
chicken,bacon,0.0
asparagus,browned,0.0
purple,brown,0.0
figs,bananas,0.0
on top of,on top,0.13427896671164932
creamy,creamy,1.0
scattered,scattered,1.0
pinkish-red,pink,0.0
filet,chicken,0.0
brown,golden-brown,0.0
on a plate,on a plate,0.5757197301274735
seared,crispy,0.0
blue,white,0.0
fish,vegetables,0.0
dill,parsley,0.0
white,orange,0.0
lemony,spicy,0.0
fish,chips,0.0
orange,white,0.0
on plate,on a plate,0.08621454270909737
green,green,1.0
yellow,white,0.0
fish,fish,1.0
golden-brown,golden-brown,1.0
on a plate,on a plate,0.5757197301274735
green,green,1.0
white,golden-brown,0.0
fish,tofu,0.0
brown,red,0.0
on top of,on a plate,0.07249749990681824
green,green,1.0
drink,ice,0.0
white,white,1.0
reddish-orange,white,0.0
on top of,on top,0.13427896671164932
shiny,crispy,0.0
flan,cake,0.0
white,white,1.0
caramel-colored,white,0.0
chicken,bacon,0.0
drizzled,drizzled,1.0
purple,red,0.0
yellow,yellow,1.0
diced,sliced,0.0
pineapple,peaches,0.0
moist,creamy,0.0
throughout the dish,scattered,0.0
glass,dish,0.0
filling,fills,0.0
cranberries,cranberries,1.0
grapes,lemon,0.0
to the brim,on top of,0.0
yellow,yellow,1.0
focaccia,pita bread,0.0
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,pot,0.0
toasted,toasted,1.0
golden-brown,brown,0.0
down from,from the bottom,0.07249749990681824
brown,brown,1.0
pretzel,burrito,0.0
brown,white,0.0
dessert,chips,0.0
rectangular,square,0.0
brown,brown,1.0
almonds,peanuts,0.0
scattered,arranged,0.0
white,white,1.0
casserole,pie,0.0
scattered,scattered,1.0
reddish-brown,red,0.0
on top,on top,0.2213885886251307
black,silver,0.0
yellow,yellow,1.0
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on top of,0.0
yellow,yellow,1.0
broccoli,zucchini,0.0
light,dark,0.0
cheddar,feta,0.0
brown,golden-brown,0.0
clustered,arranged,0.0
