Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
8e10c4050a3174a,What color is the cheddar cheese on the enchiladas?,bright,What type of dish is the main focus of the image?,enchiladas,What color is the salsa drizzled over the enchiladas?,green,What type of meat is in the enchilada filling?,chicken,Where are the sliced black olives placed??,on top of
2e789c07ec72245,What color is the ground beef inside the enchiladas?,reddish-brown,What type of dish is shown in the image?,enchiladas,What color is the rice next to the enchiladas?,orange,Where are the sliced black olives placed?,on top,What is the enchilada sauce and melted cheese covering??,plate
641aa5f5ea69dc0,What color are the enchiladas?,golden-brown,What type of dish is shown in the image?,enchiladas,What is covering the enchiladas?,cheese,What color is the cheese?,white,Where is the dish positioned in the image??,in the center
af4d3ea15183708,What color are the enchiladas?,brown,Where are the sliced black olives placed?,scattered across,What is sprinkled on top of the enchiladas?,cheese,What color is the sauce at the bottom of the dish?,red,What are the green onions on the enchiladas like??,chopped
0d42274b1f0d5fa,What color is the plate?,green,What is the state of the cheese on the enchiladas?,melted,What type of meat is inside the enchiladas?,chicken,What color is the melted cheese on the enchiladas?,orange,Where are the sprigs of cilantro placed??,on top of
2e74b67889ffe41,What color is the plate?,white,What type of food is on the plate?,enchiladas,What color is the melted cheese on the enchiladas?,golden-yellow,Where are the enchiladas sitting?,on a bed,How do the enchiladas appear in terms of color??,browned
2359c1d570892e0,What type of dish is shown in the image?,enchiladas,What is the state of the cheese on the enchiladas?,melted,Where is the melted cheese located?,on top of,What color is the lime slice on the sour cream?,green,Where are the cilantro leaves found??,scattered
68bf21f837ca42f,What color   is the baking dish?,white,What type of dish is being described?,enchiladas,What color is the melted cheese on top?,orange,How are the sliced green onions arranged?,scattered,What are the enchiladas served in??,in a dish
ff557f4ea977d3a,What color is the top of the enchiladas?,golden-brown,What type of dish is positioned on the left side of the plate?,enchiladas,What color is the filling of the enchiladas?,white,Where are the enchiladas located on the plate?,on the left side,What vegetable is scattered on top of the lettuce??,tomatoes
7c81577ebef300b,What is the flavor of the enchiladas?,sweet,What type of dish is being described?,enchiladas,What color is the filling inside the enchiladas?,orange,What color are the cilantro leaves on top of the enchiladas?,green,Where are the sliced red tomatoes and green jalapeños located??,to the left
be629975b352453,What color is the baking dish?,white,What is the main ingredient covering the enchiladas?,cheese,What color are the enchiladas themselves?,orange,What is revealed under the missing portion of enchiladas?,revealing,Where is the portion of the enchiladas missing??,on the left
1dc59366a062f39,What color is the sauce on the enchiladas?,green,What type of dish is being described?,enchiladas,What color is the plate?,white,Where are the enchiladas placed?,on the plate,What is the appearance of the cheese on the enchiladas??,shredded
b326e7fa6ada55a,What color is the plate?,white,What type of food is shown on the plate?,enchiladas,What color is the sauce covering the enchiladas?,reddish-brown,What is the state of the cheese on the enchiladas?,melted,Where are the enchiladas located??,on a plate
00e150893e99bbe,What color is the sauce on the enchiladas?,yellow,What type of dish is shown in the image?,enchiladas,What color are the tortillas?,white,What is the state of the cheese on the enchiladas?,melted,Where are the black specks located??,across the top
d0639f11391f731,What color is the baking dish?,white,What type of dish is shown in the image?,enchiladas,What color are the broccoli florets in the enchiladas?,green,What is sprinkled over the top of the enchiladas?,with diced,What color is the sauce covering the enchiladas??,brown
1e647d3963597bb,What is the state of the cheese on the enchiladas?,melted,What color is the baking dish?,white,What color are the enchiladas?,brown,What is on top of the enchiladas?,cheese,Where is the baking dish located in the image??,on top
d1de99721ebacb4,What color are the beef enchiladas?,tan,What is melted on top of the enchiladas?,cheese,What color is the sauce?,red,Where is the guacamole located?,on top of,What color is the guacamole??,green
ba34de60487d474,What color is the sauce?,reddish-orange,What is the reddish-orange liquid in the image?,sauce,What are the small specks of green and brown in the sauce?,herbs,Where are the herbs and spices located?,in the sauce,What material is the spoon made of??,wooden
d2a6b11b8f0254b,What color are the enchiladas?,golden-brown,What type of dessert is shown in the image?,enchiladas,What color is the plate?,white,What color are the apples inside the enchiladas?,of pale yellow apples,Where are the enchiladas placed??,on the plate
5c89583c7d79eac,What color is the baking dish?,white,What has happened to the vegan cheese on top of the bake?,melted,What is the vegan cheese doing to the bake?,covering,What color are the avocado slices?,green,Where are the sliced olives placed on the bake??,across the bake
4f3aeccf1bb548a,What color are the venison strips?,brownish,What type of meat is used in the dish?,venison,What color are some of the bell pepper slices?,red,What is the appearance of the bell peppers?,with colorful,Where are the tongs positioned??,tongs on the right
3eacd1eb2a4bf09,What color is the barbeque pork in the fajitas?,brownish,What type of meat is used in the fajitas?,pork,What color are the bell peppers in the fajitas?,red,Where are the bell peppers located in relation to the pork?,on top of,What is the position of the lime wedges in the image??,leaning
07b551b82072640,What color are the bell peppers?,red,What type of meat is used in the dish?,chicken,What color are the grilled marks on the chicken?,brown,Where are the ingredients placed?,in the basket,What type of vegetable is mixed with the chicken and peppers??,onions
ec8d556e427215f,What color is the chicken?,golden-brown,What type of meat is used in the fajitas?,chicken,What color is the shredded cheese?,yellow,Where are the tortillas placed?,with,Where is the sour cream located??,on a plate
8c23bbfc2929157,What type of meat is included in the dish?,chicken,What color are the bell peppers at the top-left and right?,red,What color are the bell pepper slices scattered between the chicken and red peppers?,yellow,How does the chicken appear in the image?,browned,Where are the chicken pieces distributed in the image??,throughout the image
bbfd764709c2fc5,What color are the grill marks on the chicken?,golden,What type of meat is featured in the dish?,chicken,What color is the plate under the chicken?,blue,What color are the cilantro leaves?,green,Where are the lime wedges located??,on the left
4540be4f1b7483a,What color is the cilantro?,green,What herb is shown at the top left of the image?,cilantro,What color is the bowl filled with pico de gallo?,yellow,What type of meat is included in the fajita mix?,chicken,Where is the fajita mix arranged??,on a sheet pan
dbdd1a45e11f272,What is the state of the cheese on the chicken pieces?,melted,What type of meat is used in the dish?,chicken,What color is the plate the dish is served on?,white,What color are the chicken pieces primarily?,reddish-orange,Where is the cluster of cilantro leaves located??,on top of
de4e22d616c136f,What color is the tortilla wrap?,white,What color is the chicken?,orange,What is partially covering the chicken and onions?,covering,What type of meat is used in the Pollo Fajitas?,chicken,Where are the sliced red and orange bell peppers mainly located??,in the middle
f723dd68c167fd3,What color is the lettuce used for the cups?,green,What is the main ingredient of the lettuce cups?,lettuce,What color is the meat inside the lettuce cups?,brown,Where is the sour cream placed in the lettuce cups?,on top of,What pattern is visible on the cloth to the right of the plate??,checkered
be533ae9b5f36d8,What is the color of the beef?,beef,What color are the diced tomatoes?,red,What is the color of the avocado slices?,diced,Where are the diced onions located?,green,Where is the shredded cheddar cheese placed??,on top of
5466136e2c0ad7d,How are the tortillas folded?,folded,What type of meat is used in the fajitas?,chicken,What color are the bell peppers?,green,Where is the guacamole located?,atop the fajita filling,What color are the diced tomatoes??,tomatoes
8cdb27974d97ff0,What color is the burrito primarily?,tan,What type of food is the main item on the plate?,burrito,What color is the lettuce on the burrito?,green,What color are the bell peppers in the burrito?,with yellow,What is the burrito placed on??,plate
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces?,golden-brown,What type of fish is used in the fajitas?,Mahi Mahi,What color are the sliced red bell peppers?,red,Where are the Mahi Mahi pieces placed?,throughout the center,What color are the sliced onions??,white
c85139f9d51d512,What color is the plate?,white,What type of meat is used in the fajitas?,steak,What color is the cilantro?,green,Where are the steak fajitas located?,on a plate,What type of beans are on the plate??,refried
3fd59bae30c5c14,What color is the rice in the skillet?,yellowish-tan,What is the base of the dish made of?,rice,What color are the bell pepper slices scattered throughout the rice?,red,Where are the red bell pepper slices scattered?,scattered,Where are the green bell pepper slices located??,on top of
345dea49d8d9dbe,What type of meat is included in the pasta?,chicken,How are the red and green bell peppers arranged in the dish?,mixed,What color are the bell pepper strips scattered throughout the dish?,red,What color are the bell pepper pieces mixed into the dish?,green,Where are the chicken pieces located in the bowl??,throughout the bowl
706203205f79559,What color are the green bell pepper slices?,green,What is the main protein in the fajitas?,steak,What color is the sliced steak?,brownish-red,Where are the fajitas placed?,on the plate,What color are the red bell pepper slices??,vibrant
24883eb3ae422e6,Does the dish look appetizing?,appetizing,What type of meat is used in the dish?,chicken,What color are the bell pepper slices that are red?,red,What color are the bell pepper slices that are green?,green,Where are the ingredients cooked??,in a black cast iron skillet
7a5e7b012af9da0,What is the texture of the steak?,shredded,What type of meat is in the fajita?,steak,What color are the onions?,white,Where are the peppers located in the fajita?,mixed among,What color are the peppers??,green
56ad671c222bff5,Are the fajitas vegan?,vegan,What type of food is shown in the image?,fajitas,What color are the corn kernels in the left fajita?,yellow,What color is the sauce drizzled on the fajitas?,red,What is on top of the fajitas??,on top
0fd4b82e0e33a45,What color are the bell peppers in the fajitas?,red,What type of vegetables are mixed with the red peppers?,mushrooms,What color is the tortilla used for the fajitas?,beige,What is sprinkled over the vegetables in the fajitas?,sprinkled,Where are some of the red bell pepper slices located??,on the right
6cc86b2a2082e1f,What color is the fajita seasoning?,brownish,What is the fajita seasoning placed in?,bowl,What color is the bowl?,dark brown,What is the brownish powder used for?,seasoning,Where is the bowl located in the image??,in the image
de0cb3e746ca441,What color are the peppers mixed with the seitan?,red,What color are the peppers that contrast with the other ingredients?,green,What is being done to the tortillas with the fajita mixture?,adding,What is the base used to hold the fajita mixture?,tortillas,Where is the fajita mixture placed in relation to the tortillas??,on top of
08d7cce0f17e9a3,What color are the tempeh cubes?,red,What is the main protein in the fajitas?,tempeh,What color are the bell peppers in the fajitas?,green,What color is the rim of the plate?,with a red rim,What color are the tortillas??,pale
1469eee2e776c2f,What color is the cast iron skillet?,black,How are the peppers prepared?,sliced,What type of vegetables are used in the stir-fry?,peppers,What color are the onions?,white,Where is the stir-fry placed??,on a dark wooden surface
c0a48a4d2de3989,What color is the falafel?,golden-brown,What is the main ingredient of the dish?,falafel,Where does the falafel rest?,rests,What color is the lettuce?,green,Where is the falafel placed??,on a bed
e2f32ab0debb4e6,What color is the falafel?,brownish-green,What part of the food item does the falafel form?,base,What is the falafel doing in the image?,taking,What color is the cucumber sauce?,white,Where is the cucumber sauce located??,on top of
f5ff253861802a9,What color are the falafel mostly?,golden-brown,What type of food is shown in the image?,falafel,What tint do some falafel have?,greenish,Where are the falafel placed?,on a gray-blue plate,What color is the folded cloth??,beige
7f4949b73da37d9,What color are the baked falafel?,golden-brown,What type of food is shown in the image?,falafel,What color is the lettuce under the falafel?,green,Where are the falafel placed in the pita?,on top,What color is the sauce on top of the falafel??,red sauce
a1db7c4c3f6057d,What color are the falafels?,golden-brown,What type of food is shown in the image?,falafels,What color is the plate?,black,What is the yogurt-dill sauce served with?,with,What color is the lemon??,yellow
45593bdf34d769c,What color are the falafel?,golden-brown,What type of food is shown in the image?,falafel,How are the falafel placed on the plate?,arranged,What color is the plate?,on a white plate,What color are the specks on the falafel??,green
0d3b7a1ec9a3afb,Where are the falafel located?,located,What type of bread are the falafel in?,pita bread,What color is the sauce on top of the falafel?,white,What color are the diced tomatoes on top of the falafel?,red,Where is one falafel located in the image??,in the bottom left corner
64f99a98769fc5b,What color are the falafel pieces?,golden-brown,What type of food is shown in the image?,falafel,What color are the herbs scattered on the falafel?,green,Where are the falafel pieces placed?,on a colorful plate,How are the falafel pieces positioned on the plate??,arranged
10882ec4e8be056,What are the spherical items in the image?,are,What is the name of the food in the image?,ta'ameya,What color are the sesame seeds on the ta'ameya?,white,Where are the ta'ameya located in the image?,in the center,What are the white toppings on the ta'ameya??,seeds
9308055b48a5888,Is the salad served warm?,Warm,Are the farro grains scattered in the plate?,scattered,Are there spinach leaves in the salad?,spinach,Is the plate white?,white,Is the salad presented in the plate??,in the plate
a1b92188972141f,What color are the farro grains?,brown,What type of grains are used in the dish?,grains,What type of ingredient is dark brown and interspersed with the farro?,mushrooms,What color is the cilantro sprig?,green,Where is the cilantro sprig positioned??,on top of
243862e88ceaf08,What color is the farro in the salad?,light,What type of dish is being described?,salad,What color are the pecans in the salad?,brown,Where are the green scallions placed in the salad?,on top of,What color are the lemon wedges??,yellow
c36e09e11ae3cbc,What color are the tomatoes in the salad?,red,What type of dish is the farro and tomato mixture?,salad,Where is the farro and tomato salad located on the closest plate?,located,Where is the farro and tomato salad located on the other plate?,on the right side,What color are the herbs scattered on the plates??,green
0c6f64b053fb312,What color are the lentils?,brown,What type of lentils are used?,lentils,What hue does the farro have?,tan,What is coating the lentils and farro?,coating,Where is the sliced tomato located??,at the top
d0f8a99831308a8,What color is the farro?,tan,What is the farro served in?,bowl,What type of grain is in the bowl?,farro,What color is the bowl?,white,Where is the bowl positioned in the image??,in the upper right
649f26370757a85,Is the dish suitable for vegetarians?,vegetarian,What is the main grain used in the skillet?,farro,What color is the bowl used to serve the dish?,orange,Where are the black beans located in the dish?,throughout,What vegetable with green skin is mixed within the farro??,zucchini
b4c7c5adfde3f3b,What is the soup served in?,soup,What is the consistency of the soup in the bowl?,filling,What color is the bowl?,black,What ingredient is scattered throughout the soup?,fennel,Where is the small bright green sprig of fennel fronds located??,at the center-right
a2b07e7440f60c5,What color is the grilled fennel primarily?,creamy,What vegetable is featured in the image?,fennel,What is the dominant color of the grilled fennel?,white,What does the largest piece of fennel do in the image?,appears,Where is the largest piece of fennel located??,at the center-left
111c00364311a43,What color is the crust of the bread?,golden-brown,What type of food is shown in the image?,bread,What color is the interior crumb of the bread?,yellow,What color are the specks in the bread?,green,Where is the bread placed??,on a wooden surface
f2c8d16a300a056,What color is the fennel in the image?,green,What vegetable is featured in the dish?,fennel,What color is the plate in the image?,brown,What type of cheese is used as a topping?,gorgonzola,Where is the fennel located in the image??,in the center
cd90188f2c1a239,What color is the Gramma Good's Fennel Bread?,brown,What type of food is Gramma Good's Fennel Bread?,bread,What is the state of the bread in the image?,sliced,What color is the cloth on the left side?,red,Where are the three slices of bread placed??,on the left side
8ac38bd3bb2e677,What color are the fennel slices?,yellow,What vegetable is used in the dish?,fennel,What is the state of the parmesan cheese on the fennel?,melted,What type of cheese is used in the dish?,parmesan,Where is the baked fennel and parmesan arranged??,in a baking dish
db4f30be192465d,What color is the bowl?,white,What vegetable is being served?,fennel,What color are the fennel garnishes?,green,What process is visible on some parts of the fennel slices?,caramelization,Where is the bowl placed??,on the plate
1182fb165965c24,What material are the jars made of?,glass,What color is the fennel?,yellow,Where is the fennel contained?,contained within,How are the jars sealed?,sealed,What color is the cloth on the jars??,red
80591e736df0736,What color is the bowl containing the salad?,white,What type of dish is the fennel prepared as?,salad,What color are the sliced fennel strips?,pink,How are the dark red beet pieces distributed in the salad?,scattered,"Where are the fresh, bright green herbs placed??",on top
4dc0d37926b71f2,What color is the fennel primarily?,white,What vegetable is shown in the image?,fennel,How are the fennel pieces placed on the baking sheet?,arranged,What describes the edges of some fennel pieces?,caramelized,Where are the fennel pieces located??,on a baking sheet
bffeb1a8133f687,What color is the whipped feta?,creamy,What type of cheese is used?,feta,What color is the whipped feta?,off-white,What is the hot honey doing to the whipped feta?,drizzled,Where is the whipped feta located in the image??,in the center
23a840b81b00daf,What type of meat is shown in the image?,chicken,What does the chicken have on top?,has,What color is the feta cheese inside the chicken?,creamy,What color is the feta cheese in the center of the chicken?,white,Where is the chicken located in the image??,in the center-left
