Image,Question,Answer,predicted_answer,gpt_score
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,cheese,0.5
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,quiche,0.5
ff557f4ea977d3a,What color is the filling of the enchiladas,white,orange,0.5
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,on a plate,0.5
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,lettuce,0.5
5c89583c7d79eac,What color is the baking dish,white,white,0.5
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted,0.5
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,covering most of the surface,0.5
5c89583c7d79eac,What color are the avocado slices,green,green,0.5
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,black,0.5
ec8d556e427215f,What color is the chicken,golden-brown,orange,0.5
ec8d556e427215f,What type of meat is used in the fajitas,chicken,pork,0.5
ec8d556e427215f,What color is the shredded cheese,yellow,white,0.5
ec8d556e427215f,Where is the sour cream located,on a plate,on the pasta,0.5
4540be4f1b7483a,What color is the cilantro,green,green,0.5
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,carrot,0.5
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,reddish,0.5
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,steak,0.5
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,steak,0.5
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,pork,0.5
5466136e2c0ad7d,What color are the bell peppers,green,red,0.5
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,on top of,0.5
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,tan,0.5
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,pork,0.5
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red,0.5
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,on the plate,0.5
04bc6b3e8a8aea0,What color are the sliced onions,white,reddish-brown,0.5
706203205f79559,What is the main protein in the fajitas,steak,tempeh,0.5
706203205f79559,What color is the sliced steak,brownish-red,brown,0.5
706203205f79559,Where are the fajitas placed,on the plate,on top,0.5
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,green,0.5
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,tan,0.5
a1db7c4c3f6057d,What color are the falafels,golden-brown,red,0.5
a1db7c4c3f6057d,What type of food is shown in the image,falafels,fajitas,0.5
a1db7c4c3f6057d,What color is the lemon,yellow,yellow,0.5
a1b92188972141f,What color are the farro grains,brown,scattered,0.5
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushroom,0.5
a1b92188972141f,What color is the cilantro sprig,green,green,0.5
a1b92188972141f,Where is the cilantro sprig positioned,on top of,green,0.5
649f26370757a85,Is the dish suitable for vegetarians,yes,vegetarian,0.5
649f26370757a85,What is the main grain used in the skillet,farro,rice,0.5
649f26370757a85,What color is the bowl used to serve the dish,orange,white,0.5
649f26370757a85,Where are the black beans located in the dish,throughout,around the egg,0.5
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,tan,0.5
1182fb165965c24,What material are the jars made of,glass,glass,0.5
1182fb165965c24,What color is the fennel,yellow,yellow,0.5
1182fb165965c24,Where is the fennel contained,contained within,on a baking sheet,0.5
1182fb165965c24,How are the jars sealed,sealed,sealed,0.5
1182fb165965c24,What color is the cloth on the jars,red,blue,0.5
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,nuggets,0.5
dc82292cc9b95bb,What color are the feta fingers,golden,golden-brown,0.5
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue,0.5
c21c69d14faa792,What type of dish is shown in the image,salad,enchiladas,0.5
c21c69d14faa792,What color is the bowl holding the salad,yellow,green,0.5
c21c69d14faa792,What color are the chicken pieces in the salad,white,off-white,0.5
c0975f297eda584,What does the fettuccine do in the frame,fills,fills,0.5
c0975f297eda584,What type of pasta is shown,fettuccine,ravioli,0.5
c0975f297eda584,What is the texture of the sauce,creamy,creamy,0.5
c0975f297eda584,What is scattered on top of the pasta,cheese,gnocchi,0.5
c0975f297eda584,Where are the thin strands of cheese located,on top of,red,0.5
4a760002afb43b8,What is the color of the base of the dish,white,white,0.5
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,in the image,0.5
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken,0.5
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,on the edges,0.5
614c5dee532b78e,What color are the figs,purple,brown,0.5
614c5dee532b78e,What type of fruit is shown in the image,figs,figs,0.5
614c5dee532b78e,Where is the goat cheese placed,on top of,white,0.5
614c5dee532b78e,What is the texture of the goat cheese,creamy,crumbled,0.5
614c5dee532b78e,How is the goat cheese distributed,scattered,white,0.5
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,yellow,0.5
a31ea68b260d0c2,What type of meat is shown in the image,filet,chicken,0.5
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,brown,0.5
a31ea68b260d0c2,Where are the filets placed,on a plate,brown,0.5
a31ea68b260d0c2,How is the exterior of the filets described,seared,brown,0.5
260ac1e7d31775e,What color is the plate,blue,green,0.5
260ac1e7d31775e,What type of food is being served,fish,mushroom,0.5
260ac1e7d31775e,What herb is scattered on the fish,dill,parsley,0.5
260ac1e7d31775e,What color is the fish generally,white,off-white,0.5
395a4e305e40a37,What flavor is the fish,Lemony,sweet,0.5
395a4e305e40a37,What type of food is shown in the image,Fish,fajitas,0.5
395a4e305e40a37,What color is the plate,Orange,green,0.5
395a4e305e40a37,Where is the fish placed,on plate,on a plate,0.5
395a4e305e40a37,What color are the herbs on the fish,Green,green,0.5
a5b87a311528eb8,What color is the plate,yellow,green,0.5
a5b87a311528eb8,What type of food is in the center of the plate,fish,gnocchi,0.5
a5b87a311528eb8,What color is the fish,golden-brown,pink,0.5
a5b87a311528eb8,Where is the fish located,on a plate,on a plate,0.5
a5b87a311528eb8,What color are the scallions on the fish,green,green,0.5
ce3a724e27e8f9f,What color is the fish,white,pink,0.5
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,fries,0.5
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,brown,0.5
ce3a724e27e8f9f,Where is the ginger placed,on top of,on a baking sheet,0.5
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green,0.5
27bc4f71b275ae7,What is in the clear glass,drink,sauce,0.5
27bc4f71b275ae7,What color is the foam on the drink,white,white,0.5
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,blue,0.5
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on top,0.5
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,amber,0.5
c3720ab16e601cc,What type of dessert is shown in the image,flan,enchiladas,0.5
c3720ab16e601cc,What color is the plate,white,green,0.5
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,amber,0.5
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,red,0.5
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,dark brown,0.5
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,red,0.5
a04609d90ed6c41,What color is the pineapple in the dish,yellow,golden-brown,0.5
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,cut,0.5
a04609d90ed6c41,What fruit is used in the dish,pineapple,strawberries,0.5
a04609d90ed6c41,What is the texture of the overall mixture,moist,golden-brown,0.5
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,brown,0.5
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,color,0.5
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,filling,0.5
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,cherry,0.5
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,browned,0.5
