Image,Image description
cc8ab18052f66ff,"The Pinoy Chicken Adobo consists of two chicken pieces with a shiny, brown surface, and a mound of light brown rice. The chicken pieces are stacked on top of each other, leaning towards the left side of the plate, with the rice nestled underneath and to the right of the chicken. The rice occupies the central and right portions of the plate, forming a rounded heap."
e73d602511bd243,The image shows Pork Adobo. The pork pieces are dark brown and are scattered throughout the dish. There are three hard-boiled eggs. They are a light creamy beige color. One egg is in the upper right area. Another egg is on the top center. The last egg is on the lower left area. The adobo sauce is a dark brown color and coats the pork.
8e5cc914ad09687,"The authentic chicken adobo pieces are arranged centrally on a white plate. The chicken pieces exhibit a range of brown hues, from a light tan to a richer, darker brown, indicating varying degrees of browning and caramelization. Some pieces appear glossier, likely due to the adobo sauce coating, while others have a more matte finish. A larger piece occupies the center, surrounded by smaller drumsticks and other portions. Some smaller pieces with a darker brown color are on the top of the plate. A cluster of drumsticks is on the left side."
c5e62567a5a4266,"The Adobo Twist features various ingredients scattered throughout the pot.  The pork belly pieces, with their layers of white fat and pinkish-brown meat, are mostly located toward the bottom and right side of the pot.  The peas, which are small and green, are concentrated more towards the top and left, interspersed among other ingredients.  Diced potatoes, appearing yellowish-brown, are also mixed within the peas, adding to the texture.  There are a few orange carrot slices mixed in.  A bay leaf, dark green in color, rests towards the center-right. The entire dish is simmered in a dark brown sauce."
685234f6de463c0,"The Filipino Pork Adobo is a mix of dark brown meat and white rice, filling the frame. The pork, cut into irregular chunks and shredded pieces, has a glossy, dark brown color from the sauce. It's scattered throughout the dish, primarily in the bottom left quadrant and interspersed within the rice. The rice grains, mostly white but also coated with the brown sauce, are distributed evenly among the pork. The color is largely concentrated towards the center and upper-right area of the image. Overall, the food appears moist and saucy."
aec970daf4193a0,"The Filipino Chicken Adobo features chicken pieces, roughly tan to brown, arranged centrally in the bowl. A large, bright green bay leaf is positioned atop the chicken, near the center. Sliced green peppers are scattered around the chicken, adding a vibrant color contrast. Small, black peppercorns are liberally sprinkled throughout the dish. A dark brown sauce, likely soy sauce-based, coats the chicken and pools at the bottom of the bowl. Garlic pieces are also scattered throughout."
96eb911bcf3cf8c,"The homemade adobo all-purpose seasoning appears as a mixture of several components. There's a pile of light yellow, finely ground powder. A pile of white, finely ground powder is located next to the yellow powder. Some coarse black pepper and herbs are mixed in the bottom. A golden yellow powder sits in a silver spoon on the left side. Some herbs sits in another silver spoon on the right side."
e20cfc391708cfd,"Traci's Adobo Seasoning is a mix of colors including orange-red, white, and green. The orange-red granules and white crystals appear to be the most prominent, sprinkled throughout the seasoning. The green is from dried herbs, appearing as small flakes and fragments dispersed within the mixture. This seasoning is filling a white spoon, densely packed. The overall appearance is a granular and slightly coarse texture, with the various colors blending together to create a vibrant mix."
5d35f54a93f462a,"The Sriracha Aioli is in a small, silver-colored metal bowl. The aioli itself is a light salmon pink color and fills the bowl almost to the brim. The bowl is placed on a white plate, slightly off-center, closer to the top left of the frame. A sprig of bright green cilantro rests on the plate near the bottom right of the aioli bowl."
3263d5822a81671,"The image shows several food items arranged on a square, terra cotta-colored plate. Slices of cooked meat, light pink in color and topped with small green herbs, are stacked on the left side of the plate. To the right of the meat is a small, clear bowl filled with white aioli, also speckled with green herbs. Two lemon wedges, bright yellow, are positioned below the aioli bowl. The plate is centered on a red textured surface."
2ae1eab71f4e2e4,"The Artichoke Aioli is a light beige color and is centrally located in the image. It is presented in a clear glass bowl, and the texture appears somewhat coarse and chunky."
7af34345b79d412,"The miso aioli is a light beige color and is contained within a small, colorful bowl with a dark blue rim. The bowl is located on the left side of the image, positioned on a wooden cutting board. The aioli has a smooth, creamy texture."
51723835bb92e3b,"The lemon aioli is a creamy, off-white color with small flecks of green herbs throughout. It is contained in a clear, ornate glass bowl with a scalloped edge. The bowl sits on a cloth napkin with embroidered details. The lemon aioli is positioned to the right of a lemon half and above a wooden spoon."
b62e3ea443558c1,"The image shows a bowl filled with Easy Garlic-Dill Aioli. The aioli is primarily a pale, creamy white color, with a slightly glossy sheen. Small flecks of green dill and darker garlic pieces are dispersed evenly throughout the aioli, lending it a speckled appearance. The aioli fills the bowl almost entirely. It has a thick, somewhat lumpy texture, with swirls and peaks visible across the surface."
da22719a7788bd7,"The garlic aioli is a creamy, off-white color with small, dark specks throughout. It fills most of a shallow, beige ceramic bowl. A wooden spoon rests in the bowl, partially submerged in the aioli, its handle extending out of the upper-right portion of the bowl. The bowl is centrally located in the image and sits on a light tan wooden surface."
d27cb5cd15718b8,The Quick Lemon-Herb Aioli is creamy white in color and is located directly on top of the sliced meat. Small green herbs are speckled throughout the sauce.
7b522977d201e40,"The Wasabi Aioli is pale green and smooth, contained within a small, white, leaf-shaped bowl. It is positioned in the center foreground of the image."
c7ccbd5e0962c7a,"The Quick Horseradish Aioli is a creamy, off-white color, and is served in a white bowl. A white spoon is dipped into the aioli, holding a scoop of it. The bowl is placed on a brown napkin with black and white stripes. The aioli fills the majority of the bowl, with the spoon resting inside. The bowl is positioned in the center of the image."
263897b2eac2ab2,"The Roasted Red Pepper Aioli is a light orange color, served in a white square bowl, and located in the center-right of the image. The aioli is garnished with three bright green basil leaves. A red pepper is located in the upper-left of the image, and a head of garlic is located in the lower-left of the image."
c1d19831b5e9b79,"The avocado aioli is located in the lower left portion of the image. It's a vibrant light green color, presented in a blue bowl, and topped with small white, granular pieces. The aioli is positioned in front of the pita bread pieces on the platter."
ff190cbc2d54e7e,"The basil aioli is located in a clear glass bowl. It has a creamy, light green color with small specks of dark green distributed throughout, indicating the presence of basil. The texture appears smooth and thick. It fills most of the bowl. A few green basil leaves are on the top of the aioli."
8f2a1f299766e1b,"The Chipotle Aioli (Spicy) is a creamy, light beige color with small flecks of darker shades. It is contained within a silver metal cup, which sits on a white plate. A sprig of dark green parsley is located on the plate, adjacent to the metal cup holding the aioli."
14b43dd9aaa5da7,"The creamy horseradish aioli is off-white, served in a small, round, red bowl with a silver rim. It's sprinkled with small green herbs. The bowl sits in the center of the plate in front of the burger and to the right of a pile of onion rings."
8dc238de00e476e,"The Chef John's Tarragon Aioli is a pale, creamy white color with small green and red specks throughout. It is mounded in the center of a clear glass bowl. A sprig of fresh, green tarragon is positioned vertically in the middle of the aioli, its stem submerged within the mound. Additional tarragon sprigs are partially visible behind the bowl, displaying their darker green, slender leaves. The bowl sits on a light yellow surface with subtle vertical stripes."
