reference,hypothesis,gpt_score
golden-brown,yellowish brown,0.8
enchiladas,enchiladas,1.0
white,pale green,0.2
on the left side,on the surface,0.2
tomatoes,diced tomatoes,0.9
white,ivory,0.8
melted,it melted,1.0
covering,topping dish,0.3
green,light green,0.8
across the bake,yellow food,0.0
golden-brown,light brown,0.7
chicken,chicken,1.0
yellow,yellowish,0.9
on a plate,left of tacos,0.1
green,verdant,1.0
cilantro,cilantro,1.0
yellow,yellow,1.0
chicken,poultry pieces,0.8
on a sheet pan,baking sheet,0.8
chicken,chicken,1.0
green,various,0.0
atop the fajita filling,in tortillas,0.2
golden-brown,tan,0.7
Mahi Mahi,white flaky,0.1
red,red yellow,0.5
throughout the center,on vegetables,0.0
white,pale yellow,0.3
steak,beef strips,0.8
brownish-red,brown,0.8
on the plate,on the plate,1.0
mushrooms,green mushrooms,0.9
beige,light yellow,0.3
golden-brown,brownish orange,0.6
falafels,crab cakes,0.1
yellow,yellow,1.0
brown,light brown,0.8
mushrooms,mushroom pieces,0.9
green,verdant,1.0
on top of,on the meal,0.2
yes,yes it is,0.9
farro,pearled barley,0.3
orange,orange,1.0
throughout,in plate,0.1
zucchini,zucchini,1.0
glass,clear glass,0.9
yellow,yellowish,0.9
contained within,inside glass,0.6
sealed,fabric and ribbon,0.0
red,red and white,0.7
feta fingers,tahini sticks,0.2
golden,beige,0.3
blue,light azure,0.8
salad,tuna salad,0.8
yellow,yellow,1.0
white,light brown,0.4
fills,rests inside,0.2
fettuccine,linguine,0.7
creamy,smooth thick,0.6
cheese,grated cheese,0.9
on top of,on pasta,0.2
white,white,1.0
located throughout,under food,0.1
chicken,poultry,0.8
asparagus,tan,0.0
purple,dark brown,0.1
figs,dried plums,0.1
on top of,on treats,0.1
creamy,creamy crumbly,0.8
scattered,atop fruits,0.1
pinkish-red,pinkish brown,0.6
filet,steak,0.6
brown,dark brown,0.8
on a plate,on dish,0.8
seared,browned and crisp,0.7
blue,teal,0.7
fish,cooked fish,0.8
dill,dill weed,0.9
white,off white,0.8
Lemony,seasoned,0.1
Fish,baked fish,0.9
Orange,orange,1.0
on plate,on dish,0.9
Green,green,1.0
yellow,yellow and blue,0.7
fish,cooked seafood,0.6
golden-brown,red yellow,0.2
on a plate,on plate,0.9
green,green,1.0
white,white brown,0.5
fish,fish fillet,0.8
brown,brown,1.0
on top of,on the dish,0.5
green,green,1.0
drink,cold beverage,0.8
white,white with spots,0.8
reddish-orange,reddish orange,1.0
on top of,on surface,0.7
shiny,smooth shiny,0.9
flan,flan,1.0
white,white,1.0
caramel-colored,amber,0.7
chicken,poultry strips,0.7
drizzled,layered over everything,0.1
purple,purple,1.0
yellow,yellow,1.0
diced,diced chunks,0.9
pineapple,pineapple,1.0
moist,moist soft,0.8
throughout the dish,mixed evenly,0.2
glass,martini glass,0.9
filling,quite full,0.5
cranberries,grapes,0.2
grapes,halved grapes,0.9
