Answer,Predict
golden-brown,golden-brown
enchiladas,salad
white,yellow
on the left side,in the center
tomatoes,zucchini
white,white
melted,melted
covering,covering
green,green
across the bake,on top
golden-brown,golden-brown
chicken,chicken
yellow,yellow
on a plate,on top
green,green
cilantro,cilantro
yellow,white
chicken,bacon
on a sheet pan,on a plate
chicken,chicken
green,red
atop the fajita filling,on top
golden-brown,golden-brown
mahi mahi,tuna
red,red
throughout the center,on a plate
white,red
steak,chicken
brownish-red,brown
on the plate,on a plate
mushrooms,tomatoes
beige,white
golden-brown,golden-brown
falafels,chips
yellow,yellow
brown,brown
mushrooms,mushrooms
green,green
on top of,on top of
yes,vegetarian
farro,rice
orange,white
throughout,scattered
zucchini,zucchini
glass,glass
yellow,white
contained within,contained
sealed,arranged
red,red
feta fingers,bites
golden,white
blue,blue
salad,salad
yellow,white
white,brown
fills,fills
fettuccine,ravioli
creamy,creamy
cheese,mushrooms
on top of,on top
white,white
located throughout,in the center
chicken,bacon
asparagus,browned
purple,brown
figs,bananas
on top of,on top
creamy,creamy
scattered,scattered
pinkish-red,pink
filet,chicken
brown,golden-brown
on a plate,on a plate
seared,crispy
blue,white
fish,vegetables
dill,parsley
white,orange
lemony,spicy
fish,chips
orange,white
on plate,on a plate
green,green
yellow,white
fish,fish
golden-brown,golden-brown
on a plate,on a plate
green,green
white,golden-brown
fish,tofu
brown,red
on top of,on a plate
green,green
drink,ice
white,white
reddish-orange,white
on top of,on top
shiny,crispy
flan,cake
white,white
caramel-colored,white
chicken,bacon
drizzled,drizzled
purple,red
yellow,yellow
diced,sliced
pineapple,peaches
moist,creamy
throughout the dish,scattered
glass,dish
filling,fills
cranberries,cranberries
grapes,lemon
to the brim,on top of
yellow,yellow
focaccia,pita bread
green,green
wooden,wooden
yellow,yellow
bowl,pot
toasted,toasted
golden-brown,brown
down from,from the bottom
brown,brown
pretzel,burrito
brown,white
dessert,chips
rectangular,square
brown,brown
almonds,peanuts
scattered,arranged
white,white
casserole,pie
scattered,scattered
reddish-brown,red
on top,on top
black,silver
yellow,yellow
scattered,scattered
tomatoes,tomatoes
in a black pan,on top of
yellow,yellow
broccoli,zucchini
light,dark
cheddar,feta
brown,golden-brown
clustered,arranged
plate,plate
yellow,yellow
on the left,to the left
golden-brown,golden-brown
fritter,burrito
crispy,crispy
white,white
chocolate,spicy
stack,mix
brown,brown
on a plate,on a plate
swirled,swirled
pink,white
cupcake,flan
cherry,rhubarb
on top of,on top of
bowls,jars
coats,covers
cake,flan
brown,white
on the plate,on a plate
blue,white
fries,oatmeal
orange,yellow
on top of,on top
yellow,golden-yellow
casserole,salad
white,white
fries,mushrooms
golden-brown,red
orange,red
on top of,on top
yellow,yellow
potato,zucchini
reddish-brown,brown
on a plate,plate
yellow,orange
fries,chips
charred,browned
in the center,in the center
blue,white
white,brown
fudge,chips
red,red
walnuts,pecans
brown,brown
fudge,cake
on the left,in the center
sheen,has
golden-brown,golden-brown
red,red
atop the galette,on top of
green,green
golden-brown,white
pastry,vegetables
white,white
sprinkled,scattered
strawberry,cranberries
golden-brown,golden-brown
blueberries,blueberries
towards the top,on top
tan,yellow
garlic,tofu
yellow,yellow
silver,silver
green,yellow
dessert,salad
gelatin,creamy
creamy,homemade
golden-brown,golden-brown
bowl,bowl
sliced,arranged
green,green
on top of,on top of
ginger,garlic
chicken,chicken
white,white
on a plate,on a plate
red,red
translucent,dark
jar,jar
amber,amber
in the center,in the center
yellow,golden-brown
gingerbread,treats
chocolate,sprinkled
beige,white
brown,brown
yes,square
white,white
flower,rectangular
green,white
on top,located
gingerbread cookies,pizzelles
brown,brown
