Image,Question,Answer
8e10c4050a3174a,What color is the cheddar cheese on the enchiladas,bright
8e10c4050a3174a,What type of dish is the main focus of the image,enchiladas
8e10c4050a3174a,What color is the salsa drizzled over the enchiladas,green
8e10c4050a3174a,What type of meat is in the enchilada filling,chicken
8e10c4050a3174a,Where are the sliced black olives placed,on top of
2e789c07ec72245,What color is the ground beef inside the enchiladas,reddish-brown
2e789c07ec72245,What type of dish is shown in the image,enchiladas
2e789c07ec72245,What color is the rice next to the enchiladas,orange
2e789c07ec72245,Where are the sliced black olives placed,on top
2e789c07ec72245,What is the enchilada sauce and melted cheese covering,plate
641aa5f5ea69dc0,What color are the enchiladas,golden-brown
641aa5f5ea69dc0,What type of dish is shown in the image,enchiladas
641aa5f5ea69dc0,What is covering the enchiladas,cheese
641aa5f5ea69dc0,What color is the cheese,white
641aa5f5ea69dc0,Where is the dish positioned in the image,in the center
af4d3ea15183708,What color are the enchiladas,brown
af4d3ea15183708,Where are the sliced black olives placed,scattered across
af4d3ea15183708,What is sprinkled on top of the enchiladas,cheese
af4d3ea15183708,What color is the sauce at the bottom of the dish,red
af4d3ea15183708,What are the green onions on the enchiladas like,chopped
0d42274b1f0d5fa,What color is the plate,green
0d42274b1f0d5fa,What is the state of the cheese on the enchiladas,melted
0d42274b1f0d5fa,What type of meat is inside the enchiladas,chicken
0d42274b1f0d5fa,What color is the melted cheese on the enchiladas,orange
0d42274b1f0d5fa,Where are the sprigs of cilantro placed,on top of
2e74b67889ffe41,What color is the plate,white
2e74b67889ffe41,What type of food is on the plate,enchiladas
2e74b67889ffe41,What color is the melted cheese on the enchiladas,golden-yellow
2e74b67889ffe41,Where are the enchiladas sitting,on a bed
2e74b67889ffe41,How do the enchiladas appear in terms of color,browned
2359c1d570892e0,What type of dish is shown in the image,enchiladas
2359c1d570892e0,What is the state of the cheese on the enchiladas,melted
2359c1d570892e0,Where is the melted cheese located,on top of
2359c1d570892e0,What color is the lime slice on the sour cream,green
2359c1d570892e0,Where are the cilantro leaves found,scattered
68bf21f837ca42f,What color is the baking dish,white
68bf21f837ca42f,What type of dish is being described,enchiladas
68bf21f837ca42f,What color is the melted cheese on top,orange
68bf21f837ca42f,How are the sliced green onions arranged,scattered
68bf21f837ca42f,What are the enchiladas served in,in a dish
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas
ff557f4ea977d3a,What color is the filling of the enchiladas,white
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes
7c81577ebef300b,What is the flavor of the enchiladas,sweet
7c81577ebef300b,What type of dish is being described,enchiladas
7c81577ebef300b,What color is the filling inside the enchiladas,orange
7c81577ebef300b,What color are the cilantro leaves on top of the enchiladas,green
7c81577ebef300b,Where are the sliced red tomatoes and green jalapeños located,to the left
be629975b352453,What color is the baking dish,white
be629975b352453,What is the main ingredient covering the enchiladas,cheese
be629975b352453,What color are the enchiladas themselves,orange
be629975b352453,What is revealed under the missing portion of enchiladas,revealing
be629975b352453,Where is the portion of the enchiladas missing,on the left
1dc59366a062f39,What color is the sauce on the enchiladas,green
1dc59366a062f39,What type of dish is being described,enchiladas
1dc59366a062f39,What color is the plate,white
1dc59366a062f39,Where are the enchiladas placed,on the plate
1dc59366a062f39,What is the appearance of the cheese on the enchiladas,shredded
b326e7fa6ada55a,What color is the plate,white
b326e7fa6ada55a,What type of food is shown on the plate,enchiladas
b326e7fa6ada55a,What color is the sauce covering the enchiladas,reddish-brown
b326e7fa6ada55a,What is the state of the cheese on the enchiladas,melted
b326e7fa6ada55a,Where are the enchiladas located,on a plate
00e150893e99bbe,What color is the sauce on the enchiladas,yellow
00e150893e99bbe,What type of dish is shown in the image,enchiladas
00e150893e99bbe,What color are the tortillas,white
00e150893e99bbe,What is the state of the cheese on the enchiladas,melted
00e150893e99bbe,Where are the black specks located,across the top
d0639f11391f731,What color is the baking dish,white
d0639f11391f731,What type of dish is shown in the image,enchiladas
d0639f11391f731,What color are the broccoli florets in the enchiladas,green
d0639f11391f731,What is sprinkled over the top of the enchiladas,with diced
d0639f11391f731,What color is the sauce covering the enchiladas,brown
1e647d3963597bb,What is the state of the cheese on the enchiladas,melted
1e647d3963597bb,What color is the baking dish,white
1e647d3963597bb,What color are the enchiladas,brown
1e647d3963597bb,What is on top of the enchiladas,cheese
1e647d3963597bb,Where is the baking dish located in the image,on top
d1de99721ebacb4,What color are the beef enchiladas,tan
d1de99721ebacb4,What is melted on top of the enchiladas,cheese
d1de99721ebacb4,What color is the sauce,red
d1de99721ebacb4,Where is the guacamole located,on top of
d1de99721ebacb4,What color is the guacamole,green
ba34de60487d474,What color is the sauce,reddish-orange
ba34de60487d474,What is the reddish-orange liquid in the image,sauce
ba34de60487d474,What are the small specks of green and brown in the sauce,herbs
ba34de60487d474,Where are the herbs and spices located,in the sauce
ba34de60487d474,What material is the spoon made of,wooden
d2a6b11b8f0254b,What color are the enchiladas,golden-brown
d2a6b11b8f0254b,What type of dessert is shown in the image,enchiladas
d2a6b11b8f0254b,What color is the plate,white
d2a6b11b8f0254b,What color are the apples inside the enchiladas,of pale yellow apples
d2a6b11b8f0254b,Where are the enchiladas placed,on the plate
5c89583c7d79eac,What color is the baking dish,white
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering
5c89583c7d79eac,What color are the avocado slices,green
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake
4f3aeccf1bb548a,What color are the venison strips,brownish
4f3aeccf1bb548a,What type of meat is used in the dish,venison
4f3aeccf1bb548a,What color are some of the bell pepper slices,red
4f3aeccf1bb548a,What is the appearance of the bell peppers,with colorful
4f3aeccf1bb548a,Where are the tongs positioned,tongs on the right
3eacd1eb2a4bf09,What color is the barbeque pork in the fajitas,brownish
3eacd1eb2a4bf09,What type of meat is used in the fajitas,pork
