answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,golden brown,1.0,1.0,1.0
enchiladas,two pieces of fried pork,0.0,0.0,0.0
white,white,1.0,0.0,1.0
on the left side,on the left side,1.0,1.0,1.0
tomatoes,tomatoes,1.0,0.0,1.0
white,white,1.0,0.0,1.0
melted,melted,1.0,0.0,1.0
covering,melted,0.0,0.0,0.0
green,green,1.0,0.0,1.0
across the bake,scattered around the surface,0.28571428571428575,0.0,0.28571428571428575
golden-brown,cooked chicken breast is white,0.0,0.0,0.0
chicken,chicken,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
on a plate,in the bottom left of the image,0.0,0.0,0.0
green,green,1.0,0.0,1.0
cilantro,cilantro,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
chicken,chicken,1.0,0.0,1.0
on a sheet pan,on a baking sheet,0.75,0.3333333333333333,0.75
chicken,pork,0.0,0.0,0.0
green,orange and green,0.5,0.0,0.5
atop the fajita filling,on top of the tacos,0.22222222222222224,0.0,0.22222222222222224
golden-brown,white,0.0,0.0,0.0
Mahi Mahi,there is no fish in the fajitas,0.0,0.0,0.0
red,"red, yellow, and orange",0.4,0.0,0.4
throughout the center,on top of the peppers and onions,0.2,0.0,0.2
white,white,1.0,0.0,1.0
steak,beef,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,on a plate,0.6666666666666666,0.0,0.6666666666666666
mushrooms,mushrooms,1.0,0.0,1.0
beige,white,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
falafels,"mocha coffee with lemon, fried pork, and a side of coleslaw.",0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,light brown,0.6666666666666666,0.0,0.6666666666666666
mushrooms,mushrooms,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top of,on top of the mushroom mixture,0.6666666666666666,0.5714285714285715,0.6666666666666666
yes,"no, the dish contains meat",0.0,0.0,0.0
farro,farro,1.0,0.0,1.0
orange,orange,1.0,0.0,1.0
throughout,scattered throughout,0.6666666666666666,0.0,0.6666666666666666
zucchini,zucchini,1.0,0.0,1.0
glass,glass,1.0,0.0,1.0
yellow,green,0.0,0.0,0.0
contained within,on the plate,0.0,0.0,0.0
sealed,red and white gingham fabric tied with a white ribbon,0.0,0.0,0.0
red,red and white gingham,0.4,0.0,0.4
feta fingers,fried breaded mozzarella sticks,0.0,0.0,0.0
golden,white,0.0,0.0,0.0
blue,blue and yellow,0.5,0.0,0.5
salad,"a bowl of chicken salad with lettuce, red peppers, and shredded cabbage",0.15384615384615385,0.0,0.15384615384615385
yellow,yellow,1.0,0.0,1.0
white,white,1.0,0.0,1.0
fills,curl,0.0,0.0,0.0
fettuccine,spaghetti,0.0,0.0,0.0
creamy,thick,0.0,0.0,0.0
cheese,parmesan cheese,0.6666666666666666,0.0,0.6666666666666666
on top of,on top of the pasta,0.7499999999999999,0.6666666666666666,0.7499999999999999
white,white,1.0,0.0,1.0
located throughout,underneath the toppings,0.0,0.0,0.0
chicken,chicken,1.0,0.0,1.0
asparagus,brown,0.0,0.0,0.0
purple,purple,1.0,0.0,1.0
figs,there are no fruits in the image,0.0,0.0,0.0
on top of,on top of the dish,0.7499999999999999,0.6666666666666666,0.7499999999999999
