Unnamed: 0,Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6,Answer_1
0,8e10c4050a3174a,What color is the cheddar cheese on the enchiladas?,bright,What type of dish is the main focus of the image?,enchiladas,What color is the salsa drizzled over the enchiladas?,green,What type of meat is in the enchilada filling?,chicken,Where are the sliced black olives placed??,on top of,enchilada
1,2e789c07ec72245,What color is the ground beef inside the enchiladas?,reddish-brown,What type of dish is shown in the image?,enchiladas,What color is the rice next to the enchiladas?,orange,Where are the sliced black olives placed?,on top,What is the enchilada sauce and melted cheese covering??,plate,enchilada
2,641aa5f5ea69dc0,What color are the enchiladas?,golden-brown,What type of dish is shown in the image?,enchiladas,What is covering the enchiladas?,cheese,What color is the cheese?,white,Where is the dish positioned in the image??,in the center,enchilada
3,af4d3ea15183708,What color are the enchiladas?,brown,Where are the sliced black olives placed?,scattered across,What is sprinkled on top of the enchiladas?,cheese,What color is the sauce at the bottom of the dish?,red,What are the green onions on the enchiladas like??,chopped,enchilada
4,0d42274b1f0d5fa,What color is the plate?,green,What is the state of the cheese on the enchiladas?,melted,What type of meat is inside the enchiladas?,chicken,What color is the melted cheese on the enchiladas?,orange,Where are the sprigs of cilantro placed??,on top of,enchilada
5,2e74b67889ffe41,What color is the plate?,white,What type of food is on the plate?,enchiladas,What color is the melted cheese on the enchiladas?,golden-yellow,Where are the enchiladas sitting?,on a bed,How do the enchiladas appear in terms of color??,browned,enchilada
6,2359c1d570892e0,What type of dish is shown in the image?,enchiladas,What is the state of the cheese on the enchiladas?,melted,Where is the melted cheese located?,on top of,What color is the lime slice on the sour cream?,green,Where are the cilantro leaves found??,scattered,enchilada
7,68bf21f837ca42f,What color is the baking dish?,white,What type of dish is being described?,enchiladas,What color is the melted cheese on top?,orange,How are the sliced green onions arranged?,scattered,What are the enchiladas served in??,in a dish,enchilada
8,ff557f4ea977d3a,What color is the top of the enchiladas?,golden-brown,What type of dish is positioned on the left side of the plate?,enchiladas,What color is the filling of the enchiladas?,white,Where are the enchiladas located on the plate?,on the left side,What vegetable is scattered on top of the lettuce??,tomatoes,enchilada
9,7c81577ebef300b,What is the flavor of the enchiladas?,sweet,What type of dish is being described?,enchiladas,What color is the filling inside the enchiladas?,orange,What color are the cilantro leaves on top of the enchiladas?,green,Where are the sliced red tomatoes and green jalapeños located??,to the left,enchilada
10,be629975b352453,What color is the baking dish?,white,What is the main ingredient covering the enchiladas?,cheese,What color are the enchiladas themselves?,orange,What is revealed under the missing portion of enchiladas?,revealing,Where is the portion of the enchiladas missing??,on the left,enchilada
11,1dc59366a062f39,What color is the sauce on the enchiladas?,green,What type of dish is being described?,enchiladas,What color is the plate?,white,Where are the enchiladas placed?,on the plate,What is the appearance of the cheese on the enchiladas??,shredded,enchilada
12,b326e7fa6ada55a,What color is the plate?,white,What type of food is shown on the plate?,enchiladas,What color is the sauce covering the enchiladas?,reddish-brown,What is the state of the cheese on the enchiladas?,melted,Where are the enchiladas located??,on a plate,enchilada
13,00e150893e99bbe,What color is the sauce on the enchiladas?,yellow,What type of dish is shown in the image?,enchiladas,What color are the tortillas?,white,What is the state of the cheese on the enchiladas?,melted,Where are the black specks located??,across the top,enchilada
15,d0639f11391f731,What color is the baking dish?,white,What type of dish is shown in the image?,enchiladas,What color are the broccoli florets in the enchiladas?,green,What is sprinkled over the top of the enchiladas?,with diced,What color is the sauce covering the enchiladas??,brown,enchilada
16,1e647d3963597bb,What is the state of the cheese on the enchiladas?,melted,What color is the baking dish?,white,What color are the enchiladas?,brown,What is on top of the enchiladas?,cheese,Where is the baking dish located in the image??,on top,enchilada
17,d1de99721ebacb4,What color are the beef enchiladas?,tan,What is melted on top of the enchiladas?,cheese,What color is the sauce?,red,Where is the guacamole located?,on top of,What color is the guacamole??,green,enchilada
18,ba34de60487d474,What color is the sauce?,reddish-orange,What is the reddish-orange liquid in the image?,sauce,What are the small specks of green and brown in the sauce?,herbs,Where are the herbs and spices located?,in the sauce,What material is the spoon made of??,wooden,enchilada
19,d2a6b11b8f0254b,What color are the enchiladas?,golden-brown,What type of dessert is shown in the image?,enchiladas,What color is the plate?,white,What color are the apples inside the enchiladas?,of pale yellow apples,Where are the enchiladas placed??,on the plate,enchilada
20,5c89583c7d79eac,What color is the baking dish?,white,What has happened to the vegan cheese on top of the bake?,melted,What is the vegan cheese doing to the bake?,covering,What color are the avocado slices?,green,Where are the sliced olives placed on the bake??,across the bake,enchilada
21,4f3aeccf1bb548a,What color are the venison strips?,brownish,What type of meat is used in the dish?,venison,What color are some of the bell pepper slices?,red,What is the appearance of the bell peppers?,with colorful,Where are the tongs positioned??,tongs on the right,fajita
22,3eacd1eb2a4bf09,What color is the barbeque pork in the fajitas?,brownish,What type of meat is used in the fajitas?,pork,What color are the bell peppers in the fajitas?,red,Where are the bell peppers located in relation to the pork?,on top of,What is the position of the lime wedges in the image??,leaning,fajita
23,07b551b82072640,What color are the bell peppers?,red,What type of meat is used in the dish?,chicken,What color are the grilled marks on the chicken?,brown,Where are the ingredients placed?,in the basket,What type of vegetable is mixed with the chicken and peppers??,onions,fajita
24,ec8d556e427215f,What color is the chicken?,golden-brown,What type of meat is used in the fajitas?,chicken,What color is the shredded cheese?,yellow,Where are the tortillas placed?,with,Where is the sour cream located??,on a plate,fajita
