answer,predicted_answer,bleu_score
golden-brown,golden brown,0.0
enchiladas,enchilada,0.0
white,white,1.0
on the left side,on the left side,1.0
tomatoes,tomatoes,1.0
white,white,1.0
melted,melted,1.0
covering,creamy,0.0
golden-brown,golden-brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,on the plate,0.08621454270909737
green,green,1.0
cilantro,cilantro,1.0
yellow,yellow,1.0
chicken,chicken,1.0
on a sheet pan,on a baking sheet,0.18616487055295167
chicken,chicken,1.0
green,red yellow,0.0
atop the fajita filling,small portion,0.0
golden-brown,golden brown,0.0
Mahi Mahi,mild flavor,0.0
red,red,1.0
throughout the center,red,0.0
white,white,1.0
steak,steak,1.0
brownish-red,brown,0.0
on the plate,on the plate,0.5757197301274735
mushrooms,mushrooms,1.0
beige,light-colored,0.0
golden-brown,golden brown,0.0
falafels,"fresh, red",0.0
yellow,yellow,1.0
brown,brown,1.0
mushrooms,mushrooms,1.0
green,green,1.0
on top of,on top of,0.5757197301274735
yes,not possible,0.0
farro,common grain,0.0
orange,orange,1.0
throughout,throughout,1.0
zucchini,zucchini,1.0
glass,glass,1.0
yellow,green,0.0
contained within,contained in,0.06754436142034707
sealed,sealed,1.0
red,red,1.0
feta fingers,golden-brown,0.0
golden,golden,1.0
blue,white,0.0
salad,salad,1.0
yellow,yellow,1.0
white,white,1.0
fills,main subject,0.0
fettuccine,fettuccine,1.0
creamy,creamy,1.0
cheese,edible,0.0
on top of,on top of,0.5757197301274735
white,white,1.0
located throughout,located at the bottom,0.061033220311973134
chicken,chicken,1.0
asparagus,light,0.0
purple,purple,1.0
figs,dried fruits,0.0
on top of,on top of,0.5757197301274735
creamy,creamy,1.0
scattered,unevenly,0.0
pinkish-red,dark red,0.0
filet,main protein,0.0
brown,dark brown,0.06754436142034707
on a plate,on a plate,0.5757197301274735
seared,pinkish,0.0
blue,black,0.0
fish,fish,1.0
dill,dill,1.0
white,white,1.0
Lemony,specific,0.0
Fish,salmon,0.0
Orange,Orange,1.0
on plate,on plate,0.2213885886251307
Green,Green,1.0
yellow,white,0.0
fish,fish,1.0
golden-brown,golden-orange,0.0
on a plate,on top of,0.07249749990681824
green,green,1.0
white,white,1.0
fish,protein,0.0
brown,brown,1.0
on top of,on top of,0.5757197301274735
green,green,1.0
drink,coffee drink,0.06754436142034707
white,light orange,0.0
reddish-orange,orange,0.0
on top of,on the,0.04096772609215166
shiny,"smooth, glossy",0.0
flan,flan,1.0
white,white,1.0
caramel-colored,caramel color,0.0
yellow,yellow,1.0
diced,cooked,0.0
pineapple,pineapple,1.0
moist,moist,1.0
throughout the dish,throughout the dish,0.5757197301274735
glass,glass,1.0
filling,full,0.0
cranberries,cranberries,1.0
grapes,red,0.0
to the brim,pink and white,0.0
yellow,golden color,0.0
focaccia,artisanal bread,0.0
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,bowl,1.0
toasted,toasted,1.0
golden-brown,golden brown,0.0
down from,down from,0.2213885886251307
brown,brown,1.0
pretzel,white chocolate,0.0
brown,brown,1.0
dessert,dessert,1.0
rectangular,square-shaped,0.0
brown,brown,1.0
almonds,almonds,1.0
scattered,scattered,1.0
white,white,1.0
casserole,casserole,1.0
scattered,evenly over the top,0.0
reddish-brown,"creamy, light yellow",0.0
on top,on top,0.2213885886251307
black,black,1.0
yellow,green,0.0
scattered,"distributed, spread, evenly",0.0
tomatoes,tomatoes,1.0
in a black pan,in the image,0.05194672862155564
yellow,yellow,1.0
broccoli,broccoli,1.0
light,bright,0.0
cheddar,white,0.0
brown,brown,1.0
clustered,appealing and appetizing,0.0
plate,plate,1.0
yellow,yellow,1.0
on the left,on the,0.13427896671164932
golden-brown,golden brown,0.0
fritter,fritter,1.0
crispy,crispy,1.0
white,white,1.0
chocolate,chocolate,1.0
stack,stack,1.0
brown,brown,1.0
on a plate,on a plate,0.5757197301274735
swirled,swirl,0.0
pink,pink,1.0
cupcake,cupcake,1.0
cherry,pink,0.0
on top of,on top of,0.5757197301274735
bowls,bowls,1.0
coats,"smooth, uniform",0.0
cake,cake,1.0
brown,brown,1.0
on the plate,on the plate,0.5757197301274735
blue,blue,1.0
fries,green,0.0
orange,orange,1.0
on top of,on top of,0.5757197301274735
yellow,not possible to determine,0.0
casserole,baked pasta dish,0.0
white,white,1.0
fries,savory snack,0.0
golden-brown,visible,0.0
orange,orange,1.0
on top of,on top of,0.5757197301274735
yellow,golden brown,0.0
potato,potatoes,0.0
reddish-brown,reddish-brown,1.0
on a plate,on a plate,0.5757197301274735
yellow,orange,0.0
fries,fries,1.0
charred,charred,1.0
in the center,visible,0.0
blue,blue,1.0
white,white,1.0
fudge,fudge,1.0
red,red,1.0
walnuts,walnuts,1.0
brown,brown,1.0
fudge,fudge,1.0
on the left,on the left,0.5757197301274735
sheen,smooth,0.0
golden-brown,golden brown,0.0
red,red,1.0
atop the galette,above,0.0
green,green,1.0
golden-brown,golden brown,0.0
pastry,pastry,1.0
white,white,1.0
sprinkled,lightly dusted,0.0
strawberry,strawberries,0.0
golden-brown,golden brown,0.0
blueberries,blueberries,1.0
towards the top,top,0.1353352832366127
tan,light brown,0.0
garlic,garlic,1.0
yellow,golden-brown,0.0
silver,silver,1.0
green,green,1.0
dessert,dessert,1.0
gelatin,gelatin,1.0
creamy,creamy,1.0
golden-brown,white,0.0
bowl,white,0.0
sliced,sliced,1.0
green,green,1.0
on top of,on top of,0.5757197301274735
ginger,spicy flavor,0.0
chicken,chicken,1.0
white,white,1.0
on a plate,on a plate,0.5757197301274735
red,red,1.0
translucent,light yellow,0.0
jar,jar,1.0
amber,light yellow,0.0
in the center,centrally in the,0.21177974141341938
yellow,golden brown,0.0
gingerbread,dessert or snack,0.0
chocolate,chocolate,1.0
beige,beige,1.0
brown,brown,1.0
yes,yes,1.0
white,white,1.0
flower,flower-like,0.0
green,green,1.0
on top,upper left corner,0.0
gingerbread cookies,gingerbread cookies,0.2213885886251307
brown,brown,1.0
on a plate,on a plate,0.5757197301274735
beige,creamy white color,0.0
cookies,cookies,1.0
stacked,stacked,1.0
on top of,on top of,0.5757197301274735
white,white,1.0
yellow,yellowish-white,0.0
bacon,bacon,1.0
on top,on top,0.2213885886251307
gnocchi,gnocchi,1.0
shrimp,shrimp,1.0
green,green,1.0
brownish-red,light brown,0.0
gnocchi,gnocchi,1.0
green,green,1.0
on a plate,on a plate,0.5757197301274735
yellow,yellow,1.0
pasta,pasta,1.0
red,red,1.0
on top of,on top of,0.5757197301274735
green,green,1.0
orange-brown,light yellowish-orange,0.0
macaroni,macaroni,1.0
scattered,distributed,0.0
red,red,1.0
at the top,above the right,0.07249749990681824
scattered,distributed,0.0
beef,beef,1.0
yellow,yellow,1.0
orange,orange,1.0
yellow,yellow,1.0
lemon,lemon,1.0
glass,glass,1.0
watermelon,watermelon,1.0
mint,mint,1.0
brown,brown,1.0
granola,granola,1.0
red,red,1.0
brown,brown,1.0
granola,granola,1.0
red,red,1.0
scattered,scattered,1.0
in the mixture,in the mixture,0.5757197301274735
yellow,yellow,1.0
potatoes,potatoes,1.0
yellow,light golden brown,0.0
in a baking dish,in a dish,0.16793545727180179
yellow,blue,0.0
dish,dish,1.0
white,white,1.0
yellow,yellow,1.0
in the lower center,in the lower,0.41252121275142684
diced,small,0.0
shrimp,shrimp,1.0
orange,orange,1.0
broth,broth,1.0
on the left,the other,0.04096772609215166
bowl,bowl,1.0
lemon,lemon,1.0
yellow,yellow,1.0
on the left side,fresh and tangy,0.0
scattered,scattered,1.0
brown,brown,1.0
chicken,chicken,1.0
sausage,sausage,1.0
beige,"white, light-colored",0.0
gyros,gyros,1.0
brown,brown,1.0
on the left side,on the,0.08144431026514741
green,green,1.0
crispy,crispy,1.0
halibut,fish,0.0
white,light golden color,0.0
green,green,1.0
on top,on top,0.2213885886251307
beige,golden brown,0.0
Halibut,exact type of fish,0.0
green,green,1.0
on the right,on a plate,0.07249749990681824
golden-brown,golden brown,0.0
halloumi,halloumi,1.0
gray,white,0.0
on the left,on the left,0.5757197301274735
yellow,yellow,1.0
apricot,visible,0.0
reddish-brown,reddish-brown,1.0
bowl,bowl,1.0
in the upper right,in the upper right,1.0
pink,pinkish,0.0
ham,cooked meat,0.0
pink,pinkish,0.0
sandwich,sandwich,1.0
green,green,1.0
on a plate,on a plate,0.5757197301274735
green,green,1.0
pink,pink,1.0
ham,ham,1.0
caramelized,charred,0.0
layered on,layered on,0.2213885886251307
lettuce,lettuce,1.0
potato,potato,1.0
orange,golden brown color,0.0
throughout,on top of,0.0
yellow,yellow,1.0
brownish,brown,0.0
plate,white plate,0.06754436142034707
yellow,yellow,1.0
sprinkled on top,on top,0.13427896671164932
white,white,1.0
orange,golden-brown color,0.0
potato,potato,1.0
fried,cooked white,0.0
on top of,on top of,0.5757197301274735
bacon,bacon,1.0
hash browns,golden brown,0.0
golden-brown,golden-brown,1.0
yes,yes,1.0
on a plate,on a plate,0.5757197301274735
golden-brown,golden brown,0.0
plate,plate,1.0
orange,orange,1.0
chives,chives,1.0
brown,brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
in the upper right,in the upper right,1.0
golden-brown,golden-brown,1.0
hen,chicken,0.0
brown,brown,1.0
at the top left,left side,0.02484818193359921
salad,salad,1.0
green-white,greenish,0.0
over the salad leaves,over the salad,0.41252121275142684
tomatoes,tomatoes,1.0
edamame,edamame,1.0
hummus,green,0.0
black,black,1.0
on top of,on top of,0.5757197301274735
yellow,yellow,1.0
hummus,hummus,1.0
submerged,right,0.0
crackers,pita bread,0.0
on the right,on the,0.13427896671164932
bowl,bowl,1.0
brownish-green,light greenish,0.0
towards the top left,left side of the,0.07258113984652705
beige,beige,1.0
hummus,hummus,1.0
yellow,yellowish-green,0.0
tomatoes,tomatoes,1.0
spices,red spice,0.0
yellow-beige,light brown,0.0
bowl,bowl,1.0
orange,orange,1.0
carrots,carrots,1.0
on the plate,on the plate,0.5757197301274735
reddish-brown,deep red,0.0
jars,jars,1.0
in the center,bottom of the,0.07249749990681824
orange,orange,1.0
jars,jars,1.0
glass,metal,0.0
in the center,in a,0.04096772609215166
pinkish-white,light,0.0
in the center,located inside,0.0
bottom half,central,0.0
orange,orange,1.0
vibrant,vibrant,1.0
dark brown,black,0.0
cubes,triangular,0.0
beige,white,0.0
scattered,dispersed,0.0
black,"blackened, dark",0.0
dark,dark,1.0
stacked,layered,0.0
dish,white rectangular plate,0.0
in the center,in the center,0.5757197301274735
brown,brown,1.0
beef jerky,"dark, dried",0.0
scattered,scattered,1.0
reddish-brown,darker,0.0
around the edges,"darkest, lower right",0.0
brown,brown,1.0
beef jerky,beef jerky,0.2213885886251307
overlapping,overlapping,1.0
dark brown,dark brown,0.2213885886251307
located inside,located inside,0.2213885886251307
jar,jar,1.0
sitting,wooden,0.0
wooden,wooden,1.0
yellow-tan,light color,0.0
plate,plate,1.0
white,white,1.0
glazed,glossy,0.0
Sloppy Joe,Sloppy Joe,0.2213885886251307
reddish-brown,reddish-brown,1.0
yellow,yellowish-brown,0.0
on the bottom,bottom the,0.04871911135426937
golden-brown,light brown,0.0
chicken,chicken,1.0
orange,light brown,0.0
on top,on top,0.2213885886251307
chips,chips,1.0
golden-brown,light brown,0.0
bun,common,0.0
gray,white,0.0
on a plate,on the plate,0.08621454270909737
tan,light brown,0.0
bun,bun,1.0
red,red,1.0
on top,on top,0.2213885886251307
diced,diced,1.0
beige,creamy white color,0.0
juice,creamy,0.0
on the table,similar,0.0
glass,glass,1.0
in a glass,in a glass,0.5757197301274735
vibrant,vibrant,1.0
glass,glass,1.0
yellow,yellow,1.0
watermelon,watermelon,1.0
pink,red color,0.0
blueberries,black beads,0.0
green surface,green surface,0.2213885886251307
4th of July,Fourth of July,0.21177974141341938
golden-brown,light,0.0
dispersed,distributed,0.0
kale,green vegetable,0.0
bowl,bowl,1.0
green,green,1.0
chips,chips,1.0
bowl,bowl,1.0
on a wooden surface,on a wooden surface,1.0
brownish,browned,0.0
dark green,dark green,0.2213885886251307
kale,green vegetable,0.0
red,red,1.0
on top of,on the,0.04096772609215166
colorful,colorful,1.0
kebabs,kebabs,1.0
red,"brown, cooked",0.0
on a plate,on a plate,0.5757197301274735
pineapple,pineapple,1.0
white,white,1.0
kohlrabi,golden-brown,0.0
arranged,arranged,1.0
brown,brown,1.0
on a plate,on a plate,0.5757197301274735
yellow,dark,0.0
noodles,noodle,0.0
yellow,yellow,1.0
on the top,on the top,0.5757197301274735
golden-yellow,golden,0.0
baking,baked,0.0
sprinkling,common,0.0
noodles,noodles,1.0
brown,browned,0.0
brown,golden-brown,0.0
lamb,lamb,1.0
in the center,round,0.0
reddish-brown,dark red color,0.0
stew,stew,1.0
fills,filling the,0.0
white,white,1.0
throughout the stew,throughout the stew,0.5757197301274735
white,white,1.0
lamb,rich,0.0
brown,brown,1.0
scattered around,on the side,0.0
orange,brown in color,0.0
lasagna,pasta dish,0.0
creamy,creamy,1.0
white,white,1.0
on the surface,on top of,0.07249749990681824
golden-brown,golden brown,0.0
lasagna,lasagna,1.0
black,black,1.0
on a black stovetop,on a hot,0.15174681566793558
green,"creamy, pale yellow",0.0
green,green,1.0
lasagna,"food, dish, layered, bowl, plate",0.0
red,red,1.0
yellow,yellow,1.0
on top of,on a base,0.07249749990681824
banana,banana,1.0
yellow,yellow,1.0
on the left,on the left,0.5757197301274735
green,green,1.0
clear,clear,1.0
