,Image,Question,Answer
5,2e789c07ec72245,What color is the ground beef inside the enchiladas,reddish-brown
6,2e789c07ec72245,What type of dish is shown in the image,enchiladas
7,2e789c07ec72245,What color is the rice next to the enchiladas,orange
8,2e789c07ec72245,Where are the sliced black olives placed,on top
9,2e789c07ec72245,What is the enchilada sauce and melted cheese covering,plate
10,641aa5f5ea69dc0,What color are the enchiladas,golden-brown
11,641aa5f5ea69dc0,What type of dish is shown in the image,enchiladas
12,641aa5f5ea69dc0,What is covering the enchiladas,cheese
13,641aa5f5ea69dc0,What color is the cheese,white
14,641aa5f5ea69dc0,Where is the dish positioned in the image,in the center
15,af4d3ea15183708,What color are the enchiladas,brown
16,af4d3ea15183708,Where are the sliced black olives placed,scattered across
17,af4d3ea15183708,What is sprinkled on top of the enchiladas,cheese
18,af4d3ea15183708,What color is the sauce at the bottom of the dish,red
19,af4d3ea15183708,What are the green onions on the enchiladas like,chopped
20,0d42274b1f0d5fa,What color is the plate,green
21,0d42274b1f0d5fa,What is the state of the cheese on the enchiladas,melted
22,0d42274b1f0d5fa,What type of meat is inside the enchiladas,chicken
23,0d42274b1f0d5fa,What color is the melted cheese on the enchiladas,orange
24,0d42274b1f0d5fa,Where are the sprigs of cilantro placed,on top of
25,2e74b67889ffe41,What color is the plate,white
26,2e74b67889ffe41,What type of food is on the plate,enchiladas
27,2e74b67889ffe41,What color is the melted cheese on the enchiladas,golden-yellow
28,2e74b67889ffe41,Where are the enchiladas sitting,on a bed
29,2e74b67889ffe41,How do the enchiladas appear in terms of color,browned
30,2359c1d570892e0,What type of dish is shown in the image,enchiladas
31,2359c1d570892e0,What is the state of the cheese on the enchiladas,melted
32,2359c1d570892e0,Where is the melted cheese located,on top of
33,2359c1d570892e0,What color is the lime slice on the sour cream,green
34,2359c1d570892e0,Where are the cilantro leaves found,scattered
35,68bf21f837ca42f,What color is the baking dish,white
36,68bf21f837ca42f,What type of dish is being described,enchiladas
37,68bf21f837ca42f,What color is the melted cheese on top,orange
38,68bf21f837ca42f,How are the sliced green onions arranged,scattered
39,68bf21f837ca42f,What are the enchiladas served in,in a dish
45,7c81577ebef300b,What is the flavor of the enchiladas,sweet
46,7c81577ebef300b,What type of dish is being described,enchiladas
47,7c81577ebef300b,What color is the filling inside the enchiladas,orange
48,7c81577ebef300b,What color are the cilantro leaves on top of the enchiladas,green
49,7c81577ebef300b,Where are the sliced red tomatoes and green jalapeños located,to the left
50,be629975b352453,What color is the baking dish,white
51,be629975b352453,What is the main ingredient covering the enchiladas,cheese
52,be629975b352453,What color are the enchiladas themselves,orange
53,be629975b352453,What is revealed under the missing portion of enchiladas,revealing
54,be629975b352453,Where is the portion of the enchiladas missing,on the left
55,1dc59366a062f39,What color is the sauce on the enchiladas,green
56,1dc59366a062f39,What type of dish is being described,enchiladas
57,1dc59366a062f39,What color is the plate,white
58,1dc59366a062f39,Where are the enchiladas placed,on the plate
59,1dc59366a062f39,What is the appearance of the cheese on the enchiladas,shredded
60,b326e7fa6ada55a,What color is the plate,white
61,b326e7fa6ada55a,What type of food is shown on the plate,enchiladas
62,b326e7fa6ada55a,What color is the sauce covering the enchiladas,reddish-brown
63,b326e7fa6ada55a,What is the state of the cheese on the enchiladas,melted
64,b326e7fa6ada55a,Where are the enchiladas located,on a plate
65,00e150893e99bbe,What color is the sauce on the enchiladas,yellow
66,00e150893e99bbe,What type of dish is shown in the image,enchiladas
67,00e150893e99bbe,What color are the tortillas,white
68,00e150893e99bbe,What is the state of the cheese on the enchiladas,melted
69,00e150893e99bbe,Where are the black specks located,across the top
75,1e647d3963597bb,What is the state of the cheese on the enchiladas,melted
76,1e647d3963597bb,What color is the baking dish,white
77,1e647d3963597bb,What color are the enchiladas,brown
78,1e647d3963597bb,What is on top of the enchiladas,cheese
79,1e647d3963597bb,Where is the baking dish located in the image,on top
80,d1de99721ebacb4,What color are the beef enchiladas,tan
81,d1de99721ebacb4,What is melted on top of the enchiladas,cheese
82,d1de99721ebacb4,What color is the sauce,red
83,d1de99721ebacb4,Where is the guacamole located,on top of
84,d1de99721ebacb4,What color is the guacamole,green
90,d2a6b11b8f0254b,What color are the enchiladas,golden-brown
91,d2a6b11b8f0254b,What type of dessert is shown in the image,enchiladas
92,d2a6b11b8f0254b,What color is the plate,white
93,d2a6b11b8f0254b,What color are the apples inside the enchiladas,of pale yellow apples
94,d2a6b11b8f0254b,Where are the enchiladas placed,on the plate
100,4f3aeccf1bb548a,What color are the venison strips,brownish
101,4f3aeccf1bb548a,What type of meat is used in the dish,venison
102,4f3aeccf1bb548a,What color are some of the bell pepper slices,red
103,4f3aeccf1bb548a,What is the appearance of the bell peppers,with colorful
104,4f3aeccf1bb548a,Where are the tongs positioned,tongs on the right
105,3eacd1eb2a4bf09,What color is the barbeque pork in the fajitas,brownish
106,3eacd1eb2a4bf09,What type of meat is used in the fajitas,pork
107,3eacd1eb2a4bf09,What color are the bell peppers in the fajitas,red
108,3eacd1eb2a4bf09,Where are the bell peppers located in relation to the pork,on top of
109,3eacd1eb2a4bf09,What is the position of the lime wedges in the image,leaning
110,07b551b82072640,What color are the bell peppers,red
111,07b551b82072640,What type of meat is used in the dish,chicken
112,07b551b82072640,What color are the grilled marks on the chicken,brown
113,07b551b82072640,Where are the ingredients placed,in the basket
114,07b551b82072640,What type of vegetable is mixed with the chicken and peppers,onions
120,8c23bbfc2929157,What type of meat is included in the dish,chicken
121,8c23bbfc2929157,What color are the bell peppers at the top-left and right,red
122,8c23bbfc2929157,What color are the bell pepper slices scattered between the chicken and red peppers,yellow
123,8c23bbfc2929157,How does the chicken appear in the image,browned
124,8c23bbfc2929157,Where are the chicken pieces distributed in the image,throughout the image
125,bbfd764709c2fc5,What color are the grill marks on the chicken,golden
126,bbfd764709c2fc5,What type of meat is featured in the dish,chicken
127,bbfd764709c2fc5,What color is the plate under the chicken,blue
128,bbfd764709c2fc5,What color are the cilantro leaves,green
129,bbfd764709c2fc5,Where are the lime wedges located,on the left
135,dbdd1a45e11f272,What is the state of the cheese on the chicken pieces,melted
136,dbdd1a45e11f272,What type of meat is used in the dish,chicken
137,dbdd1a45e11f272,What color is the plate the dish is served on,white
138,dbdd1a45e11f272,What color are the chicken pieces primarily,reddish-orange
139,dbdd1a45e11f272,Where is the cluster of cilantro leaves located,on top of
140,de4e22d616c136f,What color is the tortilla wrap,white
141,de4e22d616c136f,What color is the chicken,orange
142,de4e22d616c136f,What is partially covering the chicken and onions,covering
143,de4e22d616c136f,What type of meat is used in the Pollo Fajitas,chicken
144,de4e22d616c136f,Where are the sliced red and orange bell peppers mainly located,in the middle
145,f723dd68c167fd3,What color is the lettuce used for the cups,green
146,f723dd68c167fd3,What is the main ingredient of the lettuce cups,lettuce
147,f723dd68c167fd3,What color is the meat inside the lettuce cups,brown
148,f723dd68c167fd3,Where is the sour cream placed in the lettuce cups,on top of
149,f723dd68c167fd3,What pattern is visible on the cloth to the right of the plate,checkered
150,be533ae9b5f36d8,What is the color of the beef,beef
151,be533ae9b5f36d8,What color are the diced tomatoes,red
152,be533ae9b5f36d8,What is the color of the avocado slices,diced
153,be533ae9b5f36d8,Where are the diced onions located,green
154,be533ae9b5f36d8,Where is the shredded cheddar cheese placed,on top of
160,8cdb27974d97ff0,What color is the burrito primarily,tan
161,8cdb27974d97ff0,What type of food is the main item on the plate,burrito
162,8cdb27974d97ff0,What color is the lettuce on the burrito,green
163,8cdb27974d97ff0,What color are the bell peppers in the burrito,with yellow
164,8cdb27974d97ff0,What is the burrito placed on,plate
170,c85139f9d51d512,What color is the plate,white
171,c85139f9d51d512,What type of meat is used in the fajitas,steak
172,c85139f9d51d512,What color is the cilantro,green
173,c85139f9d51d512,Where are the steak fajitas located,on a plate
174,c85139f9d51d512,What type of beans are on the plate,refried
175,3fd59bae30c5c14,What color is the rice in the skillet,yellowish-tan
176,3fd59bae30c5c14,What is the base of the dish made of,rice
177,3fd59bae30c5c14,What color are the bell pepper slices scattered throughout the rice,red
178,3fd59bae30c5c14,Where are the red bell pepper slices scattered,scattered
179,3fd59bae30c5c14,Where are the green bell pepper slices located,on top of
180,345dea49d8d9dbe,What type of meat is included in the pasta,chicken
181,345dea49d8d9dbe,How are the red and green bell peppers arranged in the dish,mixed
182,345dea49d8d9dbe,What color are the bell pepper strips scattered throughout the dish,red
183,345dea49d8d9dbe,What color are the bell pepper pieces mixed into the dish,green
184,345dea49d8d9dbe,Where are the chicken pieces located in the bowl,throughout the bowl
190,24883eb3ae422e6,Does the dish look appetizing,appetizing
191,24883eb3ae422e6,What type of meat is used in the dish,chicken
192,24883eb3ae422e6,What color are the bell pepper slices that are red,red
193,24883eb3ae422e6,What color are the bell pepper slices that are green,green
194,24883eb3ae422e6,Where are the ingredients cooked,in a black cast iron skillet
