answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,yellowish brown,0.5,0.0,0.5
enchiladas,enchiladas,1.0,0.0,1.0
white,pale green,0.0,0.0,0.0
on the left side,on the surface,0.5714285714285715,0.4,0.5714285714285715
tomatoes,diced tomatoes,0.6666666666666666,0.0,0.6666666666666666
white,ivory,0.0,0.0,0.0
melted,it melted,0.6666666666666666,0.0,0.6666666666666666
covering,topping dish,0.0,0.0,0.0
green,light green,0.6666666666666666,0.0,0.6666666666666666
across the bake,yellow food,0.0,0.0,0.0
golden-brown,light brown,0.5,0.0,0.5
chicken,chicken,1.0,0.0,1.0
yellow,yellowish,0.0,0.0,0.0
on a plate,left of tacos,0.0,0.0,0.0
green,verdant,0.0,0.0,0.0
cilantro,cilantro,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
chicken,poultry pieces,0.0,0.0,0.0
on a sheet pan,baking sheet,0.3333333333333333,0.0,0.3333333333333333
chicken,chicken,1.0,0.0,1.0
green,various,0.0,0.0,0.0
atop the fajita filling,in tortillas,0.0,0.0,0.0
golden-brown,tan,0.0,0.0,0.0
Mahi Mahi,white flaky,0.0,0.0,0.0
red,red yellow,0.6666666666666666,0.0,0.6666666666666666
throughout the center,on vegetables,0.0,0.0,0.0
white,pale yellow,0.0,0.0,0.0
steak,beef strips,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,on the plate,1.0,1.0,1.0
mushrooms,green mushrooms,0.6666666666666666,0.0,0.6666666666666666
beige,light yellow,0.0,0.0,0.0
golden-brown,brownish orange,0.0,0.0,0.0
falafels,crab cakes,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,light brown,0.6666666666666666,0.0,0.6666666666666666
mushrooms,mushroom pieces,0.6666666666666666,0.0,0.6666666666666666
green,verdant,0.0,0.0,0.0
on top of,on the meal,0.3333333333333333,0.0,0.3333333333333333
yes,yes it is,0.5,0.0,0.5
farro,pearled barley,0.0,0.0,0.0
orange,orange,1.0,0.0,1.0
throughout,in plate,0.0,0.0,0.0
zucchini,zucchini,1.0,0.0,1.0
glass,clear glass,0.6666666666666666,0.0,0.6666666666666666
yellow,yellowish,0.0,0.0,0.0
contained within,inside glass,0.0,0.0,0.0
sealed,fabric and ribbon,0.0,0.0,0.0
red,red and white,0.5,0.0,0.5
feta fingers,tahini sticks,0.0,0.0,0.0
golden,beige,0.0,0.0,0.0
blue,light azure,0.0,0.0,0.0
salad,tuna salad,0.6666666666666666,0.0,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
white,light brown,0.0,0.0,0.0
fills,rests inside,0.0,0.0,0.0
fettuccine,linguine,0.0,0.0,0.0
creamy,smooth thick,0.0,0.0,0.0
cheese,grated cheese,0.6666666666666666,0.0,0.6666666666666666
on top of,on pasta,0.4,0.0,0.4
white,white,1.0,0.0,1.0
located throughout,under food,0.0,0.0,0.0
chicken,poultry,0.0,0.0,0.0
asparagus,tan,0.0,0.0,0.0
purple,dark brown,0.0,0.0,0.0
figs,dried plums,0.0,0.0,0.0
on top of,on treats,0.4,0.0,0.4
creamy,creamy crumbly,0.6666666666666666,0.0,0.6666666666666666
scattered,atop fruits,0.0,0.0,0.0
pinkish-red,pinkish brown,0.5,0.0,0.5
filet,steak,0.0,0.0,0.0
brown,dark brown,0.6666666666666666,0.0,0.6666666666666666
on a plate,on dish,0.4,0.0,0.4
seared,browned and crisp,0.0,0.0,0.0
blue,teal,0.0,0.0,0.0
fish,cooked fish,0.6666666666666666,0.0,0.6666666666666666
dill,dill weed,0.6666666666666666,0.0,0.6666666666666666
white,off white,0.6666666666666666,0.0,0.6666666666666666
Lemony,seasoned,0.0,0.0,0.0
Fish,baked fish,0.6666666666666666,0.0,0.6666666666666666
Orange,orange,1.0,0.0,1.0
on plate,on dish,0.5,0.0,0.5
Green,green,1.0,0.0,1.0
yellow,yellow and blue,0.5,0.0,0.5
fish,cooked seafood,0.0,0.0,0.0
golden-brown,red yellow,0.0,0.0,0.0
on a plate,on plate,0.8,0.0,0.8
green,green,1.0,0.0,1.0
white,white brown,0.6666666666666666,0.0,0.6666666666666666
