Image,Food Name,Summary,Ingredients,Calories
8813ee6b65e6390,Super Duper Oatmeal,This oatmeal is sooo yummy and hearty! Soy milk may be used in place of the milk.,"['milk', 'water', 'oats', 'blueberries', 'applesauce', 'wheat germ', 'ground cinnamon', 'sugar']",270.0
73ee1d85c2d7009,Jasmine Cookies,A cookie that you can prepare ahead of time and freeze or refrigerate and cut out the amount you want every time you want to have a snack. Perfect for an afternoon tea.,"['margarine, softened', 'white sugar', 'egg', 'all-purpose flour', 'jasmine tea leaves, chopped']",89.0
ccd381951ef18b7,Eggnog Pancakes,"You will love these big fluffy pancakes even if you don't like eggnog. It's a great way to start any day, especially Christmas morning. I suggest clarifying the butter but you don't have to if you don't want to.","['all-purpose flour', 'sugar', 'baking powder', 'salt', 'eggnog', 'clarified butter', 'egg, lightly beaten']",229.0
095f2ce25d4cac2,Golden Yam Brownies,"Better have several copies of this recipe on hand when you serve them! These moist, flavorful, delicious brownies are simply out of this world, possibly heaven.","['butter', 'packed brown sugar', 'white sugar', 'eggs', 'vanilla extract', 'all-purpose flour', 'baking powder', 'salt', 'peeled and finely shredded yam', ""confectioners' sugar"", 'butter or margarine', 'milk']",221.0
86ab540c2402965,Pumpkin Bread Puddin',Try this great substitute for the hum-drum pumpkin pie. Adults and kids alike will rave over this recipe. Serve warm with a dollop of whipped cream.,"['egg', 'egg yolks', 'whole milk', 'sugar', 'canned pumpkin puree', 'vanilla extract', 'salt', 'ground cinnamon', 'ground nutmeg', 'ground cloves', 'white bread cubes', 'miniature chocolate chips', 'brown sugar']",290.0
307c6f9111a31dc,Creamy Parsnip With Ginger Soup,"A pureed vegetable soup can be an impressive, easy and affordable first course for an elegant dinner, or even a light dinner on its own with salad and bread.","['olive oil', 'peeled parsnips , cut into 1-inch chunks', 'onion, cut into large dice', 'butter', 'sugar', 'garlic cloves, thickly sliced', 'ground ginger', 'cardamom', 'allspice', 'cayenne pepper', 'chicken broth, homemade or from a carton or can', 'half-and-half (or whole milk)', 'Salt and freshly ground pepper, to taste', 'Garnish: sauteed hazelnuts and dried cranberries*']",177.0
622cba3c43cf76c,Moroccan Cooked Pepper Salad,A tasty cooked salad with tomatoes and green peppers. It's good warm or cold.,"['green bell peppers', 'olive oil', 'fresh tomatoes, peeled and chopped', 'sugar', 'paprika', 'fresh parsley', 'cumin', 'salt', 'garlic powder', 'ground black pepper to taste', 'sliced green olives']",96.0
2653e2c820055d0,Jewish Shortbread,"This is a lovely, not too sweet shortbread, topped with cinnamon sugar. I use walnuts, but feel free to use any nut you wish!","['butter, softened', 'white sugar', 'finely ground walnuts', 'vanilla extract', 'salt', 'all-purpose flour', 'white sugar', 'ground cinnamon']",96.0
0b516d89c8a2d3a,Best Whole Wheat Chocolate Chippers,"In search of an all whole wheat cookie recipe, I created this one. My family gives it rave reviews!","['brown sugar', 'white sugar', 'butter, softened', 'eggs', 'vanilla extract', 'baking soda', 'salt', 'whole wheat flour', 'ground pecans', 'semisweet chocolate chips']",191.0
353f000c83f2cb7,Hot Cinnamon Peanut Brittle,This is a peanut brittle I concocted from several different recipes I have seen and used for peanut brittle over the years. It's a fun twist on the standard brittle and tastes like a mix between hot cinnamon candies and peanut brittle.,"['sugar', 'light corn syrup', 'dry-roasted peanuts', 'ground cinnamon', 'cayenne pepper', 'butter or margarine', 'baking soda']",133.0
