answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,golden brown,1.0,1.0,1.0
enchiladas,savory pie,0.0,0.0,0.0
white,light color,0.0,0.0,0.0
on the left side,on the plate,0.5714285714285715,0.4,0.5714285714285715
tomatoes,diced tomatoes,0.6666666666666666,0.0,0.6666666666666666
white,white,1.0,0.0,1.0
melted,has melted,0.6666666666666666,0.0,0.6666666666666666
covering,melting,0.0,0.0,0.0
green,light green,0.6666666666666666,0.0,0.6666666666666666
across the bake,top of the bake,0.5714285714285715,0.4,0.5714285714285715
golden-brown,golden brown,1.0,1.0,1.0
chicken,chicken,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
on a plate,left side of plate,0.28571428571428575,0.0,0.28571428571428575
green,green,1.0,0.0,1.0
cilantro,cilantro,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
chicken,chicken,1.0,0.0,1.0
on a sheet pan,baking sheet,0.3333333333333333,0.0,0.3333333333333333
chicken,grilled chicken,0.6666666666666666,0.0,0.6666666666666666
green,red and yellow,0.0,0.0,0.0
atop the fajita filling,on top,0.0,0.0,0.0
golden-brown,golden brown,1.0,1.0,1.0
Mahi Mahi,chicken,0.0,0.0,0.0
red,red and yellow,0.5,0.0,0.5
throughout the center,on top,0.0,0.0,0.0
white,golden color,0.0,0.0,0.0
steak,beef,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,green plate,0.4,0.0,0.4
mushrooms,asparagus,0.0,0.0,0.0
beige,white,0.0,0.0,0.0
golden-brown,golden brown,1.0,1.0,1.0
falafels,fish cakes,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,light brown,0.6666666666666666,0.0,0.6666666666666666
mushrooms,mushrooms,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top of,top of rice,0.6666666666666666,0.5,0.6666666666666666
yes,yes,1.0,0.0,1.0
farro,rice,0.0,0.0,0.0
orange,orange,1.0,0.0,1.0
throughout,in the dish,0.0,0.0,0.0
zucchini,zucchini,1.0,0.0,1.0
glass,glass,1.0,0.0,1.0
yellow,green,0.0,0.0,0.0
contained within,in jars,0.0,0.0,0.0
sealed,fabric lids,0.0,0.0,0.0
red,red and white,0.5,0.0,0.5
feta fingers,pastries,0.0,0.0,0.0
golden,golden-brown,0.6666666666666666,0.0,0.6666666666666666
blue,blue,1.0,0.0,1.0
salad,salad,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
white,white,1.0,0.0,1.0
fills,part of a dish,0.0,0.0,0.0
fettuccine,spaghetti,0.0,0.0,0.0
creamy,smooth and creamy,0.5,0.0,0.5
cheese,grated cheese,0.6666666666666666,0.0,0.6666666666666666
on top of,top of the pasta,0.5714285714285715,0.4,0.5714285714285715
white,white,1.0,0.0,1.0
located throughout,mixed with asparagus,0.0,0.0,0.0
chicken,chicken,1.0,0.0,1.0
asparagus,golden-brown,0.0,0.0,0.0
purple,dark purple to black,0.4,0.0,0.4
figs,dates,0.0,0.0,0.0
on top of,top of the dates,0.5714285714285715,0.4,0.5714285714285715
creamy,crumbly and somewhat moist,0.0,0.0,0.0
scattered,on top,0.0,0.0,0.0
pinkish-red,deep red,0.5,0.0,0.5
filet,beef,0.0,0.0,0.0
brown,dark brown,0.6666666666666666,0.0,0.6666666666666666
on a plate,white plate,0.4,0.0,0.4
seared,well-seared crust,0.5,0.0,0.5
blue,dark blue,0.6666666666666666,0.0,0.6666666666666666
fish,whitefish,0.0,0.0,0.0
dill,dill,1.0,0.0,1.0
white,white,1.0,0.0,1.0
Lemony,smoky warm,0.0,0.0,0.0
Fish,savory pastry,0.0,0.0,0.0
Orange,orange,1.0,0.0,1.0
on plate,on a plate,0.8,0.0,0.8
Green,green,1.0,0.0,1.0
yellow,white,0.0,0.0,0.0
fish,whole fish,0.6666666666666666,0.0,0.6666666666666666
golden-brown,reddish-orange,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0
green,green,1.0,0.0,1.0
white,light color,0.0,0.0,0.0
fish,rice,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
on top of,on top of fish,0.8571428571428571,0.8,0.8571428571428571
green,green,1.0,0.0,1.0
drink,beer or frothy drink,0.4,0.0,0.4
white,white,1.0,0.0,1.0
reddish-orange,orange,0.6666666666666666,0.0,0.6666666666666666
on top of,on the surface,0.3333333333333333,0.0,0.3333333333333333
shiny,smooth and shiny,0.5,0.0,0.5
flan,flan,1.0,0.0,1.0
white,white,1.0,0.0,1.0
caramel-colored,caramel-colored,1.0,1.0,1.0
chicken,chicken,1.0,0.0,1.0
drizzled,spread over the toppings,0.0,0.0,0.0
purple,purple,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
diced,diced into small pieces,0.4,0.0,0.4
pineapple,pineapple,1.0,0.0,1.0
moist,soft and moist,0.5,0.0,0.5
throughout the dish,evenly throughout,0.4,0.0,0.4
glass,glass serving bowl,0.5,0.0,0.5
filling,to the brim,0.0,0.0,0.0
cranberries,cranberries,1.0,0.0,1.0
grapes,cranberries,0.0,0.0,0.0
to the brim,glass bowl,0.0,0.0,0.0
yellow,light,0.0,0.0,0.0
focaccia,focaccia bread,0.6666666666666666,0.0,0.6666666666666666
green,green,1.0,0.0,1.0
wooden,wooden surface,0.6666666666666666,0.0,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
bowl,a bowl,0.6666666666666666,0.0,0.6666666666666666
toasted,browned and crispy,0.0,0.0,0.0
golden-brown,golden brown,1.0,1.0,1.0
down from,piece of bread,0.0,0.0,0.0
brown,light brown,0.6666666666666666,0.0,0.6666666666666666
pretzel,cereal mix,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
dessert,cake or bread,0.0,0.0,0.0
rectangular,square-shaped,0.0,0.0,0.0
brown,light beige,0.0,0.0,0.0
almonds,almond slices,0.6666666666666666,0.0,0.6666666666666666
scattered,unevenly distributed,0.0,0.0,0.0
white,white,1.0,0.0,1.0
casserole,baking dish,0.0,0.0,0.0
scattered,sprinkled evenly,0.0,0.0,0.0
reddish-brown,orange,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0
black,black,1.0,0.0,1.0
yellow,light yellow,0.6666666666666666,0.0,0.6666666666666666
scattered,distributed evenly,0.0,0.0,0.0
tomatoes,tomatoes,1.0,0.0,1.0
in a black pan,top of the dish,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
broccoli,broccoli,1.0,0.0,1.0
light,light yellow,0.6666666666666666,0.0,0.6666666666666666
cheddar,mozzarella or cheddar,0.5,0.0,0.5
brown,brown,1.0,0.0,1.0
clustered,clustered,1.0,0.0,1.0
plate,decorative plate,0.6666666666666666,0.0,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
on the left,left side of plate,0.28571428571428575,0.0,0.28571428571428575
golden-brown,golden brown,1.0,1.0,1.0
fritter,potato pancake,0.0,0.0,0.0
crispy,crispy and golden-brown,0.4,0.0,0.4
white,white,1.0,0.0,1.0
chocolate,chocolate,1.0,0.0,1.0
stack,in a stack,0.5,0.0,0.5
brown,dark brown,0.6666666666666666,0.0,0.6666666666666666
on a plate,on a plate,1.0,1.0,1.0
swirled,swirl,1.0,0.0,1.0
pink,pink,1.0,0.0,1.0
cupcake,cupcake,1.0,0.0,1.0
cherry,raspberries,0.0,0.0,0.0
on top of,on top,0.8,0.6666666666666666,0.8
bowls,metal bowls,0.6666666666666666,0.0,0.6666666666666666
coats,covers the cake,0.0,0.0,0.0
cake,chocolate cake,0.6666666666666666,0.0,0.6666666666666666
brown,brown,1.0,0.0,1.0
on the plate,on a plate,0.6666666666666666,0.0,0.6666666666666666
blue,light blue,0.6666666666666666,0.0,0.6666666666666666
fries,loaded fries,0.6666666666666666,0.0,0.6666666666666666
orange,yellow,0.0,0.0,0.0
on top of,on top of fries,0.8571428571428571,0.8,0.8571428571428571
yellow,golden brown,0.0,0.0,0.0
casserole,baked pasta casserole,0.5,0.0,0.5
white,white,1.0,0.0,1.0
