Image,Question,Answer,Predict,gpt_score
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,golden brown,1.0
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,baked fish fillet,0.0
ff557f4ea977d3a,What color is the filling of the enchiladas,white,white,1.0
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,the enchiladas are on the left,0.7
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,tomatoes,1.0
5c89583c7d79eac,What color is the baking dish,white,white,1.0
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,the vegan cheese has melted,0.7
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,the vegan cheese is melting on top,0.2
5c89583c7d79eac,What color are the avocado slices,green,green,1.0
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,on top of the bake,0.5
ec8d556e427215f,What color is the chicken,golden-brown,the chicken is brown,0.6
ec8d556e427215f,What type of meat is used in the fajitas,chicken,chicken,1.0
ec8d556e427215f,What color is the shredded cheese,yellow,yellow,1.0
ec8d556e427215f,Where is the sour cream located,on a plate,lower left corner of the plate,0.6
4540be4f1b7483a,What color is the cilantro,green,green,1.0
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,cilantro,1.0
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,yellow,1.0
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,chicken,1.0
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,the fajita mix is arranged on a baking sheet,0.7
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,beef,0.0
5466136e2c0ad7d,What color are the bell peppers,green,"the bell peppers are yellow, orange, and red",0.2
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,in the upper right corner,0.2
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,the mahi mahi pieces are light brown,0.6
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,salmon,0.2
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red and yellow,0.7
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,in the middle of the dish,0.5
04bc6b3e8a8aea0,What color are the sliced onions,white,the sliced onions are white,0.7
706203205f79559,What is the main protein in the fajitas,steak,the main protein in the fajitas is **beef strips**,0.3
706203205f79559,What color is the sliced steak,brownish-red,brown,0.7
706203205f79559,Where are the fajitas placed,on the plate,the fajitas are placed on a plate,0.7
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,the vegetables mixed with the red peppers are mushrooms,0.6
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,the tortilla used for the fajitas is **white**,0.2
a1db7c4c3f6057d,What color are the falafels,golden-brown,brown,0.7
a1db7c4c3f6057d,What type of food is shown in the image,falafels,crab cakes,0.1
a1db7c4c3f6057d,What color is the lemon,yellow,yellow,1.0
a1b92188972141f,What color are the farro grains,brown,brown,1.0
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushrooms,1.0
a1b92188972141f,What color is the cilantro sprig,green,green,1.0
a1b92188972141f,Where is the cilantro sprig positioned,on top of,on top of the rice,0.9
649f26370757a85,Is the dish suitable for vegetarians,yes,"yes, it is vegetarian",0.5
649f26370757a85,What is the main grain used in the skillet,farro,the main grain used in the skillet is farro,1.0
649f26370757a85,What color is the bowl used to serve the dish,orange,the bowl is **red**,0.1
649f26370757a85,Where are the black beans located in the dish,throughout,the black beans are located in the center of the dish,0.1
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,zucchini,1.0
1182fb165965c24,What material are the jars made of,glass,the jars are made of glass,0.6
1182fb165965c24,What color is the fennel,yellow,green,0.1
1182fb165965c24,Where is the fennel contained,contained within,the fennel is contained in the jar,0.7
1182fb165965c24,How are the jars sealed,sealed,the jars are sealed with a red and white checkered lid,0.6
1182fb165965c24,What color is the cloth on the jars,red,red and white checkered,0.7
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,fried breaded cheese sticks,0.6
dc82292cc9b95bb,What color are the feta fingers,golden,the feta fingers are golden brown,0.3
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue and yellow,0.7
c21c69d14faa792,What type of dish is shown in the image,salad,a bowl of salad,0.9
c21c69d14faa792,What color is the bowl holding the salad,yellow,yellow,1.0
c21c69d14faa792,What color are the chicken pieces in the salad,white,there are no chicken pieces in the salad,0.0
c0975f297eda584,What does the fettuccine do in the frame,fills,the fettuccine fills the frame,0.5
c0975f297eda584,What type of pasta is shown,fettuccine,beetroot pasta,0.3
c0975f297eda584,What is the texture of the sauce,creamy,the sauce is smooth and creamy,0.9
c0975f297eda584,What is scattered on top of the pasta,cheese,shredded cheese,0.9
c0975f297eda584,Where are the thin strands of cheese located,on top of,in the center,0.3
4a760002afb43b8,What is the color of the base of the dish,white,the base of the dish is white,0.7
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,at the bottom of the dish,0.2
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken,1.0
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,the slightly browned areas on the chicken are light brown,0.1
614c5dee532b78e,What color are the figs,purple,the figs are purple,0.9
614c5dee532b78e,What type of fruit is shown in the image,figs,prunes,0.3
614c5dee532b78e,Where is the goat cheese placed,on top of,on top of the figs,1.0
614c5dee532b78e,What is the texture of the goat cheese,creamy,the texture of the goat cheese is crumbly,0.2
614c5dee532b78e,How is the goat cheese distributed,scattered,the goat cheese is crumbled,0.2
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,the interior of the cut filet is red,0.4
a31ea68b260d0c2,What type of meat is shown in the image,filet,steak,0.6
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,the seared exterior of the filets is dark brown,0.7
a31ea68b260d0c2,Where are the filets placed,on a plate,on the white plate,0.9
a31ea68b260d0c2,How is the exterior of the filets described,seared,well done,0.6
260ac1e7d31775e,What color is the plate,blue,the plate is dark blue,0.7
260ac1e7d31775e,What type of food is being served,fish,fish,1.0
260ac1e7d31775e,What herb is scattered on the fish,dill,dill,1.0
260ac1e7d31775e,What color is the fish generally,white,white,1.0
395a4e305e40a37,What flavor is the fish,Lemony,herb seasoned salmon,0.1
395a4e305e40a37,What type of food is shown in the image,Fish,grilled salmon fillet,0.3
395a4e305e40a37,What color is the plate,Orange,orange,1.0
395a4e305e40a37,Where is the fish placed,on plate,the fish is placed on a plate,0.7
395a4e305e40a37,What color are the herbs on the fish,Green,green,1.0
a5b87a311528eb8,What color is the plate,yellow,the plate is yellow,0.9
a5b87a311528eb8,What type of food is in the center of the plate,fish,fried fish with sauce,0.5
a5b87a311528eb8,What color is the fish,golden-brown,the fish is orange,0.2
a5b87a311528eb8,Where is the fish located,on a plate,on top of the lettuce,0.5
a5b87a311528eb8,What color are the scallions on the fish,green,the scallions on the fish are green and red,0.5
ce3a724e27e8f9f,What color is the fish,white,the fish is white,0.9
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,rice,0.0
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,the sauce on top of the fish is brown,0.7
ce3a724e27e8f9f,Where is the ginger placed,on top of,on top of the fish,0.9
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,the scallions are green,0.7
27bc4f71b275ae7,What is in the clear glass,drink,pisco sour,0.4
27bc4f71b275ae7,What color is the foam on the drink,white,the foam is white with a brown swirl,0.6
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,the patterns on top of the foam are orange,0.3
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on top of the drink,0.9
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,the flan's top surface is smooth and glossy,0.6
c3720ab16e601cc,What type of dessert is shown in the image,flan,flan,1.0
c3720ab16e601cc,What color is the plate,white,the plate is white,0.9
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,the surface on top of the flan is caramel brown,0.7
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,chicken,1.0
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,it's drizzled over the toppings,0.7
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,the onions on the flatbread are purple,0.7
a04609d90ed6c41,What color is the pineapple in the dish,yellow,yellow,1.0
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,the pineapple is diced,0.5
a04609d90ed6c41,What fruit is used in the dish,pineapple,pineapple,1.0
a04609d90ed6c41,What is the texture of the overall mixture,moist,the texture of the overall mixture is soft and moist,0.7
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,the bread and pineapple pieces are evenly distributed,0.3
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,martini glass,0.7
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,the bowl is almost full,0.3
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,grapes,0.2
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,grapes,1.0
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,a glass bowl,0.2
93caec07215ba61,What color is the interior of the focaccia,yellow,the interior of the focaccia is light yellow,0.6
93caec07215ba61,What type of bread is shown in the image,focaccia,focaccia bread,0.9
93caec07215ba61,What color is the basil on top of the focaccia,green,the basil on top of the focaccia is green,0.7
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wooden cutting board,0.9
82927363da2288b,What color is the fondue in the bowl,yellow,yellow,1.0
82927363da2288b,What is the fondue contained in,bowl,a white ceramic bowl,0.9
82927363da2288b,What is the state of the bread's crust,toasted,the bread's crust is toasted,0.9
82927363da2288b,What color is the crust of the bread,golden-brown,brown,0.7
82927363da2288b,Where is the fondue dripping from,down from,the bread,0.1
2d2938a660f6b1d,What color are the pretzel rings,brown,the pretzel rings are brown,0.7
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,chex mix,0.3
82c11793c3b8518,What color is the dessert,brown,brown,1.0
82c11793c3b8518,What type of food is shown in the image,dessert,blondies,0.6
82c11793c3b8518,What shape are the desserts,rectangular,rectangular,1.0
f189044f1aaf168,What color are the slivered almonds on the candies,brown,white,0.1
