Image,Question,Answer,Predicted_Answer,gpt_score
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,golden brown,1.0
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,fried fish,0.1
ff557f4ea977d3a,What color is the filling of the enchiladas,white,white,1.0
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,not present,0.0
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,tomatoes,1.0
5c89583c7d79eac,What color is the baking dish,white,white,1.0
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted,1.0
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,melting,0.1
5c89583c7d79eac,What color are the avocado slices,green,green,1.0
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,on top,0.2
ec8d556e427215f,What color is the chicken,golden-brown,white,0.1
ec8d556e427215f,What type of meat is used in the fajitas,chicken,chicken,1.0
ec8d556e427215f,What color is the shredded cheese,yellow,yellow,1.0
ec8d556e427215f,Where is the sour cream located,on a plate,next to guacamole,0.2
4540be4f1b7483a,What color is the cilantro,green,green,1.0
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,cilantro,1.0
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,yellow,1.0
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,chicken,1.0
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,on a plate,0.6
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,pork,0.0
5466136e2c0ad7d,What color are the bell peppers,green,not visible,0.1
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,on the plate,0.3
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,golden-brown,1.0
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,salmon,0.2
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red and yellow,0.7
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,on the plate,0.2
04bc6b3e8a8aea0,What color are the sliced onions,white,white,1.0
706203205f79559,What is the main protein in the fajitas,steak,beef,1.0
706203205f79559,What color is the sliced steak,brownish-red,brown,0.7
706203205f79559,Where are the fajitas placed,on the plate,on a plate,0.9
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,carrots,0.1
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,not shown,0.0
a1db7c4c3f6057d,What color are the falafels,golden-brown,brown,0.7
a1db7c4c3f6057d,What type of food is shown in the image,falafels,italian dish,0.2
a1db7c4c3f6057d,What color is the lemon,yellow,not visible,0.1
a1b92188972141f,What color are the farro grains,brown,light brown,0.9
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushrooms,1.0
a1b92188972141f,What color is the cilantro sprig,green,not visible,0.1
a1b92188972141f,Where is the cilantro sprig positioned,on top of,not visible,0.1
649f26370757a85,Is the dish suitable for vegetarians,yes,no,0.0
649f26370757a85,What is the main grain used in the skillet,farro,there is no grain,0.1
649f26370757a85,What color is the bowl used to serve the dish,orange,red,0.2
649f26370757a85,Where are the black beans located in the dish,throughout,scattered throughout,0.7
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,zucchini,1.0
1182fb165965c24,What material are the jars made of,glass,glass,1.0
1182fb165965c24,What color is the fennel,yellow,there is no fennel,0.1
1182fb165965c24,Where is the fennel contained,contained within,on the board,0.2
1182fb165965c24,How are the jars sealed,sealed,with a lid and ribbon,0.3
1182fb165965c24,What color is the cloth on the jars,red,red and white,0.7
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,fried breaded sticks,0.3
dc82292cc9b95bb,What color are the feta fingers,golden,golden brown,0.8
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue and yellow.,0.7
c21c69d14faa792,What type of dish is shown in the image,salad,tuna salad,0.7
c21c69d14faa792,What color is the bowl holding the salad,yellow,yellow,1.0
c21c69d14faa792,What color are the chicken pieces in the salad,white,not present,0.0
