answer,predicted_answer,bleu_score
golden-brown,cheese,0.0
enchiladas,quiche,0.0
white,orange,0.0
on the left side,on a plate,0.05194672862155564
tomatoes,lettuce,0.0
white,white,1.0
melted,melted,1.0
covering,covering most of the surface,0.0456496931223525
green,green,1.0
across the bake,black,0.0
golden-brown,orange,0.0
chicken,pork,0.0
yellow,white,0.0
on a plate,on the pasta,0.07249749990681824
green,green,1.0
cilantro,carrot,0.0
yellow,reddish,0.0
chicken,steak,0.0
on a sheet pan,steak,0.0
chicken,pork,0.0
green,red,0.0
atop the fajita filling,on top of,0.0
golden-brown,tan,0.0
Mahi Mahi,pork,0.0
red,red,1.0
throughout the center,on the plate,0.07249749990681824
white,reddish-brown,0.0
steak,tempeh,0.0
brownish-red,brown,0.0
on the plate,on top,0.04096772609215166
mushrooms,green,0.0
beige,tan,0.0
golden-brown,red,0.0
falafels,fajitas,0.0
yellow,yellow,1.0
brown,scattered,0.0
mushrooms,mushroom,0.0
green,green,1.0
on top of,green,0.0
yes,vegetarian,0.0
farro,rice,0.0
orange,white,0.0
throughout,around the egg,0.0
zucchini,tan,0.0
glass,glass,1.0
yellow,yellow,1.0
contained within,on a baking sheet,0.0
sealed,sealed,1.0
red,blue,0.0
feta fingers,nuggets,0.0
golden,golden-brown,0.0
blue,blue,1.0
salad,enchiladas,0.0
yellow,green,0.0
white,off-white,0.0
fills,fills,1.0
fettuccine,ravioli,0.0
creamy,creamy,1.0
cheese,gnocchi,0.0
on top of,red,0.0
white,white,1.0
located throughout,in the image,0.0
chicken,chicken,1.0
asparagus,on the edges,0.0
purple,brown,0.0
figs,figs,1.0
on top of,white,0.0
creamy,crumbled,0.0
scattered,white,0.0
pinkish-red,yellow,0.0
filet,chicken,0.0
brown,brown,1.0
on a plate,brown,0.0
seared,brown,0.0
blue,green,0.0
fish,mushroom,0.0
dill,parsley,0.0
white,off-white,0.0
Lemony,sweet,0.0
Fish,fajitas,0.0
Orange,green,0.0
on plate,on a plate,0.08621454270909737
Green,green,0.0
yellow,green,0.0
fish,gnocchi,0.0
golden-brown,pink,0.0
on a plate,on a plate,0.5757197301274735
green,green,1.0
white,pink,0.0
fish,fries,0.0
brown,brown,1.0
on top of,on a baking sheet,0.061033220311973134
green,green,1.0
drink,sauce,0.0
white,white,1.0
reddish-orange,blue,0.0
on top of,on top,0.13427896671164932
shiny,amber,0.0
flan,enchiladas,0.0
white,green,0.0
caramel-colored,amber,0.0
chicken,red,0.0
drizzled,dark brown,0.0
purple,red,0.0
yellow,golden-brown,0.0
diced,cut,0.0
pineapple,strawberries,0.0
moist,golden-brown,0.0
throughout the dish,brown,0.0
glass,color,0.0
filling,filling,1.0
cranberries,cherry,0.0
grapes,browned,0.0
to the brim,above the rim,0.07249749990681824
yellow,yellow,1.0
focaccia,lefse,0.0
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,pot,0.0
toasted,sliced,0.0
golden-brown,golden-brown,1.0
down from,from the chocolate-covered pear,0.061033220311973134
brown,brown,1.0
pretzel,over the Fritos,0.0
brown,reddish-pink,0.0
dessert,fajitas,0.0
rectangular,squares,0.0
brown,on top of,0.0
almonds,peanuts,0.0
scattered,at the center,0.0
white,white,1.0
casserole,pie,0.0
scattered,scattered,1.0
reddish-brown,pink,0.0
on top,on a plate,0.07249749990681824
black,black,1.0
yellow,brown,0.0
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on each piece,0.0
yellow,yellow,1.0
broccoli,potato,0.0
light,dark,0.0
cheddar,potato,0.0
brown,golden-brown,0.0
clustered,piled,0.0
plate,plate,1.0
yellow,yellow,1.0
on the left,on the plate,0.21177974141341938
golden-brown,white,0.0
fritter,enchiladas,0.0
crispy,bubbly,0.0
white,green,0.0
chocolate,chocolate,1.0
stack,at the bottom,0.0
brown,on top of,0.0
on a plate,on a white plate,0.18616487055295167
swirled,clear,0.0
pink,off-white,0.0
cupcake,cake,0.0
cherry,raspberry,0.0
on top of,on top of,0.5757197301274735
bowls,jars,0.0
coats,covers,0.0
cake,cake,1.0
brown,off-white,0.0
on the plate,on a white plate,0.07258113984652705
blue,green,0.0
fries,enchiladas,0.0
orange,yellow,0.0
on top of,on top of,0.5757197301274735
yellow,golden-yellow,0.0
casserole,casserole,1.0
white,green,0.0
fries,pizza pockets,0.0
golden-brown,red,0.0
orange,red,0.0
on top of,on top,0.13427896671164932
yellow,yellow,1.0
