Image,Image description,Keywords,Questions
cc8ab18052f66ff,"The Pinoy Chicken Adobo consists of two chicken pieces with a shiny, brown surface, and a mound of light brown rice. The chicken pieces are stacked on top of each other, leaning towards the left side of the plate, with the rice nestled underneath and to the right of the chicken. The rice occupies the central and right portions of the plate, forming a rounded heap.","chicken, shiny, rice, brown, stacked on, leaning","What is the main protein in the dish?, How does the surface of the chicken appear?, What is the color of the rice?, What is the color of the chicken surface?, How are the chicken pieces arranged?, In which direction are the chicken pieces leaning?"
e73d602511bd243,The image shows Pork Adobo. The pork pieces are dark brown and are scattered throughout the dish. There are three hard-boiled eggs. They are a light creamy beige color. One egg is in the upper right area. Another egg is on the top center. The last egg is on the lower left area. The adobo sauce is a dark brown color and coats the pork.,"Pork Adobo, dark brown, scattered, eggs, beige, on the lower left area","What is the name of the dish shown in the image?, What color are the pork pieces?, How are the pork pieces arranged in the dish?, What type of eggs are in the dish?, What color are the eggs?, Where is the last egg located in the dish?"
8e5cc914ad09687,"The authentic chicken adobo pieces are arranged centrally on a white plate. The chicken pieces exhibit a range of brown hues, from a light tan to a richer, darker brown, indicating varying degrees of browning and caramelization. Some pieces appear glossier, likely due to the adobo sauce coating, while others have a more matte finish. A larger piece occupies the center, surrounded by smaller drumsticks and other portions. Some smaller pieces with a darker brown color are on the top of the plate. A cluster of drumsticks is on the left side.","arranged, authentic, chicken, brown, on the plate, drumsticks","How are the chicken adobo pieces presented on the plate?, What type of chicken dish is shown in the image?, What is the main protein in the dish?, What color are the chicken pieces?, Where are the chicken pieces placed?, What part of the chicken is clustered on the left side of the plate?"
c5e62567a5a4266,"The Adobo Twist features various ingredients scattered throughout the pot.  The pork belly pieces, with their layers of white fat and pinkish-brown meat, are mostly located toward the bottom and right side of the pot.  The peas, which are small and green, are concentrated more towards the top and left, interspersed among other ingredients.  Diced potatoes, appearing yellowish-brown, are also mixed within the peas, adding to the texture.  There are a few orange carrot slices mixed in.  A bay leaf, dark green in color, rests towards the center-right. The entire dish is simmered in a dark brown sauce.","scattered, pork, white, green, simmered, toward the bottom","How are the ingredients arranged in the pot?, What type of meat is used in the dish?, What color is the fat on the pork belly?, What color are the peas in the dish?, How is the dish cooked?, Where are the pork belly pieces mostly located?"
685234f6de463c0,"The Filipino Pork Adobo is a mix of dark brown meat and white rice, filling the frame. The pork, cut into irregular chunks and shredded pieces, has a glossy, dark brown color from the sauce. It's scattered throughout the dish, primarily in the bottom left quadrant and interspersed within the rice. The rice grains, mostly white but also coated with the brown sauce, are distributed evenly among the pork. The color is largely concentrated towards the center and upper-right area of the image. Overall, the food appears moist and saucy.","mix, brown, pork, scattered, moist, in the bottom left","What is the Filipino Pork Adobo a mix of?, What color is the pork in the dish?, What type of meat is used in the dish?, How is the pork distributed in the dish?, How does the food appear overall?, In which part of the dish is the pork primarily located?"
aec970daf4193a0,"The Filipino Chicken Adobo features chicken pieces, roughly tan to brown, arranged centrally in the bowl. A large, bright green bay leaf is positioned atop the chicken, near the center. Sliced green peppers are scattered around the chicken, adding a vibrant color contrast. Small, black peppercorns are liberally sprinkled throughout the dish. A dark brown sauce, likely soy sauce-based, coats the chicken and pools at the bottom of the bowl. Garlic pieces are also scattered throughout.","arranged, brown, chicken, green, throughout the dish, adobo","How are the chicken pieces arranged in the bowl?, What color is the chicken in the dish?, What type of meat is featured in the dish?, What color are the sliced peppers in the dish?, Where are the sliced green peppers scattered?, What is the name of the dish?"
96eb911bcf3cf8c,"The homemade adobo all-purpose seasoning appears as a mixture of several components. There's a pile of light yellow, finely ground powder. A pile of white, finely ground powder is located next to the yellow powder. Some coarse black pepper and herbs are mixed in the bottom. A golden yellow powder sits in a silver spoon on the left side. Some herbs sits in another silver spoon on the right side.","homemade, yellow, powder, mixed, black pepper, on the left side","Is the seasoning described as homemade?, What color is the finely ground powder on the left?, Is there a powder mixed with other components?, Is black pepper one of the ingredients in the mixture?, Where is the golden yellow powder located?"
e20cfc391708cfd,"Traci's Adobo Seasoning is a mix of colors including orange-red, white, and green. The orange-red granules and white crystals appear to be the most prominent, sprinkled throughout the seasoning. The green is from dried herbs, appearing as small flakes and fragments dispersed within the mixture. This seasoning is filling a white spoon, densely packed. The overall appearance is a granular and slightly coarse texture, with the various colors blending together to create a vibrant mix.","seasoning, orange-red, filling, herbs, white, of colors","What is Traci's Adobo Seasoning a mix of?, What color are the most prominent granules in the seasoning?, What is the seasoning filling?, What are the green flakes in the seasoning made of?, What color are the crystals in the seasoning?, What is the mix of colors in the seasoning creating?"
5d35f54a93f462a,"The Sriracha Aioli is in a small, silver-colored metal bowl. The aioli itself is a light salmon pink color and fills the bowl almost to the brim. The bowl is placed on a white plate, slightly off-center, closer to the top left of the frame. A sprig of bright green cilantro rests on the plate near the bottom right of the aioli bowl.","Sriracha, silver, bowl, fills, pink, on a plate","What is the name of the sauce in the bowl?, What color is the bowl?, What is the container for the aioli?, How full is the bowl with aioli?, What color is the aioli?, Where is the bowl placed?"
3263d5822a81671,"The image shows several food items arranged on a square, terra cotta-colored plate. Slices of cooked meat, light pink in color and topped with small green herbs, are stacked on the left side of the plate. To the right of the meat is a small, clear bowl filled with white aioli, also speckled with green herbs. Two lemon wedges, bright yellow, are positioned below the aioli bowl. The plate is centered on a red textured surface.","arranged, pink, meat, yellow, on the plate, topped","How are the food items presented on the plate?, What color are the slices of cooked meat?, What type of food is light pink in color?, What color are the lemon wedges?, Where are the food items placed?, What is on top of the slices of cooked meat?"
