Answer,Predict,gpt_score
golden-brown,golden-brown,1.0
enchiladas,salad,0.1
white,yellow,0.2
on the left side,in the center,0.2
tomatoes,zucchini,0.2
white,white,1.0
melted,melted,1.0
covering,covering,1.0
green,green,1.0
across the bake,on top,0.2
golden-brown,golden-brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,on top,0.3
green,green,1.0
cilantro,cilantro,1.0
yellow,white,0.1
chicken,bacon,0.1
on a sheet pan,on a plate,0.6
chicken,chicken,1.0
green,red,0.0
atop the fajita filling,on top,0.6
golden-brown,golden-brown,1.0
mahi mahi,tuna,0.3
red,red,1.0
throughout the center,on a plate,0.2
white,red,0.0
steak,chicken,0.1
brownish-red,brown,0.7
on the plate,on a plate,0.9
mushrooms,tomatoes,0.1
beige,white,0.2
golden-brown,golden-brown,1.0
falafels,chips,0.1
yellow,yellow,1.0
brown,brown,1.0
mushrooms,mushrooms,1.0
green,green,1.0
on top of,on top of,1.0
yes,vegetarian,0.1
farro,rice,0.3
orange,white,0.0
throughout,scattered,0.3
zucchini,zucchini,1.0
glass,glass,1.0
yellow,white,0.1
contained within,contained,0.9
sealed,arranged,0.2
red,red,1.0
feta fingers,bites,0.2
golden,white,0.2
blue,blue,1.0
salad,salad,1.0
yellow,white,0.1
white,brown,0.1
fills,fills,1.0
fettuccine,ravioli,0.3
creamy,creamy,1.0
cheese,mushrooms,0.1
on top of,on top,0.9
white,white,1.0
located throughout,in the center,0.2
chicken,bacon,0.1
asparagus,browned,0.2
purple,brown,0.1
figs,bananas,0.1
on top of,on top,0.9
creamy,creamy,1.0
scattered,scattered,1.0
pinkish-red,pink,0.7
filet,chicken,0.1
brown,golden-brown,0.7
on a plate,on a plate,1.0
seared,crispy,0.6
blue,white,0.0
fish,vegetables,0.0
dill,parsley,0.3
white,orange,0.1
lemony,spicy,0.1
fish,chips,0.1
orange,white,0.0
on plate,on a plate,1.0
green,green,1.0
yellow,white,0.1
fish,fish,1.0
golden-brown,golden-brown,1.0
on a plate,on a plate,1.0
green,green,1.0
white,golden-brown,0.2
fish,tofu,0.0
brown,red,0.1
on top of,on a plate,0.5
green,green,1.0
drink,ice,0.2
white,white,1.0
reddish-orange,white,0.1
on top of,on top,0.9
shiny,crispy,0.2
flan,cake,0.2
white,white,1.0
caramel-colored,white,0.1
chicken,bacon,0.1
drizzled,drizzled,1.0
purple,red,0.1
yellow,yellow,1.0
diced,sliced,0.6
pineapple,peaches,0.1
moist,creamy,0.2
throughout the dish,scattered,0.3
glass,dish,0.3
filling,fills,0.7
cranberries,cranberries,1.0
grapes,lemon,0.1
to the brim,on top of,0.3
yellow,yellow,1.0
focaccia,pita bread,0.4
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,pot,0.3
toasted,toasted,1.0
golden-brown,brown,0.7
down from,from the bottom,0.6
brown,brown,1.0
pretzel,burrito,0.1
brown,white,0.0
dessert,chips,0.1
rectangular,square,0.5
brown,brown,1.0
almonds,peanuts,0.2
scattered,arranged,0.0
white,white,1.0
casserole,pie,0.2
scattered,scattered,1.0
reddish-brown,red,0.7
on top,on top,1.0
black,silver,0.1
yellow,yellow,1.0
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on top of,0.2
yellow,yellow,1.0
broccoli,zucchini,0.2
light,dark,0.1
cheddar,feta,0.2
brown,golden-brown,0.7
clustered,arranged,0.7
plate,plate,1.0
yellow,yellow,1.0
on the left,to the left,0.7
golden-brown,golden-brown,1.0
fritter,burrito,0.2
crispy,crispy,1.0
white,white,1.0
chocolate,spicy,0.1
stack,mix,0.2
brown,brown,1.0
on a plate,on a plate,1.0
swirled,swirled,1.0
pink,white,0.1
cupcake,flan,0.2
cherry,rhubarb,0.2
on top of,on top of,1.0
bowls,jars,0.2
coats,covers,0.3
cake,flan,0.3
brown,white,0.1
on the plate,on a plate,0.9
blue,white,0.0
fries,oatmeal,0.1
orange,yellow,0.2
on top of,on top,0.9
yellow,golden-yellow,0.9
casserole,salad,0.2
white,white,1.0
fries,mushrooms,0.1
golden-brown,red,0.2
orange,red,0.2
on top of,on top,0.9
yellow,yellow,1.0
potato,zucchini,0.1
reddish-brown,brown,0.7
on a plate,plate,0.7
yellow,orange,0.2
fries,chips,0.9
charred,browned,0.6
in the center,in the center,1.0
blue,white,0.0
white,brown,0.1
fudge,chips,0.2
red,red,1.0
walnuts,pecans,0.5
brown,brown,1.0
fudge,cake,0.3
on the left,in the center,0.2
sheen,has,0.1
golden-brown,golden-brown,1.0
red,red,1.0
atop the galette,on top of,0.7
green,green,1.0
golden-brown,white,0.1
pastry,vegetables,0.1
white,white,1.0
sprinkled,scattered,0.7
strawberry,cranberries,0.2
golden-brown,golden-brown,1.0
blueberries,blueberries,1.0
towards the top,on top,0.7
tan,yellow,0.2
garlic,tofu,0.1
yellow,yellow,1.0
silver,silver,1.0
green,yellow,0.1
dessert,salad,0.1
gelatin,creamy,0.2
creamy,homemade,0.3
golden-brown,golden-brown,1.0
bowl,bowl,1.0
sliced,arranged,0.2
green,green,1.0
on top of,on top of,1.0
ginger,garlic,0.2
chicken,chicken,1.0
white,white,1.0
on a plate,on a plate,1.0
red,red,1.0
translucent,dark,0.1
jar,jar,1.0
amber,amber,1.0
in the center,in the center,1.0
yellow,golden-brown,0.6
gingerbread,treats,0.6
chocolate,sprinkled,0.2
beige,white,0.2
brown,brown,1.0
yes,square,0.1
white,white,1.0
flower,rectangular,0.1
green,white,0.0
on top,located,0.3
gingerbread cookies,pizzelles,0.3
brown,brown,1.0
on a plate,on a wooden surface,0.3
beige,is,0.0
cookies,muffins,0.2
stacked,stacked,1.0
on top of,on top,0.9
white,white,1.0
yellow,white,0.1
bacon,bacon,1.0
on top,on top,1.0
gnocchi,spaghetti,0.3
shrimp,shrimp,1.0
green,green,1.0
brownish-red,brown,0.7
gnocchi,pierogi,0.3
green,green,1.0
on a plate,on the plate,1.0
yellow,yellow,1.0
pasta,meat,0.1
red,red,1.0
on top of,on top,0.9
green,green,1.0
orange-brown,yellow,0.2
macaroni,macaroni,1.0
scattered,scattered,1.0
red,red,1.0
at the top,on top,0.7
scattered,distributed,0.7
beef,chicken,0.1
yellow,yellow,1.0
orange,orange,1.0
yellow,yellow,1.0
lemon,watermelon,0.1
glass,glass,1.0
watermelon,watermelon,1.0
mint,on top,0.1
brown,brown,1.0
granola,chips,0.1
red,red,1.0
brown,brown,1.0
granola,vegetables,0.1
red,red,1.0
scattered,scattered,1.0
in the mixture,scattered,0.2
yellow,creamy,0.2
potatoes,tofu,0.1
yellow,yellow,1.0
in a baking dish,on a plate,0.3
yellow,white,0.1
dish,bowl,0.3
white,green,0.0
yellow,reddish-brown,0.2
in the lower center,in the center,0.7
diced,large,0.1
shrimp,shrimp,1.0
orange,orange,1.0
broth,milk,0.2
on the left,on a plate,0.5
bowl,dish,0.7
lemon,yellow,0.5
yellow,yellow,1.0
on the left side,on the rim,0.3
scattered,scattered,1.0
brown,red,0.1
chicken,bacon,0.1
sausage,bacon,0.3
beige,yellow,0.3
gyros,chips,0.2
brown,brown,1.0
on the left side,in the center,0.2
green,green,1.0
crispy,flaky,0.6
halibut,walleye,0.3
white,white,1.0
green,green,1.0
on top,located,0.3
beige,golden-brown,0.6
halibut,halibut,1.0
green,green,1.0
on the right,plate,0.1
golden-brown,golden-brown,1.0
halloumi,feta,0.4
gray,white,0.1
on the left,on the rim,0.3
yellow,yellow,1.0
apricot,cranberries,0.1
reddish-brown,brown,0.7
bowl,potatoes,0.1
in the upper right,in the center,0.2
pink,pink,1.0
ham,chicken,0.2
pink,pink,1.0
sandwich,toast,0.2
green,green,1.0
on a plate,on a plate,1.0
green,browned,0.1
pink,pink,1.0
ham,chicken,0.2
caramelized,browned,0.7
layered on,on top of,0.7
lettuce,on top of,0.1
potato,tomato,0.5
orange,orange,1.0
throughout,on top,0.2
yellow,yellow,1.0
brownish,yellow,0.2
plate,plate,1.0
yellow,yellow,1.0
