Image,Image description,Keywords,Questions
ded146d688f827b,"The image shows numerous cake pops arranged in rows. The cake pops exhibit a variety of colors and decorations. On the left, some are light blue, some are white with light blue drizzle, and others are white with brown sprinkles. Moving towards the center, there are rows of brown cake pops. To the right of the brown pops are rows of light blue cake pops with brown sprinkles, followed by white cake pops with brown drizzle, and light green cake pops with glitter. The cake pops are all approximately the same size and shape and are densely packed together.","arranged, blue, cake pops, brown, variety, to the right","How are the cake pops organized?, What color are some of the cake pops on the left?, What type of dessert is shown in the image?, What color are the cake pops in the center?, What do the cake pops exhibit in terms of appearance?, Where are the light blue cake pops with brown sprinkles located?"
b1c6172590ee3d6,"There are three ice pops inside a metal bucket filled with ice. One ice pop is red and stands upright near the center of the bucket with a green holder underneath. To the left of the red ice pop is a light blue ice pop with a dark blue handle. The third ice pop, which is reddish, is located behind the red one, and has a dark blue handle. The ice pops are surrounded by ice cubes.","filled, red, ice pops, stands, light blue, behind the red one","What is the metal bucket filled with?, What color is the ice pop near the center of the bucket?, What type of food items are in the bucket?, How does the red ice pop stand in the bucket?, What color is the ice pop to the left of the red one?, Where is the reddish ice pop located?"
b502bbc553ae653,"The vanilla pops have a pale beige color and are scattered throughout the image, resting on ice cubes. Each pop has a wooden stick, light brown in color, protruding from its base. The pops are speckled with fresh berries in varying shades of red and dark blue. Strawberries are bright red and located near the bottom left and top right corners. Blueberries are dark blue and are scattered around the pops. Raspberries are a deeper red and are located near the bottom left corner.","scattered, beige, pops, wooden, red, on ice cubes","What is the arrangement of the vanilla pops in the image?, What color are the vanilla pops?, What are the vanilla pops called?, What material are the sticks of the pops made of?, What color are the strawberries?, Where are the vanilla pops resting?"
c3887c6ce8ef838,"There are about 13 mini pie pops scattered on a parchment paper-lined tray. The pie crusts are golden-brown and circular. Each pie pop has a wooden stick inserted into its side. Most of the mini pies are decorated with a pink heart design on top. Some pies have a yellow filling oozing out from the sides. They are relatively evenly distributed across the tray, with varying degrees of browning on the crust. Some pie pops are plain without the pink heart.","scattered, golden-brown, pie, pink, on top, oozing","How are the mini pie pops arranged on the tray?, What color is the pie crust?, What type of dessert is shown in the image?, What color are the heart designs on the mini pies?, Where are the pink heart designs located?, What is happening to the yellow filling in some of the pies?"
fd9d1dc0f75f96a,"The image shows several ""Best Ever Popcorn Balls"" arranged on a light green plate. The popcorn balls are a creamy white color, formed from individual pieces of popcorn held together by a binder. The popcorn pieces themselves vary in shade from light beige to white, some appear glossy due to the coating. They are clustered together in roughly spherical shapes, with the one in the lower center of the image being the most prominent and closest to the viewer. The other popcorn balls are positioned behind and to the sides of the central one, creating a layered arrangement on the plate.","arranged, green, popcorn, creamy, white, on a plate","How are the popcorn balls placed on the plate?, What color is the plate?, What type of food is shown in the image?, What is the color of the popcorn balls?, What color are the individual popcorn pieces?, Where are the popcorn balls placed?"
88b5d3061ab9e04,"The image features popcorn in a container and scattered around it. The popcorn pieces are mostly white with hints of light brown. Some of the pieces have a slightly darker brown color, likely from seasonings or light caramelization. The majority of the popcorn is located near the cup on the left side of the image, appearing to have spilled out. Some popcorn remains in the cup. A few pieces are scattered further to the left and top. The popcorn cup is tilted to the left, the popcorn spilling out.","scattered, white, popcorn, spilling out, brown, tilted","Is the popcorn scattered around the container?, What color is the majority of the popcorn?, What type of food is shown in the image?, Is the popcorn spilling out of the container?, What color are some of the darker popcorn pieces?, Is the popcorn cup tilted to one side?"
d574616407e6883,"The image shows gelatin-flavored popcorn, which is a mix of pastel blue-green and white. Most of the popcorn is located centrally within the image frame, forming a dense, slightly uneven pile. Some pieces appear closer to the viewer, while others recede into the background, creating a sense of depth. The pastel blue-green covers portions of the popcorn, blending into the white of the popcorn. A single, tan-colored unpopped kernel is present on the right.","flavored, pastel, popcorn, located, blue-green, on the right","What is the popcorn flavored with?, What color is the popcorn?, What type of food is shown in the image?, Where is most of the popcorn located?, What color is the pastel shade of the popcorn?, Where is the tan-colored unpopped kernel located?"
830f21f218370e1,"The chocolate popcorn is a mix of dark brown chocolate and white popcorn. It is located primarily inside three red and yellow striped popcorn boxes. The boxes are arranged from front to back, with the front box being the closest to the viewer and slightly to the right. The popcorn overflows from the top of each box. Some individual pieces of the chocolate popcorn are scattered on the white surface around the base of the boxes, especially in the foreground and to the right of the front box.","chocolate, brown, popcorn, located, red, from front to back","What is the popcorn coated with?, What color is the chocolate?, What type of snack is shown in the image?, Where are the popcorn boxes located?, What color are the stripes on the boxes?, How are the boxes arranged?"
6b07bba2550082f,"The cinnamon roll popcorn is piled high inside a white container. The popcorn pieces themselves are a mix of colors: some are predominantly white, while others are coated in a light brown, cinnamon-colored glaze. The glaze appears thicker on some pieces, creating a richer, darker brown hue. The popcorn is arranged unevenly, with the pieces at the top of the pile reaching above the rim of the container.","piled, white, popcorn, brown, cinnamon-colored, above the rim","How is the popcorn arranged in the container?, What color is the container?, What type of popcorn is shown?, What color are some of the popcorn pieces?, What color is the glaze on some popcorn pieces?, Where are the popcorn pieces located in relation to the rim of the container?"
ca14e90066af3f9,"The image shows two bowls of ""Slime Popcorn"". The popcorn is coated in a vibrant, light green slime. The popcorn is located in two white bowls on the left and right side of the image, taking up most of the space. There are also candy eyeballs in and on the popcorn. Some eyeballs are white with a black dot in the center. There are also candy eyeballs scattered on the table near the bowls.","Slime, green, coated, popcorn, bowls, on the table","What is the texture of the coating on the popcorn?, What color is the slime coating on the popcorn?, What is the popcorn covered in?, What food item is coated in slime?, What containers hold the popcorn?, Where are the bowls of popcorn placed?"
