Image,Question,Answer,Predict
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,golden brown
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,savory
ff557f4ea977d3a,What color is the filling of the enchiladas,white,white
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,on the
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,tomatoes
5c89583c7d79eac,What color is the baking dish,white,white
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,gooey
5c89583c7d79eac,What color are the avocado slices,green,green
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,across the
ec8d556e427215f,What color is the chicken,golden-brown,golden brown
ec8d556e427215f,What type of meat is used in the fajitas,chicken,chicken
ec8d556e427215f,What color is the shredded cheese,yellow,yellow
ec8d556e427215f,Where is the sour cream located,on a plate,on a plate
4540be4f1b7483a,What color is the cilantro,green,green
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,cilantro
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,yellow
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,chicken
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,on a sheet
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,chicken
5466136e2c0ad7d,What color are the bell peppers,green,green
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,on top of
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,golden brown
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,fish
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,center
04bc6b3e8a8aea0,What color are the sliced onions,white,light golden color
706203205f79559,What is the main protein in the fajitas,steak,beef
706203205f79559,What color is the sliced steak,brownish-red,brown
706203205f79559,Where are the fajitas placed,on the plate,on the plate
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,mushrooms
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,white
a1db7c4c3f6057d,What color are the falafels,golden-brown,golden brown
a1db7c4c3f6057d,What type of food is shown in the image,falafels,None
a1db7c4c3f6057d,What color is the lemon,yellow,yellow
a1b92188972141f,What color are the farro grains,brown,brown
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushrooms
a1b92188972141f,What color is the cilantro sprig,green,green
a1b92188972141f,Where is the cilantro sprig positioned,on top of,on top of
649f26370757a85,Is the dish suitable for vegetarians,yes,yes
649f26370757a85,What is the main grain used in the skillet,farro,main grain used in
649f26370757a85,What color is the bowl used to serve the dish,orange,orange
649f26370757a85,Where are the black beans located in the dish,throughout,various
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini,zucchini
1182fb165965c24,What material are the jars made of,glass,glass
1182fb165965c24,What color is the fennel,yellow,green
1182fb165965c24,Where is the fennel contained,contained within,contained in
1182fb165965c24,How are the jars sealed,sealed,sealed
1182fb165965c24,What color is the cloth on the jars,red,red
dc82292cc9b95bb,What are the rectangular golden-brown items on the plate,feta fingers,golden-brown
dc82292cc9b95bb,What color are the feta fingers,golden,golden
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue
c21c69d14faa792,What type of dish is shown in the image,salad,salad
c21c69d14faa792,What color is the bowl holding the salad,yellow,yellow
c21c69d14faa792,What color are the chicken pieces in the salad,white,white
c0975f297eda584,What does the fettuccine do in the frame,fills,vibrant
c0975f297eda584,What type of pasta is shown,fettuccine,"long, thin"
c0975f297eda584,What is the texture of the sauce,creamy,creamy
c0975f297eda584,What is scattered on top of the pasta,cheese,cheese
c0975f297eda584,Where are the thin strands of cheese located,on top of,on top of
4a760002afb43b8,What is the color of the base of the dish,white,white
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,located in the
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,light golden-brown
614c5dee532b78e,What color are the figs,purple,dark purple
614c5dee532b78e,What type of fruit is shown in the image,figs,fruit
614c5dee532b78e,Where is the goat cheese placed,on top of,on top of
614c5dee532b78e,What is the texture of the goat cheese,creamy,creamy
614c5dee532b78e,How is the goat cheese distributed,scattered,dried
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,pinkish
a31ea68b260d0c2,What type of meat is shown in the image,filet,meat
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,brown
a31ea68b260d0c2,Where are the filets placed,on a plate,on a plate
a31ea68b260d0c2,How is the exterior of the filets described,seared,seared
260ac1e7d31775e,What color is the plate,blue,blue
260ac1e7d31775e,What type of food is being served,fish,fish
260ac1e7d31775e,What herb is scattered on the fish,dill,dill
260ac1e7d31775e,What color is the fish generally,white,white
395a4e305e40a37,What flavor is the fish,Lemony,warm taste
395a4e305e40a37,What type of food is shown in the image,Fish,savory
395a4e305e40a37,What color is the plate,Orange,Orange
395a4e305e40a37,Where is the fish placed,on plate,on plate
395a4e305e40a37,What color are the herbs on the fish,Green,Green
a5b87a311528eb8,What color is the plate,yellow,white
a5b87a311528eb8,What type of food is in the center of the plate,fish,fish
a5b87a311528eb8,What color is the fish,golden-brown,reddish-orange
a5b87a311528eb8,Where is the fish located,on a plate,on a plate
a5b87a311528eb8,What color are the scallions on the fish,green,green
ce3a724e27e8f9f,What color is the fish,white,"light, white, pale"
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,dish is rice
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,brown
ce3a724e27e8f9f,Where is the ginger placed,on top of,on top of
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green
27bc4f71b275ae7,What is in the clear glass,drink,drink
27bc4f71b275ae7,What color is the foam on the drink,white,white
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,orange in color
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on the surface
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,shiny
c3720ab16e601cc,What type of dessert is shown in the image,flan,flan
c3720ab16e601cc,What color is the plate,white,white
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,caramel-colored
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,chicken
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,drizzled
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,purple
a04609d90ed6c41,What color is the pineapple in the dish,yellow,yellow
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,diced
a04609d90ed6c41,What fruit is used in the dish,pineapple,pineapple
a04609d90ed6c41,What is the texture of the overall mixture,moist,moist
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,the dish
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,glass
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,filled
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,cranberries
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,"fruit, right side"
