answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,golden-brown,1.0,1.0,1.0
enchiladas,salad,0.0,0.0,0.0
white,white,1.0,0.0,1.0
on the left side,on the left side,1.0,1.0,1.0
tomatoes,tomatoes,1.0,0.0,1.0
white,white,1.0,0.0,1.0
melted,melted,1.0,0.0,1.0
covering,covering,1.0,0.0,1.0
green,green,1.0,0.0,1.0
across the bake,on top,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
chicken,chicken,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
on a plate,on the left,0.3333333333333333,0.0,0.3333333333333333
green,green,1.0,0.0,1.0
cilantro,parsley,0.0,0.0,0.0
yellow,orange,0.0,0.0,0.0
chicken,chicken,1.0,0.0,1.0
on a sheet pan,on a baking sheet,0.75,0.3333333333333333,0.75
chicken,beef,0.0,0.0,0.0
green,orange,0.0,0.0,0.0
atop the fajita filling,on top of,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
Mahi Mahi,halibut,0.0,0.0,0.0
red,red,1.0,0.0,1.0
throughout the center,on a baking sheet,0.0,0.0,0.0
white,white,1.0,0.0,1.0
steak,meat,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,on a plate,0.6666666666666666,0.0,0.6666666666666666
mushrooms,mushrooms,1.0,0.0,1.0
beige,beige,1.0,0.0,1.0
golden-brown,golden-brown,1.0,1.0,1.0
falafels,fritters,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
mushrooms,mushrooms,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top of,on top of,1.0,1.0,1.0
yes,vegan,0.0,0.0,0.0
farro,rice,0.0,0.0,0.0
orange,red,0.0,0.0,0.0
throughout,in the center,0.0,0.0,0.0
zucchini,zucchini,1.0,0.0,1.0
glass,glass,1.0,0.0,1.0
yellow,green,0.0,0.0,0.0
contained within,contained,0.6666666666666666,0.0,0.6666666666666666
sealed,jars,0.0,0.0,0.0
red,red,1.0,0.0,1.0
feta fingers,taquitos,0.0,0.0,0.0
golden,yellow,0.0,0.0,0.0
blue,blue,1.0,0.0,1.0
salad,salad,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
white,white,1.0,0.0,1.0
fills,fills,1.0,0.0,1.0
fettuccine,spaghetti,0.0,0.0,0.0
