Image,Image description,Keywords,Questions
8e10c4050a3174a,"The cream cheese chicken enchiladas are the main focus of the image. The enchiladas have a light tan tortilla with a creamy white filling speckled with green chiles and shredded chicken. A layer of melted cheddar cheese, which is bright orange, covers parts of the enchilada. Drizzled over the cheese is a green salsa. Sliced black olives, which are shiny and deep black, are scattered on top of the enchiladas and around the plate. Chopped green onions, which are bright green, are sprinkled as garnish on top and around the base of the enchiladas. To the right of the enchiladas are chunks of red tomatoes and pale green cubes, presumably avocado, arranged together.","melted, bright, enchiladas, green, chicken, on top of","What is the state of the cheddar cheese on the enchiladas?, What color is the cheddar cheese on the enchiladas?, What type of dish is the main focus of the image?, What color is the salsa drizzled over the enchiladas?, What type of meat is in the enchilada filling?, Where are the sliced black olives placed?"
2e789c07ec72245,"The beef enchiladas are positioned in the upper left quadrant of the image, arranged horizontally on a plate. The flour tortillas appear off-white to light tan, rolled and filled with ground beef which has a reddish-brown color. Orange-red enchilada sauce and melted cheese cover the tortillas. Sliced black olives are scattered on top of the enchiladas, and a dollop of white sour cream sits atop the central enchilada. Adjacent to the enchiladas, in the upper right quadrant, is a serving of rice. The rice has an orange hue and appears slightly glossy. The plate itself is light gray.","arranged, reddish-brown, enchiladas, orange, on top, plate","How are the enchiladas positioned on the plate?, What color is the ground beef inside the enchiladas?, What type of dish is shown in the image?, What color is the rice next to the enchiladas?, Where are the sliced black olives placed?, What is the enchilada sauce and melted cheese covering?"
641aa5f5ea69dc0,"The Bacon-Ranch Chicken Enchiladas are located in a clear glass baking dish. The enchiladas are golden-brown. They are covered with melted cheese. The cheese is white and yellow, with some parts browned. The dish is positioned in the center of the image.","located, golden-brown, enchiladas, cheese, white, in the center","Where are the Bacon-Ranch Chicken Enchiladas located?, What color are the enchiladas?, What type of dish is shown in the image?, What is covering the enchiladas?, What color is the cheese?, Where is the dish positioned in the image?"
af4d3ea15183708,"The ground chicken enchiladas are in a clear glass baking dish. The enchiladas themselves have a light brown tint, are covered in a generous layer of shredded cheddar cheese which is a mix of orange and white. Sliced black olives, which are dark and shiny, are scattered across the top of the enchiladas. Freshly chopped green onions, exhibiting bright green and white colors, are sprinkled evenly over the dish, contrasting with the darker olives and cheese. The enchiladas sit in a red sauce at the bottom of the dish, which is also visible between the enchiladas and below them.","enchiladas, brown, scattered across, cheese, red, chopped","What type of dish is shown in the image?, What color are the enchiladas?, Where are the sliced black olives placed?, What is sprinkled on top of the enchiladas?, What color is the sauce at the bottom of the dish?, What are the green onions on the enchiladas like?"
0d42274b1f0d5fa,"The image showcases Instant Pot Chicken Enchiladas. Three enchiladas are positioned in the center of a bright, light green plate. Each enchilada is covered in melted cheese, which is primarily orange in color, with some lighter yellow portions. The tortillas themselves are a light tan color and appear to be filled with a mixture of chicken, visible inside, which is a creamy white color. Sprigs of fresh cilantro, a vibrant green, are placed artfully on top of the enchiladas. One sprig is toward the top, one is in the middle and the last one is on the bottom of the enchiladas. The plate rests on a woven mat of brown and tan.","enchiladas, green, melted, chicken, orange, on top of","What type of dish is shown in the image?, What color is the plate?, What is the state of the cheese on the enchiladas?, What type of meat is inside the enchiladas?, What color is the melted cheese on the enchiladas?, Where are the sprigs of cilantro placed?"
2e74b67889ffe41,"The Kelly's Enchiladas are located on a white plate, sitting atop a bed of light green shredded lettuce. The enchiladas are covered in melted, golden-yellow cheese and dotted with circular, dark-purple to black olives. The enchiladas themselves have a warm, slightly browned appearance. A bowl of light-red rice is positioned to the right of the plate, set slightly behind it and is contained in a round, orange bowl. The rice appears granular in texture. An orange-and-white striped towel is placed in the upper-left corner.","located, white, enchiladas, golden-yellow, on a bed, browned","Where are the Kelly's Enchiladas located?, What color is the plate?, What type of food is on the plate?, What color is the melted cheese on the enchiladas?, Where are the enchiladas sitting?, How do the enchiladas appear in terms of color?"
2359c1d570892e0,"The seafood enchiladas are yellowish-tan and are positioned diagonally across the white plate. Melted cheese is on top of the enchiladas and its color varies from yellow to orange.  A dollop of white sour cream is located near the top of the enchiladas. Atop the sour cream is a slice of light green lime. Small, bright green cilantro leaves are scattered on and around the enchiladas.","yellowish-tan, enchiladas, melted, on top of, green, scattered","What color are the seafood enchiladas?, What type of dish is shown in the image?, What is the state of the cheese on the enchiladas?, Where is the melted cheese located?, What color is the lime slice on the sour cream?, Where are the cilantro leaves found?"
68bf21f837ca42f,"The 3-Cheese Enchiladas are located in a white rectangular baking dish. The enchiladas appear light tan, and are topped with a melted orange cheese, white shredded cheese, and a reddish-brown filling. Sliced green onions are scattered across the top of the enchiladas. The enchiladas fill the majority of the dish.","located, white, enchiladas, orange, scattered, in a dish","Where are the 3-Cheese Enchiladas located?, What color is the baking dish?, What type of dish is being described?, What color is the melted cheese on top?, How are the sliced green onions arranged?, What are the enchiladas served in?"
ff557f4ea977d3a,"Two Iowa Enchiladas are positioned on the left side of the plate. They have a golden-brown color on the top, and a white filling is visible from the side. Adjacent to the enchiladas, towards the right side of the plate, is a small salad consisting of shredded, light-green lettuce and diced, red tomatoes. The tomatoes are scattered on top of the lettuce.","positioned, golden-brown, enchiladas, white, on the left side, tomatoes","Where are the enchiladas positioned?, What color is the top of the enchiladas?, What type of dish is positioned on the left side of the plate?, What color is the filling of the enchiladas?, Where are the enchiladas located on the plate?, What vegetable is scattered on top of the lettuce?"
7c81577ebef300b,"The sweet potato enchiladas are centrally located, arranged in a row across the plate. The tortillas have a reddish-brown hue where they have been cooked. Inside, the filling of sweet potato is a bright orange color. The top enchiladas are covered in a melted yellow cheese. Sprigs of green cilantro leaves are scattered across the top of the enchiladas. To the left of the enchiladas are sliced red tomatoes, along with green sliced jalapeños.  To the right are orange-colored rice.","arranged, sweet, enchiladas, orange, green, to the left","How are the sweet potato enchiladas positioned on the plate?, What is the flavor of the enchiladas?, What type of dish is being described?, What color is the filling inside the enchiladas?, What color are the cilantro leaves on top of the enchiladas?, Where are the sliced red tomatoes and green jalapeños located?"
