answer,predicted_answer,bleu_score
golden-brown,golden brown,0.0
enchiladas,two pieces of fried pork,0.0
white,white,1.0
on the left side,on the left side,1.0
tomatoes,tomatoes,1.0
white,white,1.0
melted,melted,1.0
covering,melted,0.0
green,green,1.0
across the bake,scattered around the surface,0.061033220311973134
golden-brown,cooked chicken breast is white,0.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,in the bottom left of the image,0.0
green,green,1.0
cilantro,cilantro,1.0
yellow,yellow,1.0
chicken,chicken,1.0
on a sheet pan,on a baking sheet,0.18616487055295167
chicken,pork,0.0
green,orange and green,0.07249749990681824
atop the fajita filling,on top of the tacos,0.0456496931223525
golden-brown,white,0.0
Mahi Mahi,there is no fish in the fajitas,0.0
red,"red, yellow, and orange",0.0
throughout the center,on top of the peppers and onions,0.03235934848975789
white,white,1.0
steak,beef,0.0
brownish-red,brown,0.0
on the plate,on a plate,0.08621454270909737
mushrooms,mushrooms,1.0
beige,white,0.0
golden-brown,golden-brown,1.0
falafels,"mocha coffee with lemon, fried pork, and a side of coleslaw.",0.0
yellow,yellow,1.0
brown,light brown,0.06754436142034707
mushrooms,mushrooms,1.0
green,green,1.0
on top of,on top of the mushroom mixture,0.23376641384792204
yes,"no, the dish contains meat",0.0
farro,farro,1.0
orange,orange,1.0
throughout,scattered throughout,0.06754436142034707
zucchini,zucchini,1.0
glass,glass,1.0
yellow,green,0.0
contained within,on the plate,0.0
sealed,red and white gingham fabric tied with a white ribbon,0.0
red,red and white gingham,0.061033220311973134
feta fingers,fried breaded mozzarella sticks,0.0
golden,white,0.0
blue,blue and yellow,0.07249749990681824
salad,"a bowl of chicken salad with lettuce, red peppers, and shredded cabbage",0.020044994979069072
yellow,yellow,1.0
white,white,1.0
fills,curl,0.0
fettuccine,spaghetti,0.0
creamy,thick,0.0
cheese,parmesan cheese,0.06754436142034707
on top of,on top of the pasta,0.29950981436291046
white,white,1.0
located throughout,underneath the toppings,0.0
chicken,chicken,1.0
asparagus,brown,0.0
purple,purple,1.0
figs,there are no fruits in the image,0.0
on top of,on top of the dish,0.29950981436291046
creamy,crumbly,0.0
scattered,crumbled,0.0
pinkish-red,pink,0.0
filet,pork,0.0
brown,golden-brown,0.0
on a plate,on the plate,0.08621454270909737
seared,well-cooked,0.0
blue,blue,1.0
fish,fish and vegetables,0.07249749990681824
dill,dill,1.0
white,white,1.0
Lemony,herb-seasoned,0.0
Fish,a slice of salmon and a piece of coleslaw,0.0
Orange,orange,0.0
on plate,on the plate,0.08621454270909737
Green,green,0.0
yellow,white with yellow accents,0.061033220311973134
fish,fish,1.0
golden-brown,red,0.0
on a plate,on a plate,0.5757197301274735
green,green,1.0
white,white,1.0
fish,rice,0.0
brown,brown,1.0
on top of,on the fish,0.07249749990681824
green,green,1.0
drink,"a drink made of coffee, milk, and sugar, also known as a mocha",0.018724372764461875
white,white,1.0
reddish-orange,red.,0.0
on top of,on the foam of the mocha coffee,0.03848196746087264
shiny,smooth,0.0
flan,flan,1.0
white,white,1.0
caramel-colored,caramelized,0.0
chicken,chicken,1.0
drizzled,drizzled,1.0
purple,purple,1.0
yellow,yellow,1.0
diced,diced,1.0
pineapple,pineapple,1.0
moist,crumbly,0.0
throughout the dish,randomly,0.0
glass,a bowl,0.0
filling,full,0.0
cranberries,cranberries,1.0
grapes,grapes,1.0
to the brim,a glass bowl,0.0
yellow,light yellow,0.06754436142034707
focaccia,focaccia,1.0
green,green,1.0
wooden,wood,0.0
yellow,yellow,1.0
bowl,a bowl,0.06754436142034707
toasted,toasted,1.0
golden-brown,golden brown,0.0
down from,the bread,0.0
brown,golden brown,0.06754436142034707
pretzel,caramel corn,0.0
brown,brown,1.0
dessert,mocha brownies with caramel corn and brussels sprouts,0.0
rectangular,square,0.0
brown,light beige,0.0
almonds,almonds,1.0
scattered,They are sliced and sprinkled on top,0.0
white,white,1.0
casserole,a casserole dish,0.07249749990681824
scattered,scattered,1.0
reddish-brown,red sauce,0.0
on top,underneath the toppings,0.0
black,black,1.0
yellow,yellow,1.0
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on top of the eggs,0.0
yellow,yellow,1.0
broccoli,broccoli,1.0
light,yellow,0.0
cheddar,cheese,0.0
brown,brown,1.0
clustered,piled on top of each other,0.0
plate,a plate,0.06754436142034707
yellow,yellow,1.0
on the left,on the left side of the plate,0.19308506685901675
golden-brown,golden-brown,1.0
fritter,latkes,0.0
crispy,crispy,1.0
white,white,1.0
chocolate,chocolate,1.0
stack,stacked,0.0
brown,brown,1.0
on a plate,on a plate,0.5757197301274735
swirled,swirled,1.0
pink,pink,1.0
cupcake,a cupcake,0.06754436142034707
cherry,"there is no fruit in the frosting, there is a red sauce which is likely a red pepper sauce",0.0
on top of,on top of the cupcake,0.29950981436291046
bowls,bowls,1.0
coats,cover the cake,0.0
cake,Chocolate cake,0.06754436142034707
brown,chocolate brown,0.06754436142034707
on the plate,on a plate,0.08621454270909737
blue,white,0.0
fries,loaded fries,0.06754436142034707
orange,yellow,0.0
on top of,on the fries,0.07249749990681824
yellow,not visible,0.0
casserole,pasta,0.0
white,white,1.0
fries,pork,0.0
golden-brown,orange,0.0
orange,The other fillings are not visible.,0.0
on top of,on the pizza,0.07249749990681824
yellow,golden brown,0.0
potato,potatoes,0.0
reddish-brown,red,0.0
on a plate,"there are no fries on the plate, there are only potato slices",0.020044994979069072
yellow,orange,0.0
fries,fries,1.0
charred,burnt,0.0
in the center,scattered,0.0
blue,blue,1.0
white,white,1.0
fudge,fudge,1.0
red,red,1.0
walnuts,walnuts,1.0
brown,light brown,0.06754436142034707
fudge,caramel fudge,0.06754436142034707
on the left,on the left side of the plate,0.19308506685901675
sheen,"a shiny, smooth, light brown appearance",0.0
golden-brown,golden-brown,1.0
red,red and yellow,0.07249749990681824
atop the galette,in the top left corner,0.0456496931223525
green,green,1.0
golden-brown,brown,0.0
pastry,galette des rois,0.0
white,white,1.0
sprinkled,sprinkled,1.0
strawberry,strawberries,0.0
golden-brown,golden brown,0.0
blueberries,blueberries,1.0
towards the top,on top of the blueberries,0.05428693985879238
tan,light brown,0.0
garlic,garlic,1.0
yellow,yellow,1.0
silver,silver,1.0
green,green,1.0
dessert,jello,0.0
gelatin,jiggly,0.0
creamy,green,0.0
golden-brown,white,0.0
bowl,with rice,0.0
sliced,sliced,1.0
green,green,1.0
on top of,on top,0.13427896671164932
ginger,pepper,0.0
chicken,chicken,1.0
white,white,1.0
on a plate,on a table,0.21177974141341938
red,red,1.0
translucent,golden,0.0
jar,"none, it is a beverage",0.0
amber,brown,0.0
in the center,in the center,0.5757197301274735
yellow,golden,0.0
gingerbread,pastries,0.0
chocolate,caramel,0.0
beige,off-white with a brown rim,0.0
brown,brown,1.0
yes,yes,1.0
white,white,1.0
flower,flower,1.0
green,red and green,0.07249749990681824
on top,in the background,0.0
gingerbread cookies,ginger snaps,0.0
brown,brown,1.0
on a plate,on a plate,0.5757197301274735
beige,white,0.0
cookies,cookies,1.0
stacked,stacked,1.0
on top of,on top,0.13427896671164932
white,white,1.0
yellow,creamy yellow,0.06754436142034707
bacon,bacon,1.0
on top,on top of the dish,0.12121093525642128
gnocchi,gnocchi,1.0
shrimp,shrimp,1.0
green,green,1.0
brownish-red,brown,0.0
gnocchi,gnocchi,1.0
green,green,1.0
on a plate,on a table,0.21177974141341938
yellow,light brown,0.0
pasta,pasta,1.0
red,red,1.0
on top of,on top of the pasta,0.29950981436291046
green,green,1.0
orange-brown,white,0.0
macaroni,macaroni,1.0
scattered,piled,0.0
red,red,1.0
at the top,in the back right corner of the dish,0.028599617161713803
scattered,scattered,1.0
beef,ground beef,0.06754436142034707
yellow,yellow,1.0
orange,orange,1.0
yellow,yellow,1.0
lemon,lemon,1.0
glass,a glass,0.06754436142034707
watermelon,"none, the granita appears to be made from a red liquid, possibly a fruit juice, but there is no fruit in the image",0.0
mint,mint,1.0
brown,golden brown,0.06754436142034707
granola,Granola,0.0
red,red,1.0
brown,light brown,0.06754436142034707
granola,granola,1.0
red,red,1.0
scattered,scattered,1.0
in the mixture,on the left,0.07249749990681824
yellow,cream-colored,0.0
potatoes,potatoes,1.0
yellow,golden brown,0.0
in a baking dish,on top of the dish,0.0456496931223525
yellow,blue,0.0
dish,a dish,0.06754436142034707
white,white,1.0
yellow,white,0.0
in the lower center,in the bottom half of the image,0.081939171811711
diced,small,0.0
shrimp,shrimp,1.0
orange,orange,1.0
broth,broth,1.0
on the left,in the broth,0.07249749990681824
bowl,a bowl,0.06754436142034707
lemon,yellow,0.0
yellow,yellow,1.0
on the left side,on the left,0.41252121275142684
scattered,scattered,1.0
brown,brown,1.0
chicken,chicken,1.0
sausage,sausage,1.0
beige,white,0.0
gyros,pita stuffed with salad,0.0
brown,brown,1.0
on the left side,on the left side,1.0
green,green,1.0
crispy,crumbly,0.0
halibut,"there is no fish in the image, there is a piece of cooked fish, but it is not identified",0.0
white,white,1.0
green,green,1.0
on top,on the fish,0.07249749990681824
beige,golden-brown,0.0
Halibut,halibut,0.0
green,green,1.0
on the right,the plate,0.04096772609215166
golden-brown,golden brown,0.0
halloumi,haloumi,0.0
gray,grey,0.0
on the left,left side,0.04096772609215166
yellow,yellow,1.0
apricot,there is no fruit visible on the surface of the ham.,0.0
reddish-brown,brown,0.0
bowl,sauce,0.0
in the upper right,in the top right of the image,0.09068059995923879
pink,pink,1.0
ham,ham,1.0
pink,pink,1.0
sandwich,pizza,0.0
green,green,1.0
on a plate,on a plate,0.5757197301274735
green,green,1.0
pink,pink,1.0
ham,pork,0.0
caramelized,charred,0.0
layered on,on top of the salad,0.0456496931223525
lettuce,lettuce,1.0
potato,sweet potato,0.06754436142034707
orange,orange,1.0
throughout,sprigs of dill are scattered throughout the plate.,0.028599617161713803
yellow,yellow,1.0
brownish,brown,0.0
plate,a plate,0.06754436142034707
yellow,yellow and orange,0.07249749990681824
sprinkled on top,scattered on top,0.21177974141341938
white,white,1.0
orange,orange,1.0
potato,potatoes,0.0
fried,fried,1.0
on top of,on top of the dish,0.29950981436291046
bacon,bacon,1.0
hash browns,"fried cheese, coleslaw, and mocha coffee.",0.0
golden-brown,golden brown,0.0
yes,"No, they are not.",0.0
on a plate,They are not visible in this image.,0.0
golden-brown,golden-brown,1.0
plate,a plate,0.06754436142034707
orange,orange,1.0
chives,green chives,0.06754436142034707
brown,brown,1.0
chicken,pork,0.0
yellow,yellow,1.0
in the upper right,"on the right side of the image, behind the dish",0.027895820162122397
golden-brown,golden-brown,1.0
hen,"There is no bird shown in the image, but there is a cooked, whole chicken.",0.0
brown,brown,1.0
at the top left,in the top center of the image,0.081939171811711
salad,salad,1.0
green-white,green and white,0.0
over the salad leaves,on top of the salad,0.12121093525642128
tomatoes,cherry tomatoes and brussels sprouts,0.0456496931223525
edamame,edamame,1.0
hummus,pasta,0.0
black,black,1.0
on top of,on top of the dish,0.29950981436291046
yellow,beige,0.0
hummus,"a creamy white sauce, possibly a variation of hummus or a butter sauce",0.018724372764461875
submerged,on the right,0.0
crackers,crackers,1.0
on the right,on the right side,0.43146827293898643
bowl,a bowl,0.06754436142034707
brownish-green,yellow-orange,0.0
towards the top left,in the middle,0.05194672862155564
beige,off-white,0.0
hummus,Hummus,0.0
yellow,yellow,1.0
tomatoes,slices of tomato,0.0
spices,cayenne pepper,0.0
yellow-beige,yellowish-beige,0.0
bowl,a bowl,0.06754436142034707
orange,orange,1.0
carrots,carrots,1.0
on the plate,on the plate,0.5757197301274735
reddish-brown,red,0.0
jars,jars,1.0
in the center,in a row,0.07249749990681824
orange,orange,1.0
jars,glass,0.0
glass,metal,0.0
in the center,on the right,0.07249749990681824
pinkish-white,white,0.0
in the center,there is no apricot jam in the image.,0.07122722710132624
bottom half,The mason jar contains the jam.,0.0
orange,orange,1.0
vibrant,orange,0.0
glass,glass,1.0
papaya,pineapple,0.0
fresh,orange,0.0
on a white cloth,on the counter,0.05194672862155564
dark brown,dark brown,0.2213885886251307
cubes,square,0.0
beige,cream-colored,0.0
scattered,they are scattered throughout the coffee,0.03759340464156993
black,dark brown,0.0
dark,dark brown,0.06754436142034707
stacked,stacked,1.0
dish,a white dish,0.07249749990681824
in the center,in the center,0.5757197301274735
brown,dark brown,0.06754436142034707
beef jerky,"The food in the image appears to be a plate of food that is made up of meat and vegetables. The meat is dark brown and appears to be cooked, possibly grilled or fried. There are also some vegetables visible, including what looks like Brussels sprouts and onions. The dish is served on a plate, and it",0.0
scattered,in a pile,0.0
reddish-brown,brown,0.0
around the edges,in the back,0.07249749990681824
brown,dark brown,0.06754436142034707
beef jerky,Beef jerky,0.06754436142034707
overlapping,random,0.0
dark brown,brown,0.36787944117144233
located inside,in the tin,0.0
jar,a jar,0.06754436142034707
sitting,holding the bacon,0.0
wooden,wood,0.0
yellow-tan,tan,0.0
plate,on a plate,0.07249749990681824
white,white with a black design,0.0456496931223525
glazed,shiny,0.0
Sloppy Joe,sloppy joe,0.0
reddish-brown,red-brown,0.0
yellow,yellow,1.0
on the bottom,under the toppings,0.07249749990681824
golden-brown,golden-brown,1.0
chicken,chicken,1.0
orange,orange,1.0
on top,on the sandwich,0.07249749990681824
chips,chips,1.0
golden-brown,light brown,0.0
bun,a bun,0.06754436142034707
gray,white,0.0
on a plate,the plate,0.04096772609215166
tan,white,0.0
bun,yes,0.0
red,red,1.0
on top,on top of the bun,0.12121093525642128
diced,Yes.,0.0
beige,"there is no sesame seed juice, however, the sesame seeds are tan.",0.0
juice,iced coffee,0.0
on the table,There is no sesame seed juice present. There are sesame seeds on the table.,0.041263216881455095
glass,"there is no sesame seed juice, however, sesame seeds are used as a garnish for the dish.",0.0
in a glass,"there is no sesame seed juice, there are sesame seeds on the table next to the glass",0.014936192853457254
vibrant,orange,0.0
glass,a glass,0.06754436142034707
yellow,yellow,1.0
watermelon,watermelon,1.0
pink,red,0.0
blueberries,blueberries,1.0
green surface,green,0.36787944117144233
4th of July,The kabobs represent the 4th of July.,0.081939171811711
golden-brown,golden brown,0.0
dispersed,chopped,0.0
kale,kale,1.0
bowl,a bowl,0.06754436142034707
green,green,1.0
chips,A bowl of kale salad.,0.0
bowl,the bowl,0.06754436142034707
on a wooden surface,on a wooden table,0.43146827293898643
brownish,burnt,0.0
dark green,dark green,0.2213885886251307
kale,spinach,0.0
red,red,1.0
on top of,in the pan,0.0
colorful,The kebabs are golden brown with a crispy appearance.,0.0
kebabs,shish kabobs,0.0
red,reddish-brown,0.0
on a plate,on a plate,0.5757197301274735
pineapple,pineapple,1.0
white,white,1.0
kohlrabi,brussels sprouts,0.0
arranged,overlapping,0.0
brown,dark brown,0.06754436142034707
on a plate,on a plate,0.5757197301274735
yellow,gray,0.0
noodles,noodles,1.0
yellow,yellow,1.0
on the top,on top of the food,0.06007837481758424
golden-yellow,beige,0.0
baking,baking,1.0
sprinkling,cinnamon,0.0
noodles,egg noodles,0.06754436142034707
brown,dark brown,0.06754436142034707
brown,"It is not lamb, it is a pork roast. The color is golden-brown.",0.0
lamb,a piece of meat,0.0
in the center,on the plate,0.07249749990681824
reddish-brown,red,0.0
stew,stew,1.0
fills,it moistens them,0.0
white,white,1.0
throughout the stew,in the stew,0.21177974141341938
white,white,1.0
lamb,pork,0.0
brown,brown,1.0
scattered around,under the meat,0.0
lamb,pork,0.0
gradient,a charred appearance,0.0
brown,golden brown,0.06754436142034707
onions,onions,1.0
cooked,diced,0.0
orange,red,0.0
lasagna,Lasagna.,0.0
creamy,creamy,1.0
white,white,1.0
on the surface,on top of the mocha coffee,0.044706344276931285
