Image,Question,Answer,Predict,gpt_score
ff557f4ea977d3a,What color is the top of the enchiladas,golden-brown,golden-brown,1.0
ff557f4ea977d3a,What type of dish is positioned on the left side of the plate,enchiladas,salad,0.1
ff557f4ea977d3a,What color is the filling of the enchiladas,white,white,1.0
ff557f4ea977d3a,Where are the enchiladas located on the plate,on the left side,on the left side,1.0
ff557f4ea977d3a,What vegetable is scattered on top of the lettuce,tomatoes,tomatoes,1.0
5c89583c7d79eac,What color is the baking dish,white,white,1.0
5c89583c7d79eac,What has happened to the vegan cheese on top of the bake,melted,melted,1.0
5c89583c7d79eac,What is the vegan cheese doing to the bake,covering,covering,1.0
5c89583c7d79eac,What color are the avocado slices,green,green,1.0
5c89583c7d79eac,Where are the sliced olives placed on the bake,across the bake,on top,0.2
ec8d556e427215f,What color is the chicken,golden-brown,golden-brown,1.0
ec8d556e427215f,What type of meat is used in the fajitas,chicken,chicken,1.0
ec8d556e427215f,What color is the shredded cheese,yellow,yellow,1.0
ec8d556e427215f,Where is the sour cream located,on a plate,on the left,0.2
4540be4f1b7483a,What color is the cilantro,green,green,1.0
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro,parsley,0.6
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow,orange,0.3
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken,chicken,1.0
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan,on a baking sheet,0.9
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken,beef,0.1
5466136e2c0ad7d,What color are the bell peppers,green,orange,0.1
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling,on top of,0.7
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown,golden-brown,1.0
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi,halibut,0.3
04bc6b3e8a8aea0,What color are the sliced bell peppers,red,red,1.0
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center,on a baking sheet,0.1
04bc6b3e8a8aea0,What color are the sliced onions,white,white,1.0
706203205f79559,What is the main protein in the fajitas,steak,meat,0.7
706203205f79559,What color is the sliced steak,brownish-red,brown,0.7
706203205f79559,Where are the fajitas placed,on the plate,on a plate,0.9
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms,mushrooms,1.0
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige,beige,1.0
a1db7c4c3f6057d,What color are the falafels,golden-brown,golden-brown,1.0
a1db7c4c3f6057d,What type of food is shown in the image,falafels,fritters,0.7
a1db7c4c3f6057d,What color is the lemon,yellow,yellow,1.0
a1b92188972141f,What color are the farro grains,brown,brown,1.0
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms,mushrooms,1.0
