answer,predicted_answer,bleu_score
golden-brown,golden-brown,1.0
enchiladas,salad,0.0
white,white,1.0
on the left side,on the left side,1.0
tomatoes,tomatoes,1.0
white,white,1.0
melted,melted,1.0
covering,covering,1.0
green,green,1.0
across the bake,on top,0.0
golden-brown,golden-brown,1.0
chicken,chicken,1.0
yellow,yellow,1.0
on a plate,on the left,0.07249749990681824
green,green,1.0
cilantro,parsley,0.0
yellow,orange,0.0
chicken,chicken,1.0
on a sheet pan,on a baking sheet,0.18616487055295167
chicken,beef,0.0
green,orange,0.0
atop the fajita filling,on top of,0.0
golden-brown,golden-brown,1.0
Mahi Mahi,halibut,0.0
red,red,1.0
throughout the center,on a baking sheet,0.0
white,white,1.0
steak,meat,0.0
brownish-red,brown,0.0
on the plate,on a plate,0.08621454270909737
mushrooms,mushrooms,1.0
beige,beige,1.0
golden-brown,golden-brown,1.0
falafels,fritters,0.0
yellow,yellow,1.0
brown,brown,1.0
mushrooms,mushrooms,1.0
green,green,1.0
on top of,on top of,0.5757197301274735
yes,vegan,0.0
farro,rice,0.0
orange,red,0.0
throughout,in the center,0.0
zucchini,zucchini,1.0
glass,glass,1.0
yellow,green,0.0
contained within,contained,0.36787944117144233
sealed,jars,0.0
red,red,1.0
feta fingers,taquitos,0.0
golden,yellow,0.0
blue,blue,1.0
salad,salad,1.0
yellow,yellow,1.0
white,white,1.0
fills,fills,1.0
fettuccine,spaghetti,0.0
creamy,creamy,1.0
cheese,cheese,1.0
on top of,on top of,0.5757197301274735
white,creamy,0.0
located throughout,in the center,0.0
chicken,chicken,1.0
asparagus,brown,0.0
purple,black,0.0
figs,blueberries,0.0
on top of,on top of,0.5757197301274735
creamy,creamy,1.0
scattered,scattered,1.0
pinkish-red,pink,0.0
filet,beef,0.0
brown,brown,1.0
on a plate,on a plate,0.5757197301274735
seared,browned,0.0
blue,blue,1.0
fish,fish,1.0
dill,rosemary,0.0
white,white,1.0
Lemony,spicy,0.0
Fish,meat,0.0
Orange,orange,0.0
on plate,on top of,0.07249749990681824
Green,green,0.0
yellow,white,0.0
fish,fish,1.0
golden-brown,golden-brown,1.0
on a plate,on top of,0.07249749990681824
green,green,1.0
white,white,1.0
fish,rice,0.0
brown,orange,0.0
on top of,on top of,0.5757197301274735
green,green,1.0
drink,coffee,0.0
white,white,1.0
reddish-orange,red,0.0
on top of,on top of,0.5757197301274735
shiny,smooth,0.0
flan,cake,0.0
white,white,1.0
caramel-colored,brown,0.0
chicken,chicken,1.0
drizzled,drizzled,1.0
purple,purple,1.0
yellow,yellow,1.0
diced,cut,0.0
pineapple,pineapple,1.0
moist,creamy,0.0
throughout the dish,scattered,0.0
glass,bowl,0.0
filling,filling,1.0
cranberries,cranberries,1.0
grapes,cranberries,0.0
to the brim,on top of,0.0
yellow,yellow,1.0
focaccia,bread,0.0
green,green,1.0
wooden,wooden,1.0
yellow,yellow,1.0
bowl,bowl,1.0
toasted,toasted,1.0
golden-brown,golden-brown,1.0
down from,pot,0.0
brown,brown,1.0
pretzel,popcorn,0.0
brown,golden-brown,0.0
dessert,bread,0.0
rectangular,squares,0.0
brown,brown,1.0
almonds,almonds,1.0
scattered,arranged,0.0
white,white,1.0
casserole,casserole,1.0
scattered,scattered,1.0
reddish-brown,brown,0.0
on top,on top of,0.21177974141341938
black,black,1.0
yellow,yellow,1.0
scattered,scattered,1.0
tomatoes,tomatoes,1.0
in a black pan,on top of,0.0
yellow,yellow,1.0
broccoli,spinach,0.0
light,light,1.0
cheddar,cheese,0.0
brown,golden-brown,0.0
