answer,predicted_answer,rouge1,rouge2,rougeL
golden-brown,cheese,0.0,0.0,0.0
enchiladas,quiche,0.0,0.0,0.0
white,orange,0.0,0.0,0.0
on the left side,on a plate,0.28571428571428575,0.0,0.28571428571428575
tomatoes,lettuce,0.0,0.0,0.0
white,white,1.0,0.0,1.0
melted,melted,1.0,0.0,1.0
covering,covering most of the surface,0.33333333333333337,0.0,0.33333333333333337
green,green,1.0,0.0,1.0
across the bake,black,0.0,0.0,0.0
golden-brown,orange,0.0,0.0,0.0
chicken,pork,0.0,0.0,0.0
yellow,white,0.0,0.0,0.0
on a plate,on the pasta,0.3333333333333333,0.0,0.3333333333333333
green,green,1.0,0.0,1.0
cilantro,carrot,0.0,0.0,0.0
yellow,reddish,0.0,0.0,0.0
chicken,steak,0.0,0.0,0.0
on a sheet pan,steak,0.0,0.0,0.0
chicken,pork,0.0,0.0,0.0
green,red,0.0,0.0,0.0
atop the fajita filling,on top of,0.0,0.0,0.0
golden-brown,tan,0.0,0.0,0.0
Mahi Mahi,pork,0.0,0.0,0.0
red,red,1.0,0.0,1.0
throughout the center,on the plate,0.3333333333333333,0.0,0.3333333333333333
white,reddish-brown,0.0,0.0,0.0
steak,tempeh,0.0,0.0,0.0
brownish-red,brown,0.0,0.0,0.0
on the plate,on top,0.4,0.0,0.4
mushrooms,green,0.0,0.0,0.0
beige,tan,0.0,0.0,0.0
golden-brown,red,0.0,0.0,0.0
falafels,fajitas,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,scattered,0.0,0.0,0.0
mushrooms,mushroom,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top of,green,0.0,0.0,0.0
yes,vegetarian,0.0,0.0,0.0
farro,rice,0.0,0.0,0.0
orange,white,0.0,0.0,0.0
throughout,around the egg,0.0,0.0,0.0
zucchini,tan,0.0,0.0,0.0
glass,glass,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
contained within,on a baking sheet,0.0,0.0,0.0
sealed,sealed,1.0,0.0,1.0
red,blue,0.0,0.0,0.0
feta fingers,nuggets,0.0,0.0,0.0
golden,golden-brown,0.6666666666666666,0.0,0.6666666666666666
blue,blue,1.0,0.0,1.0
salad,enchiladas,0.0,0.0,0.0
yellow,green,0.0,0.0,0.0
white,off-white,0.6666666666666666,0.0,0.6666666666666666
fills,fills,1.0,0.0,1.0
fettuccine,ravioli,0.0,0.0,0.0
creamy,creamy,1.0,0.0,1.0
cheese,gnocchi,0.0,0.0,0.0
on top of,red,0.0,0.0,0.0
white,white,1.0,0.0,1.0
located throughout,in the image,0.0,0.0,0.0
chicken,chicken,1.0,0.0,1.0
asparagus,on the edges,0.0,0.0,0.0
purple,brown,0.0,0.0,0.0
figs,figs,1.0,0.0,1.0
on top of,white,0.0,0.0,0.0
creamy,crumbled,0.0,0.0,0.0
scattered,white,0.0,0.0,0.0
pinkish-red,yellow,0.0,0.0,0.0
filet,chicken,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
on a plate,brown,0.0,0.0,0.0
seared,brown,0.0,0.0,0.0
blue,green,0.0,0.0,0.0
fish,mushroom,0.0,0.0,0.0
