,Image,Food Name,Summary,Ingredients,Calories,Width,Height,Questions_1,Answer_1,Question_2,Answer_2
0,cc8ab18052f66ff,Pinoy Chicken Adobo,"This is a family favorite from the Philippines and is served over rice. Easy to prepare, especially when you are in a hurry.","['chicken legs and thighs, rinsed and patted dry', 'water', 'white vinegar', 'soy sauce', 'white sugar', 'onion, chopped', 'garlic, crushed', 'whole black peppercorns, crushed', 'bay leaves', 'salt to taste']",584.0,4032.0,3024.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,non-vegan
1,e73d602511bd243,Pork and Chicken Adobo,"This recipe is adapted from a famous Filipino restaurant in Manila, Philippines. The longer you marinate in the refrigerator, the better it gets! This is one dish that doesn't spoil right away. Best served hot over steamed rice.","['boneless pork loin roast, cut into 2-inch pieces', 'boneless, skinless chicken thighs, trimmed and cut into 2-inch pieces', 'crushed garlic', 'bay leaves, torn', 'freshly ground black pepper', 'white vinegar', 'soy sauce', 'vegetable oil', 'garlic, smashed']",551.0,960.0,960.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,non-vegan
2,8e5cc914ad09687,Authentic Chicken Adobo,"Adobo is a simple and hearty Filipino dish. In this version, chicken is marinated in vinegar and soy sauce, then slowly cooked with garlic and spices. Serve over steamed white rice.","['coconut vinegar', 'soy sauce', 'garlic, peeled and coarsely chopped, divided', 'bay leaves', 'garlic powder', 'ground black pepper', 'annatto powder, divided', 'cut-up chicken parts', 'vegetable oil, divided']",635.0,1536.0,1536.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,non-vegan
3,c5e62567a5a4266,Adobo Twist,Filipino food which everybody loves and easy to make. Serve with a steaming cup of rice.,"['vegetable oil, or as needed', 'onion, chopped', 'garlic, crushed', 'pork belly, cut into 1-inch squares', 'soy sauce, or to taste', 'water', 'whole black peppercorns', 'bay leaves', 'cane vinegar', 'brown sugar, or more to taste', 'dried basil leaves, or more to taste']",288.0,3024.0,3024.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,non-vegan
4,685234f6de463c0,Filipino Pork Adobo,Pork in a tasty Adobo sauce is great smothered over white jasmine rice!,"['distilled white vinegar', 'soy sauce', 'ketchup', 'minced garlic', 'bay leaves', 'fresh-ground black pepper', 'lean pork, cut into 1 inch cubes', 'small green beans, trimmed (Optional)']",337.0,3024.0,3024.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,non-vegan
5,aec970daf4193a0,Filipino Chicken Adobo,This Pinoy recipe is a popular Filipino main dish usually served with rice and veggie sides.,"['low-sodium soy sauce', 'jalapeno peppers, seeded and sliced', 'fresh garlic, minced', 'chicken wings', 'vegetable oil', 'water', 'bay leaves', 'whole peppercorns', 'white vinegar', 'white sugar, or to taste', 'fine salt, or to taste']",162.0,2048.0,2048.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,non-vegan
6,96eb911bcf3cf8c,Homemade Adobo All-Purpose Seasoning,"This seasoning is a staple to have in a Puerto Rican kitchen, but sometimes hard to find where I live. So I started making my own and it's good! Great seasoning for just about anything; my boys love to shake it on fries. Enjoy!","['garlic powder', 'salt', 'ground black pepper', 'dried oregano', 'ground turmeric']",3.0,960.0,960.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,vegan
7,e20cfc391708cfd,Traci's Adobo Seasoning,This adobo seasoning is often used in Mexican and Filipino dishes. I've recently started mixing my own seasonings.,"['salt', 'paprika', 'ground black pepper', 'onion powder', 'dried oregano', 'ground cumin', 'garlic powder', 'chili powder']",4.0,1500.0,1125.0,What is the main food in the picture?,adobo,Is this dish vegetarian or non-vegetarian?,vegan
8,5d35f54a93f462a,Sriracha Aioli,"Sriracha aioli is easy to make at home with mayo, Sriracha sauce, and fresh lime juice for a creamy and spicy dipping sauce that's excellent with fries or fish tacos.","['mayonnaise', 'Sriracha hot sauce', 'lime, juiced']",160.0,2000.0,1500.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
9,3263d5822a81671,Easy Horseradish Aioli,"Roast beef is often served with a horseradish sauce. However, if you love the attitude of horseradish's tangy zip, don't wait for a fancy dinner! Stir this aioli together in minutes, and enjoy it on a deli-sliced roast beef, turkey, or pastrami sandwich. I love it as a dip for fried mushrooms, too!","['good quality mayonnaise', 'prepared horseradish', 'garlic granules', 'salt to taste', 'finely chopped fresh parsley', 'lemon slices for optional garnish']",135.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
10,2ae1eab71f4e2e4,Artichoke Aioli,This tangy artichoke and mayonnaise sauce (artichoke aioli) is perfect on sandwiches. It stores well in the refrigerator for several days.,"['marinated artichoke hearts, drained', 'mayonnaise', 'grated Parmesan cheese', 'lemon, juiced', 'grated lemon zest', 'red pepper flakes', 'salt and freshly ground black pepper to taste']",105.0,3888.0,2592.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
11,7af34345b79d412,Miso Aioli,"Miso aioli is great as a dip for roasted or raw veggies, French fries, tater tots, air fried or roasted potato wedges, a spread for sandwiches (think grilled hamburger), steamed shrimp, and fried fish. I think you get the idea—just use your imagination—the sky’s the limit!","['mayonnaise', 'miso paste', 'lemon juice', 'reduced-sodium soy sauce', 'Sriracha']",150.0,683.0,512.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
